,RESOURCE,MANAGER,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,target
0,35752,69326,91261,118026,123656,118321,117906,290919,118322,1
1,37611,1930,119280,122974,118378,119849,135350,119184,119851,1
2,34924,3949,117961,117976,117920,118568,131694,308574,118570,1
3,29697,1045,117961,118327,120171,118054,126488,117887,118055,1
4,27416,50581,118095,118096,118008,117879,117897,19721,117880,0
5,18688,47104,117876,117877,117878,118568,264384,19721,118570,1
6,95836,20361,117961,117962,118352,118321,117906,290919,118322,1
7,5112,14855,117961,118225,123719,118636,150376,118424,119929,1
8,33239,8785,117961,117962,117904,118568,308462,118504,118570,1
9,58678,25764,91261,118220,118008,117879,117906,19721,117880,1
10,42654,5063,117961,118300,121108,119928,150810,290919,119745,1
11,80973,16959,117961,118343,121668,117905,117906,290919,117908,1
12,45652,1012,117961,118225,119924,118321,117906,290919,118322,1
13,4675,1397,117961,118225,120551,117905,117906,290919,118322,1
14,41594,15412,117961,118343,196823,119849,127706,118131,119851,1
15,25098,1043,120140,120141,121589,118841,306399,118643,124888,1
16,39332,4519,117961,118225,118403,117905,240983,290919,117908,1
17,80228,1325,117961,117969,118910,118054,120238,117887,118055,1
18,44477,782,117961,118413,28618,118784,240983,290919,119353,1
19,114478,57797,119596,120865,168533,119928,306404,118424,184276,1
20,44500,7021,117961,118300,118783,118784,287626,290919,118786,1
21,39883,3197,117961,118386,120361,118321,117906,290919,118322,1
22,79121,3648,117961,118300,118631,118912,301534,118424,118982,1
23,18394,60121,118887,119597,142145,118636,271334,19721,118399,0
24,31983,3645,117961,118300,118631,120516,123107,290919,119194,1
25,27348,5317,117961,118327,118492,120097,152816,118424,120346,1
26,75901,60097,119596,118213,120356,122645,205243,119221,120791,1
27,312153,3048,119920,120865,118292,126820,255657,118638,124888,1
28,78686,25767,118006,118007,117941,117885,117886,117887,117888,1
29,45300,1030,117961,118343,120722,124576,124577,118424,124436,1
30,16826,770,117961,118300,119181,121594,302830,4673,121596,1
31,27122,7822,117961,117944,118328,132692,161026,270488,130858,1
32,76429,27,117961,118583,118684,118321,240983,292795,118687,1
33,32270,2270,117961,118413,120370,118777,279443,290919,118322,1
34,6498,1812,117961,118413,122007,120690,136365,290919,120692,1
35,80509,4576,118290,118300,118292,118321,117906,118295,118319,1
36,14831,6982,117961,118300,120297,117905,117913,290919,117908,1
37,41463,60084,118181,118182,117920,117885,117886,117887,117888,1
38,27124,4549,118169,118225,118957,118172,117906,290919,118322,1
39,74979,118151,5110,118080,117878,118321,118371,290919,118373,1
40,14897,4571,117961,118225,120551,118685,237731,308574,118687,1
41,45610,60084,118006,118007,118008,117879,117897,19721,117880,1
42,19842,141,117961,118225,122273,117905,240983,290919,118322,1
43,37807,34370,118074,23779,131868,119192,119192,119184,119194,1
44,42093,3622,117961,118343,118458,118834,309123,118424,118836,1
45,1969,70168,117961,118225,122298,118636,124718,118638,118639,1
46,32222,7551,117961,118052,118867,118784,213944,290919,118786,1
47,37943,25772,118006,118007,117941,117885,117886,117887,117888,1
48,36480,25872,117961,118170,119181,118172,130464,249618,118175,1
49,25993,46288,119596,119597,118292,118422,191064,118704,118730,1
50,38967,14731,117961,118413,118481,118784,277716,290919,118786,1
51,39939,4088,117961,118052,118597,118728,272276,118295,118730,1
52,31441,17218,118219,118446,118221,122067,268194,19793,123068,1
53,41314,18080,117961,119256,118840,118841,118842,118643,118843,0
54,35016,782,117961,118413,148450,118321,117906,118398,118322,1
55,41897,3838,117961,118225,119924,118321,117906,290919,118322,1
56,78399,7398,117961,118300,119830,118784,117906,290919,118322,1
57,35376,3332,117961,118343,123072,118685,120316,308574,118687,1
58,17249,4837,117961,118300,120026,118054,119601,117887,118055,1
59,20793,1012,119301,118225,119142,117905,117906,290919,117908,1
60,6977,5262,121785,121786,142145,117905,117906,290919,117908,1
61,34924,6047,117961,118413,120370,118777,296252,308574,118779,1
62,21445,15626,117961,118386,121961,120516,307024,118424,118914,1
63,79771,46705,120864,118225,119796,126820,295130,118638,126186,1
64,16443,234670,118290,118225,120041,119137,128585,118474,119096,1
65,1023,3197,117961,118343,119968,118784,121873,290919,118786,1
66,3853,1605,117961,119256,124380,280788,187788,118331,118332,1
67,28855,7935,117961,118052,120410,118321,117906,290919,118322,1
68,86296,51773,117961,118343,118344,118321,117906,290919,118322,1
69,115961,133801,119062,119091,118535,118274,118563,292795,118454,1
70,6977,4642,117961,118225,120663,118777,279443,308574,118779,1
71,20351,5432,117961,118327,118492,118465,130134,118643,118454,1
72,95363,6199,117961,118225,120663,118321,117906,290919,118322,0
73,39331,71189,117961,118386,119954,119928,168365,118205,119964,1
74,75241,5339,117961,118327,16232,120690,128532,290919,120692,1
75,38470,52423,119828,120216,117895,117896,117913,117887,117898,1
76,79954,3085,117961,118300,147589,118834,236735,118424,118836,1
77,42093,54281,119062,119091,117878,179731,117906,118870,127725,1
78,3853,51127,117961,118446,120317,117905,117906,290919,117908,1
79,18913,19857,117929,118011,117920,117879,117886,117887,117880,1
80,45784,17615,117961,118225,122392,118784,174445,120518,118786,1
81,38704,3990,117961,117962,118816,119928,310608,118331,120649,1
82,45798,7369,117961,118386,118896,117905,117906,290919,117908,1
83,80674,4308,117961,118343,118833,118834,133686,118424,119435,1
84,40331,101834,119596,120141,118042,118274,220988,270488,118276,1
85,80125,8698,120864,120865,119824,117905,117906,290919,117908,0
86,45790,7807,117961,118327,118518,118043,118756,270488,118046,0
87,45856,49646,119596,121786,118317,138137,258874,270488,130638,1
88,4675,2270,117961,118327,120559,118685,279443,308574,118687,1
89,80696,5238,118290,118291,118464,133306,156150,118453,132694,1
90,80883,17326,117961,118386,118631,307024,132719,118331,118332,1
91,18418,8709,117961,118300,121694,118054,118054,117887,118055,1
92,34615,13836,119920,119921,142145,123178,302830,4673,128231,1
93,45337,7389,117961,118386,118746,118747,239652,118453,118749,1
94,18605,7067,117961,118225,118221,118321,117906,290919,118322,1
95,37456,6217,117961,118327,118328,118465,125539,118467,118468,1
96,4675,71387,117961,118386,118522,118784,134559,290919,118786,1
97,44975,44917,117961,117962,118450,119192,269613,119184,119194,1
98,1020,28890,117961,118225,118320,122060,136365,290919,120692,1
99,3853,4918,118290,118300,120823,118396,308262,118398,118399,1
100,39807,6983,118084,118091,117878,118129,292195,19793,120634,1
101,86242,6137,117961,118386,118635,118636,310589,118638,118639,1
102,83228,3967,117961,118327,118320,117905,117906,290919,117908,1
103,43262,44022,117961,117962,122215,120172,130085,290919,119851,1
104,4675,5409,117961,118343,119598,117905,117906,290919,117908,1
105,76860,7072,117961,117962,118352,117905,117906,290919,117908,1
106,45118,4659,117961,118225,120663,118321,117906,290919,118322,1
107,18072,15990,117961,118225,122870,118636,310589,118638,118639,1
108,23497,2641,118887,118888,118391,120344,217919,118424,118786,1
109,27124,28275,117961,118413,126229,118784,117906,290919,118786,1
110,311954,1475,117935,117936,118450,117896,117913,118643,118786,1
111,32529,1475,117961,117911,117920,121414,128634,118398,121374,1
112,25993,4738,117961,118300,118458,120006,311622,118424,120008,1
113,79923,27214,117961,118386,118692,118685,279443,118331,118687,1
114,18381,6736,117961,117969,122215,122290,268766,6725,122292,1
115,74754,52194,117961,118052,126137,126138,126139,124136,126140,1
116,33150,21037,117961,117969,19666,179731,257952,117887,117973,1
117,4675,7253,117961,118225,118403,117905,240983,290919,117908,1
118,6960,4659,117961,118225,120663,118321,240983,290919,118786,1
119,39330,85343,117961,118300,121617,118784,121619,290919,118786,0
120,39329,59785,91261,118026,120671,121143,139068,249618,121145,1
121,25886,4110,119134,119302,118992,118641,305245,118643,118705,1
122,28562,85728,118212,118580,117878,117896,117879,117887,117888,1
123,34817,51226,117961,118327,118492,118747,118545,118453,118749,1
124,74754,8784,117961,118052,119890,118834,123881,118424,122069,1
125,13878,1550,117961,118327,123173,118054,120514,117887,118055,1
126,93626,3753,117961,118300,118403,118890,305057,118638,118779,1
127,39883,4478,117961,118386,118692,118321,117906,290919,118322,1
128,4675,163,117961,118413,121639,118784,118785,290919,118786,1
129,33248,49509,120810,118888,123719,118422,124428,118424,118425,1
130,73798,1541,117961,118225,122392,118054,118054,117887,118055,1
131,41870,59748,117961,118386,120361,118321,153262,290919,117908,1
132,1025,3692,117961,118413,122215,120172,170665,4673,126295,1
133,25993,4953,117961,118343,123476,120006,294485,118424,120008,1
134,43637,156,117961,118386,121639,118784,120316,3130,118687,1
135,77299,75182,118126,118201,117884,117879,117913,19721,117888,1
136,25231,1276,117961,118343,118395,123067,233714,118398,123068,1
137,6977,1249,117961,117962,118910,117905,123503,290919,118322,1
138,4675,7014,117961,118413,120370,117905,117906,290919,117908,1
139,34687,71189,117961,118343,119924,140847,168365,118205,140849,1
140,80173,4642,117961,118225,120551,118321,117906,290919,118322,1
141,5764,19832,117961,118386,123757,118321,117906,290919,118322,0
142,34026,90027,118084,117927,118599,118568,281735,117887,118570,1
143,34769,4199,117961,118225,118320,118321,117906,290919,118322,1
144,5502,89519,119062,119091,117884,117946,117906,290919,117908,1
145,45440,49453,117961,118343,118660,118912,309291,118424,118914,1
146,73536,49655,117961,118446,122550,120516,117906,118762,120519,1
147,14854,49374,118953,118954,118214,118568,279443,118638,118705,0
148,75901,32242,117961,118327,118929,118784,133686,118424,118786,1
149,4675,87910,91261,118026,118202,118274,151426,292795,118279,1
150,80175,4357,117961,118052,119742,117905,117906,290919,117908,1
151,80562,141,117961,118300,122273,118321,117906,290919,118322,0
152,33329,1328,118212,118213,118403,117905,264849,290919,118779,1
153,73815,28475,118315,118316,119837,119849,142386,118638,119978,1
154,28586,1806,117961,118386,122007,118321,117906,290919,118322,1
155,4675,1988,117961,118413,121639,117905,117906,290919,117908,1
156,30562,53255,117961,118413,120666,118777,279443,308574,118779,1
157,37138,4952,91261,118343,118292,119928,219829,118424,119435,1
