,age,region,employment_type,hours_worked,weekly_earnings,tenure_years
0,44,Dammam,FullTime,39.275,1032.831,22.421
1,45,Jeddah,FullTime,41.508,629.746,8.304
2,41,Dammam,FullTime,39.039,888.572,11.514
3,48,Jubail,FullTime,39.524,674.034,15.068
4,57,Buqaiq,FullTime,41.019,722.807,7.857
5,52,Riyadh,FullTime,17.247,758.912,8.256
6,46,Dammam,PartTime,15.648,233.005,13.844
7,54,Dammam,PartTime,14.338,326.383,12.219
8,59,Dammam,PartTime,18.66,406.294,16.849
9,40,Jeddah,FullTime,40.595,1009.885,21.126
10,62,Dammam,FullTime,40.087,827.192,4.837
11,56,Jubail,PartTime,17.517,282.962,8.463
12,45,Jubail,FullTime,39.025,731.123,14.674
13,57,Dammam,FullTime,39.742,801.161,4.853
14,25,Dammam,FullTime,38.392,648.75,5.468
15,48,Buqaiq,FullTime,39.428,531.858,10.681
16,44,Alhasa,FullTime,40.141,847.662,10.534
17,36,Dammam,PartTime,21.661,443.537,15.949
18,49,Dammam,FullTime,40.749,855.051,5.68
19,51,Buqaiq,PartTime,21.358,501.444,22.384
20,39,Jeddah,PartTime,43.131,400.961,12.384
21,39,Dammam,FullTime,39.896,744.87,20.98
22,55,Dammam,FullTime,40.241,1706.734,22.433
23,22,Khobar,FullTime,38.455,879.405,5.121
24,55,Khobar,FullTime,38.843,768.796,15.494
25,38,Dammam,PartTime,14.034,405.912,10.539
26,35,Dammam,FullTime,39.053,686.415,11.92
27,44,Dammam,FullTime,39.996,833.187,12.176
28,33,Khobar,FullTime,40.969,688.28,11.425
29,43,Alhasa,FullTime,42.096,697.297,10.291
30,40,Dammam,FullTime,38.993,1117.049,3.676
31,48,Dammam,PartTime,18.726,410.214,13.411
32,60,Dammam,PartTime,17.653,419.511,21.529
33,44,Buqaiq,PartTime,17.567,359.832,12.521
34,53,Dammam,FullTime,39.036,946.88,19.627
35,52,Dammam,PartTime,17.356,384.729,12.79
36,60,Jeddah,PartTime,18.062,365.265,9.092
37,40,Khobar,FullTime,38.903,588.214,8.575
38,51,Dammam,FullTime,41.445,780.131,6.222
39,42,Dammam,FullTime,38.517,931.59,11.79
40,50,Dammam,FullTime,40.245,908.668,19.145
41,45,Jeddah,PartTime,25.016,233.939,20.427
42,19,Riyadh,PartTime,17.299,406.622,12.006
43,54,Alhasa,FullTime,38.5,911.616,16.278
44,60,Alhasa,PartTime,22.582,401.047,14.45
45,51,Dammam,FullTime,40.841,650.198,11.268
46,45,Khobar,FullTime,39.756,718.972,9.822
47,32,Buqaiq,FullTime,39.055,424.833,9.363
48,40,Dammam,FullTime,40.047,823.166,8.536
49,53,Buqaiq,FullTime,40.854,847.916,23.042
50,26,Jeddah,PartTime,24.184,331.897,12.675
51,55,Khobar,PartTime,19.594,341.606,23.06
52,32,Buqaiq,FullTime,41.368,971.315,7.992
53,47,Dammam,PartTime,24.52,352.512,16.097
54,23,Buqaiq,FullTime,40.965,1330.147,7.284
55,55,Dammam,PartTime,18.414,633.687,9.759
56,43,Dammam,FullTime,39.525,608.03,1.903
57,44,Riyadh,FullTime,40.319,451.207,17.85
58,41,Khobar,FullTime,40.034,1493.117,5.957
59,21,Dammam,FullTime,40.279,588.954,20.31
60,42,Dammam,FullTime,39.734,869.284,6.545
61,50,Dammam,PartTime,16.419,375.161,13.038
62,32,Khobar,FullTime,40.45,675.268,6.211
63,38,Dammam,PartTime,12.845,418.386,8.428
64,55,Dammam,FullTime,40.277,590.813,8.66
65,62,Buqaiq,FullTime,40.093,712.326,6.784
66,42,Dammam,FullTime,16.587,743.174,7.857
67,47,Jubail,FullTime,20.342,488.86,7.189
