,age,region,employment_type,hours_worked,weekly_earnings,tenure_years
0,41,Dammam,FullTime,39.827,519.298,13.042
1,45,Dammam,FullTime,40.907,1163.41,12.931
2,49,Dammam,PartTime,17.025,194.519,15.787
3,56,Dammam,FullTime,40.917,1006.782,3.725
4,58,Dammam,FullTime,41.194,955.811,8.887
5,48,Dammam,FullTime,41.211,853.405,6.144
6,47,Dammam,FullTime,42.103,757.36,6.855
7,48,Dammam,FullTime,39.417,909.283,7.492
8,18,Dammam,FullTime,39.475,914.353,8.48
9,22,Dammam,FullTime,39.174,905.802,9.902
10,59,Dammam,FullTime,37.999,961.033,15.24
11,54,Dammam,FullTime,39.853,1036.776,4.035
12,27,Dammam,PartTime,17.545,348.344,8.577
13,55,Dammam,FullTime,40.021,1005.015,10.672
14,19,Dammam,FullTime,40.951,839.997,13.164
15,28,Dammam,PartTime,18.025,342.569,9.809
16,45,Dammam,FullTime,39.937,809.595,9.032
17,34,Dammam,FullTime,39.742,736.576,9.463
18,26,Dammam,PartTime,19.201,291.829,9.224
19,28,Khobar,FullTime,40.649,702.829,10.827
20,52,Dammam,FullTime,39.588,672.432,8.511
21,26,Dammam,FullTime,40.023,716.338,9.823
22,23,Dammam,PartTime,40.621,520.592,13.707
23,58,Dammam,FullTime,39.869,640.538,14.839
24,24,Dammam,FullTime,39.679,605.615,11.389
25,34,Dammam,FullTime,40.362,541.394,14.265
26,26,Dammam,FullTime,40.369,513.354,12.904
27,60,Dammam,FullTime,39.794,1271.01,10.106
28,57,Dammam,FullTime,39.044,843.14,6.807
29,54,Dammam,PartTime,17.218,257.845,11.529
30,62,Dammam,FullTime,39.925,765.832,15.189
31,22,Dammam,FullTime,39.809,641.931,12.98
32,40,Dammam,FullTime,40.086,717.147,7.444
33,20,Khobar,FullTime,39.68,542.641,16.08
34,47,Dammam,FullTime,40.59,562.017,8.88
35,31,Dammam,FullTime,39.545,731.964,9.883
36,46,Dammam,FullTime,40.931,611.297,8.474
37,63,Dammam,PartTime,22.761,456.813,11.539
38,49,Dammam,FullTime,41.476,1009.786,8.347
39,58,Dammam,FullTime,40.881,789.976,13.362
40,26,Dammam,FullTime,39.756,780.476,13.146
41,55,Dammam,FullTime,40.687,1149.379,8.968
42,47,Dammam,PartTime,19.122,453.475,13.569
43,36,Dammam,FullTime,40.749,1335.657,13.608
44,55,Dammam,FullTime,38.401,801.61,8.243
45,28,Dammam,FullTime,38.868,460.13,10.943
46,19,Dammam,PartTime,19.425,377.996,17.358
47,43,Dammam,FullTime,39.982,999.874,10.158
48,40,Dammam,FullTime,41.624,973.706,10.619
49,57,Dammam,FullTime,39.208,1020.714,8.95
50,26,Dammam,FullTime,38.934,854.797,14.284
51,48,Dammam,PartTime,19.77,343.012,8.214
52,42,Dammam,FullTime,40.492,823.123,10.583
53,26,Khobar,FullTime,39.745,564.045,10.739
54,23,Dammam,FullTime,38.953,360.127,11.101
55,57,Dammam,FullTime,40.423,889.107,7.981
56,51,Dammam,FullTime,39.059,644.616,10.512
57,65,Dammam,FullTime,40.097,492.665,13.898
58,19,Dammam,PartTime,22.3,504.138,12.904
59,45,Dammam,FullTime,41.345,1086.806,9.594
60,56,Dammam,PartTime,17.074,266.642,15.186
61,28,Dammam,PartTime,22.578,353.609,6.88
62,43,Dammam,FullTime,40.586,1058.701,15.291
63,62,Dammam,FullTime,40.516,987.142,12.568
64,48,Dammam,FullTime,40.525,440.527,7.34
65,22,Dammam,FullTime,38.154,837.585,9.302
66,31,Dammam,PartTime,20.132,351.053,7.763
67,61,Dammam,FullTime,38.954,860.495,10.621
68,50,Dammam,FullTime,43.333,1158.663,10.934
69,60,Dammam,FullTime,40.84,1095.588,8.575
70,46,Dammam,FullTime,42.677,449.794,10.116
71,33,Dammam,FullTime,40.932,806.836,7.539
72,53,Dammam,FullTime,39.615,994.892,10.899
73,36,Dammam,PartTime,20.742,277.801,8.948
74,39,Dammam,PartTime,22.132,487.13,13.934
75,31,Dammam,FullTime,39.294,522.726,9.184
76,46,Dammam,PartTime,18.123,215.61,17.428
77,55,Dammam,PartTime,22.06,261.809,12.423
78,34,Dammam,FullTime,40.112,534.072,8.145
79,47,Khobar,PartTime,14.242,224.747,15.602
80,53,Dammam,FullTime,41.243,906.924,9.005
81,30,Dammam,FullTime,39.112,606.788,9.543
82,27,Khobar,FullTime,39.491,759.335,8.946
83,41,Dammam,FullTime,39.843,872.376,12.054
84,26,Dammam,PartTime,39.843,525.289,9.507
85,48,Dammam,PartTime,21.239,195.352,10.089
86,24,Dammam,FullTime,39.335,702.656,12.747
87,28,Dammam,FullTime,38.871,578.135,5.112
88,35,Dammam,FullTime,41.234,747.636,8.136
89,44,Dammam,FullTime,40.792,696.852,8.929
90,58,Dammam,FullTime,39.302,955.526,11.68
91,36,Dammam,FullTime,39.713,868.724,6.925
92,28,Dammam,FullTime,39.914,682.866,16.772
93,49,Dammam,FullTime,41.033,652.961,9.488
94,51,Dammam,FullTime,40.565,468.683,9.016
95,26,Dammam,PartTime,21.594,489.294,8.743
96,46,Dammam,FullTime,41.697,797.076,15.731
97,29,Dammam,FullTime,39.394,894.569,12.334
98,19,Dammam,FullTime,38.39,675.24,17.922
99,46,Dammam,FullTime,38.426,401.414,8.731
100,20,Dammam,FullTime,38.375,474.306,12.14
101,47,Dammam,FullTime,39.979,728.728,9.101
102,60,Dammam,PartTime,18.781,450.94,16.34
103,39,Dammam,FullTime,37.966,848.969,9.796
104,18,Dammam,FullTime,38.055,465.984,17.036
105,41,Dammam,FullTime,40.657,1156.771,14.199
106,31,Dammam,FullTime,40.127,554.572,7.709
107,38,Dammam,PartTime,24.673,497.359,10.998
108,25,Dammam,PartTime,17.865,346.759,8.553
109,56,Khobar,FullTime,39.202,887.495,7.365
110,29,Dammam,PartTime,23.016,596.415,7.658
111,44,Dammam,PartTime,16.319,232.808,7.348
112,60,Dammam,FullTime,40.875,953.115,7.791
113,43,Dammam,FullTime,40.665,1368.305,13.997
114,62,Dammam,FullTime,39.439,599.606,12.313
115,24,Dammam,FullTime,40.275,673.93,12.068
116,59,Dammam,FullTime,40.674,767.658,11.503
117,47,Dammam,PartTime,17.685,321.613,12.373
118,28,Dammam,PartTime,23.273,412.164,5.971
119,39,Dammam,PartTime,17.393,263.678,12.367
120,26,Dammam,FullTime,38.974,506.717,10.35
121,37,Dammam,FullTime,41.198,614.433,13.115
122,30,Dammam,PartTime,20.003,260.288,10.57
123,42,Dammam,FullTime,40.511,1042.986,10.608
124,31,Dammam,FullTime,40.904,509.212,11.538
125,54,Dammam,PartTime,19.901,226.43,12.497
126,62,Dammam,FullTime,39.042,1092.723,16.307
127,40,Dammam,FullTime,41.717,708.465,4.212
128,57,Dammam,FullTime,40.857,928.875,10.112
129,24,Dammam,PartTime,21.83,496.172,8.039
130,46,Dammam,FullTime,38.989,536.588,11.66
131,35,Dammam,FullTime,40.594,485.331,11.101
132,30,Dammam,FullTime,39.299,913.801,10.427
133,44,Dammam,FullTime,40.507,577.23,11.491
134,27,Dammam,FullTime,39.787,794.523,14.074
135,43,Dammam,FullTime,39.403,1019.306,11.08
136,19,Dammam,FullTime,39.315,796.439,15.487
137,57,Dammam,FullTime,40.71,740.003,7.707
138,53,Dammam,FullTime,41.216,818.474,6.071
139,64,Dammam,FullTime,40.036,1038.51,5.932
140,43,Dammam,FullTime,40.858,1114.411,8.772
141,34,Dammam,FullTime,39.855,926.562,12.561
142,28,Dammam,PartTime,20.034,584.723,13.226
143,51,Dammam,PartTime,20.282,306.941,11.812
144,62,Dammam,FullTime,41.342,927.488,8.049
145,24,Dammam,FullTime,39.104,861.615,13.659
146,21,Dammam,FullTime,41.057,1122.534,17.28
147,41,Dammam,FullTime,41.68,592.881,9.906
148,20,Khobar,FullTime,41.026,784.277,10.144
149,22,Dammam,PartTime,20.858,443.823,6.841
150,49,Dammam,FullTime,40.278,1021.89,13.535
151,49,Dammam,FullTime,41.355,549.959,11.22
152,35,Dammam,FullTime,39.679,786.101,6.439
153,51,Dammam,FullTime,38.848,1141.692,9.476
154,48,Dammam,FullTime,40.806,959.436,11.916
155,32,Dammam,PartTime,24.499,279.766,4.434
156,31,Dammam,PartTime,20.242,370.934,11.526
157,61,Dammam,FullTime,41.473,1349.804,10.58
158,46,Dammam,FullTime,41.054,702.761,10.444
159,25,Dammam,FullTime,38.959,687.658,11.196
160,43,Dammam,FullTime,39.715,462.284,11.649
161,41,Dammam,FullTime,41.447,787.492,10.071
162,23,Dammam,PartTime,18.513,383.283,9.228
163,56,Dammam,PartTime,24.122,176.825,12.502
164,30,Dammam,FullTime,39.791,553.164,10.449
165,19,Dammam,FullTime,38.273,607.445,13.104
166,58,Dammam,FullTime,38.636,420.218,13.23
167,37,Dammam,FullTime,41.478,1154.206,12.137
168,31,Khobar,FullTime,39.505,795.849,11.482
169,32,Dammam,PartTime,23.474,339.684,10.077
170,26,Dammam,FullTime,39.205,788.926,11.644
171,57,Dammam,FullTime,40.768,753.472,13.908
172,32,Dammam,PartTime,19.297,178.197,14.032
173,23,Dammam,PartTime,38.33,392.796,12.083
174,27,Dammam,PartTime,19.46,463.029,11.477
175,18,Dammam,FullTime,38.571,502.868,12.601
176,51,Dammam,FullTime,40.013,830.141,10.074
177,61,Dammam,FullTime,40.046,1210.603,2.846
178,27,Dammam,FullTime,39.071,676.941,9.878
179,28,Dammam,PartTime,21.649,486.16,6.011
180,46,Dammam,FullTime,39.023,552.843,8.821
181,38,Dammam,FullTime,41.525,584.826,9.396
182,40,Dammam,FullTime,39.906,950.922,11.398
183,57,Dammam,FullTime,40.705,643.896,15.073
184,31,Khobar,FullTime,40.124,674.763,13.701
185,45,Dammam,FullTime,40.859,1066.589,11.48
186,56,Dammam,FullTime,38.756,969.229,13.647
187,32,Dammam,PartTime,22.528,378.311,9.227
188,49,Dammam,FullTime,39.563,621.096,10.724
189,24,Dammam,FullTime,39.311,728.037,11.364
190,29,Dammam,FullTime,40.066,595.022,6.719
191,26,Dammam,FullTime,39.814,1049.419,12.374
192,45,Dammam,PartTime,20.528,408.923,10.086
193,53,Dammam,PartTime,19.96,298.573,11.851
194,58,Dammam,FullTime,40.243,958.859,12.793
195,41,Dammam,FullTime,40.639,581.789,10.531
196,39,Dammam,FullTime,38.974,686.621,11.807
197,40,Dammam,FullTime,41.987,827.853,8.223
198,25,Dammam,FullTime,38.992,608.274,11.841
199,28,Dammam,FullTime,39.021,1133.154,15.263
200,31,Khobar,FullTime,40.987,502.758,10.713
201,56,Dammam,FullTime,39.269,685.003,10.902
202,37,Dammam,FullTime,40.0,721.448,10.856
203,24,Dammam,PartTime,18.493,294.552,16.12
204,55,Dammam,FullTime,38.763,694.606,9.964
205,46,Dammam,FullTime,40.455,826.45,8.08
206,52,Dammam,PartTime,21.271,299.16,16.648
207,25,Dammam,FullTime,38.894,472.27,14.133
208,49,Dammam,PartTime,18.486,359.576,15.944
209,39,Dammam,FullTime,40.54,641.006,10.775
210,43,Dammam,PartTime,14.127,138.217,17.295
211,30,Dammam,FullTime,40.009,514.457,5.68
212,60,Khobar,FullTime,40.838,696.526,13.767
213,55,Dammam,PartTime,19.818,274.321,16.117
214,57,Dammam,PartTime,21.078,308.548,11.84
215,63,Dammam,FullTime,39.606,800.881,7.554
216,25,Dammam,PartTime,21.236,351.899,9.88
217,28,Khobar,PartTime,18.557,220.291,15.289
218,55,Dammam,FullTime,39.537,465.825,10.494
219,58,Dammam,FullTime,39.315,581.745,9.828
