,age,region,employment_type,hours_worked,weekly_earnings,tenure_years
0,43.131,Dammam,PartTime,14.931,307.539,15.51
1,59.666,Dammam,PartTime,21.771,530.751,14.136
2,53.651,Khobar,FullTime,38.889,1275.226,5.446
3,47.803,Dammam,FullTime,40.396,906.049,13.891
4,46.413,Dammam,FullTime,40.221,710.899,11.241
5,40.955,Dammam,PartTime,18.115,430.144,10.384
6,48.408,Jeddah,PartTime,17.565,493.868,9.386
7,26.0,Dammam,FullTime,39.161,915.473,18.521
8,29.545,Dammam,FullTime,39.024,822.124,4.426
9,48.368,Dammam,FullTime,39.053,886.729,7.747
10,23.751,Dammam,FullTime,40.505,1251.987,25.409
11,69.969,Dammam,FullTime,37.83,667.947,10.348
12,33.61,Dammam,PartTime,18.804,375.411,12.91
13,38.803,Dammam,FullTime,39.17,1048.348,26.975
14,30.531,Khobar,PartTime,18.554,282.312,17.488
15,38.034,Khobar,FullTime,40.256,849.806,7.975
16,35.37,Alhasa,PartTime,17.259,245.638,7.141
17,41.128,Dammam,FullTime,40.158,971.06,10.837
18,29.442,Dammam,FullTime,39.543,498.501,14.723
19,23.207,Dammam,FullTime,39.037,520.401,14.752
20,29.354,Dammam,FullTime,39.379,576.15,6.159
21,37.467,Dammam,FullTime,40.791,996.034,23.231
22,30.97,Dammam,FullTime,40.96,1066.663,12.337
23,43.905,Dammam,FullTime,37.223,516.27,13.294
24,34.209,Dammam,PartTime,17.317,682.304,15.623
25,36.265,Dammam,FullTime,42.653,950.157,9.167
26,32.418,Dammam,PartTime,16.2,179.64,24.983
27,29.667,Dammam,PartTime,22.182,342.202,17.917
28,46.914,Dammam,FullTime,39.821,694.759,18.063
29,22.592,Dammam,FullTime,41.019,919.49,7.469
30,45.142,Dammam,PartTime,19.352,-20.554,21.803
31,49.486,Dammam,FullTime,40.038,834.294,4.89
32,37.979,Dammam,PartTime,21.485,358.449,11.04
33,37.198,Dammam,FullTime,39.242,690.168,20.632
34,45.553,Dammam,FullTime,41.033,775.325,17.07
35,45.558,Dammam,PartTime,16.453,155.337,4.197
36,46.423,Dammam,FullTime,40.435,766.015,13.417
37,44.161,Dammam,FullTime,40.086,653.012,13.418
38,25.492,Dammam,FullTime,39.842,434.37,10.739
39,22.973,Dammam,FullTime,39.293,551.817,16.92
40,45.576,Dammam,FullTime,40.384,785.885,16.297
41,50.479,Dammam,FullTime,39.719,454.562,11.285
42,53.777,Dammam,PartTime,16.818,261.625,4.779
43,57.6,Dammam,PartTime,25.985,278.964,13.85
44,24.448,Khobar,PartTime,19.984,501.85,20.904
45,22.091,Dammam,FullTime,40.664,1043.73,20.337
46,18.16,Dammam,FullTime,41.013,838.741,34.922
47,29.647,Dammam,FullTime,39.95,1268.212,9.522
48,17.953,Dammam,FullTime,40.252,952.694,12.665
49,57.315,Riyadh,FullTime,19.525,419.897,7.641
50,27.799,Dammam,FullTime,39.55,685.38,13.471
51,39.42,Khobar,FullTime,40.129,610.543,5.3
52,48.978,Dammam,FullTime,32.291,283.313,29.978
53,18.7,Dammam,FullTime,40.377,656.989,25.205
54,20.916,Dammam,PartTime,17.329,424.092,13.033
55,64.523,Dammam,FullTime,41.585,1143.805,9.607
56,51.009,Dammam,PartTime,18.371,501.138,11.405
57,31.671,Dammam,PartTime,22.053,426.856,10.259
58,41.562,Dammam,PartTime,16.866,347.138,6.637
59,18.0,Dammam,FullTime,38.864,836.709,12.552
60,44.232,Dammam,PartTime,19.095,274.456,16.446
61,35.521,Dammam,PartTime,11.983,232.326,20.422
62,57.806,Alhasa,FullTime,40.355,709.799,18.884
63,40.989,Dammam,PartTime,15.068,407.894,15.076
64,25.396,Dammam,FullTime,40.82,838.656,11.443
65,28.802,Dammam,PartTime,14.778,424.615,9.778
66,46.888,Khobar,PartTime,23.013,273.358,13.689
67,17.034,Khobar,FullTime,33.57,727.019,10.625
68,53.874,Dammam,FullTime,42.08,480.879,19.559
69,36.744,Khobar,FullTime,38.519,951.609,9.412
70,33.79,Dammam,PartTime,21.602,251.226,11.394
71,52.01,Dammam,FullTime,40.147,477.206,3.571
72,34.889,Dammam,FullTime,41.167,965.279,9.567
73,11.712,Dammam,FullTime,38.928,771.163,22.378
74,28.65,Dammam,FullTime,39.313,920.342,15.165
75,18.432,Dammam,PartTime,20.29,344.654,12.569
76,53.126,Dammam,FullTime,39.095,1285.605,5.627
77,18.584,Dammam,FullTime,39.727,627.834,29.564
78,25.361,Dammam,FullTime,40.314,687.702,15.743
79,35.149,Alhasa,FullTime,41.631,652.291,18.693
80,29.251,Dammam,FullTime,39.422,1580.978,9.273
81,19.992,Dammam,FullTime,40.552,862.808,8.99
82,59.879,Jubail,FullTime,40.847,1044.022,8.875
83,24.262,Dammam,PartTime,18.931,220.539,14.266
84,26.809,Dammam,PartTime,21.096,534.633,19.012
85,59.876,Dammam,FullTime,39.411,442.293,7.587
86,28.603,Dammam,PartTime,19.29,206.09,23.459
87,57.962,Dammam,FullTime,39.383,637.8,10.986
88,28.71,Dammam,FullTime,40.845,830.162,14.406
89,40.554,Dammam,FullTime,39.864,669.592,16.312
90,29.929,Khobar,FullTime,39.117,381.567,14.808
91,52.291,Khobar,FullTime,40.706,1093.567,18.909
92,35.382,Dammam,PartTime,16.812,321.939,11.092
93,20.766,Dammam,FullTime,41.298,926.751,25.155
94,22.049,Dammam,PartTime,18.819,399.258,18.58
95,42.139,Khobar,FullTime,37.951,665.053,13.505
96,34.163,Dammam,FullTime,40.096,697.394,9.012
97,29.292,Dammam,FullTime,39.7,1027.44,9.981
98,36.95,Dammam,FullTime,38.923,814.219,7.811
99,37.921,Dammam,FullTime,39.544,1224.913,12.605
100,44.416,Dammam,FullTime,37.671,471.75,9.137
101,44.944,Dammam,PartTime,21.655,304.701,13.337
102,43.31,Dammam,PartTime,18.887,237.499,13.33
103,40.082,Dammam,FullTime,39.855,598.078,17.018
104,56.975,Khobar,FullTime,41.038,1008.137,17.838
105,54.629,Dammam,FullTime,39.633,576.302,9.721
106,25.867,Dammam,FullTime,40.281,646.206,21.42
107,26.139,Dammam,FullTime,40.099,872.92,18.543
108,31.68,Dammam,PartTime,18.328,331.381,15.97
109,44.868,Khobar,PartTime,18.219,282.598,16.219
110,30.29,Dammam,PartTime,24.57,211.929,8.712
111,25.365,Dammam,PartTime,14.831,159.236,15.042
112,32.432,Dammam,FullTime,41.505,1467.574,4.949
113,20.173,Dammam,FullTime,42.689,804.171,12.779
