gender,nationality,age,education_level,education_field,marital_status,family_residence,region,department,contract_type,employment_type,employee_status,job_level,job_title,performance_rating,remote_status,business_trips,hours_worked,overtime_hours,hourly_rate,weekly_earnings,bonus,percent_salary_hike,tenure_years,work-life_balance,distance_from_home
Female,Saudi,30,High School,Business,Unmarried,Within district,Dammam,Finance,Fixed Term,FullTime,Active,L1,Secretary,3,On Site,Travels rarely,41.816,14.1,14.919,562.045,0.041,0.0,11.0,3.257,27.861
Male,Saudi,51,High School,Communication,Married,Other district,Dammam,HR,Internship,FullTime,Active,L2,Designer,3,Hybrid,Travels often,41.853,4.049,23.271,1495.943,0.251,0.044,26.163,4.174,28.355
Male,Saudi,32,High School,Social Science,Unmarried,Within district,Dammam,Finance,Permanent,FullTime,Active,L2,Analyst,5,Remote,Travels rarely,39.47,6.222,17.271,484.141,0.052,0.0,14.295,3.913,29.172
Female,Saudi,48,Masters,Business,Unmarried,Within district,Alhasa,HR,Internship,FullTime,Active,L1,Media,3,On Site,Travels rarely,40.464,8.25,16.381,699.922,0.182,0.0,28.449,2.743,16.672
Male,Saudi,19,High School,Communication,Married,Within district,Dammam,Finance,Fixed Term,PartTime,Active,L3,Manager,5,On Site,Travels often,20.244,14.302,19.275,1614.237,0.147,0.174,12.673,2.641,10.267
Male,Saudi,25,High School,Business,Married,Within district,Dammam,Finance,Internship,FullTime,Active,L1,Media,3,On Site,Travels rarely,40.68,0.838,14.945,459.971,0.0,0.2,14.043,3.925,24.557
Female,Expat_Europe,33,High School,Social Science,Unmarried,Within district,Buqaiq,Sales,Internship,FullTime,Active,L1,Analyst,4,Hybrid,Travels rarely,42.119,12.003,17.634,514.933,0.0,0.0,12.854,3.78,11.256
Male,Saudi,25,Bachelors,Humanities,Unmarried,Within district,Dammam,Finance,Internship,PartTime,Active,L1,Sales,3,On Site,Travels rarely,22.576,0.212,17.364,208.828,0.0,0.132,18.511,3.859,11.356
Male,Saudi,57,Masters,STEM,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Analyst,3,Remote,Travels rarely,39.902,2.432,15.723,295.886,0.262,0.0,15.201,3.881,22.134
Male,Saudi,30,High School,STEM,Unmarried,Within district,Dammam,HR,Internship,FullTime,Active,L1,Manager,4,On Site,Travels rarely,39.902,8.37,17.771,715.796,0.116,0.0,7.955,4.358,11.118
Male,Saudi,18,High School,Social Science,Married,Within district,Dammam,HR,Zero Hours,PartTime,Non-Active,L5,Media,3,On Site,Travels rarely,25.174,2.795,47.467,5226.359,0.0,0.001,12.029,4.143,16.289
Male,Saudi,27,High School,Communication,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Analyst,3,Hybrid,Travels often,41.505,12.749,14.891,680.097,0.046,0.085,13.53,4.529,18.402
Male,Saudi,32,High School,Social Science,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L2,Designer,3,Remote,Travels often,39.454,4.519,17.909,461.183,0.0,0.037,11.428,3.544,31.198
Male,Expat_Arab,28,High School,Business,Married,Within district,Buqaiq,Finance,Permanent,FullTime,Active,L1,Media,4,Hybrid,Travels often,41.142,7.861,17.074,1018.229,0.0,0.031,26.413,4.057,20.745
Female,Saudi,44,High School,STEM,Unmarried,Within district,Dammam,Finance,Internship,FullTime,Active,L1,Media,4,Remote,Travels rarely,41.478,10.297,15.623,633.941,0.0,0.0,13.126,3.564,9.394
Male,Expat_Europe,23,High School,Business,Married,Other district,Dammam,Customer Support,Permanent,FullTime,Active,L2,Designer,2,Hybrid,Travels rarely,40.336,16.635,16.96,591.252,0.0,0.199,12.29,4.932,23.623
