gender,nationality,age,education_level,education_field,marital_status,family_residence,region,department,contract_type,employment_type,employee_status,job_level,job_title,performance_rating,remote_status,business_trips,hours_worked,overtime_hours,hourly_rate,weekly_earnings,bonus,percent_salary_hike,tenure_years,work-life_balance,distance_from_home
Male,Saudi,35,High School,Humanities,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,2,On Site,Travels rarely,39.308,0.0,11.066,310.744,0.0,0.0,14.812,2.871,15.043
Male,Saudi,32,High School,Humanities,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,2,On Site,Travels rarely,40.659,0.027,13.326,512.16,0.001,0.0,14.952,2.96,23.33
Male,Saudi,37,High School,Business,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,On Site,Travels rarely,41.237,3.689,15.849,677.223,0.0,0.0,13.394,3.014,17.063
Male,Saudi,25,High School,Business,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,On Site,Travels rarely,41.384,7.75,16.809,812.896,0.0,0.2,14.697,3.248,19.823
Male,Saudi,32,High School,Business,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Media,3,On Site,Travels rarely,13.34,0.069,17.456,278.542,0.0,0.0,15.49,3.034,15.75
Male,Saudi,31,High School,Communication,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,On Site,Travels rarely,40.523,2.841,13.116,556.918,0.001,0.06,14.825,2.953,15.095
Male,Saudi,34,High School,Humanities,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Media,4,On Site,Travels rarely,16.645,2.654,13.212,197.643,0.001,0.2,13.706,3.253,20.218
Male,Saudi,34,High School,Humanities,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,On Site,Travels rarely,40.977,10.632,9.774,450.668,0.0,0.053,14.339,3.365,18.533
Male,Saudi,33,High School,Business,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L2,Media,4,On Site,Travels rarely,22.362,0.095,20.417,795.367,0.002,0.2,11.514,3.28,14.407
Male,Saudi,18,High School,Business,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L4,Media,4,On Site,Travels rarely,39.69,0.042,18.15,4524.435,0.002,0.2,8.956,3.695,16.963
Male,Saudi,34,High School,Communication,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,On Site,Travels rarely,39.238,1.334,12.257,359.473,0.001,0.062,12.376,3.54,13.526
Male,Saudi,36,High School,Business,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,2,On Site,Travels rarely,38.515,3.36,15.107,492.162,0.0,0.2,13.834,3.489,19.553
Male,Saudi,33,High School,Business,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,On Site,Travels rarely,41.152,2.524,14.949,823.872,0.0,0.033,10.796,3.006,19.234
Male,Saudi,28,High School,Humanities,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Media,2,On Site,Travels rarely,17.892,0.058,12.822,147.126,0.0,0.0,10.324,3.094,17.243
Male,Saudi,27,High School,Humanities,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,4,On Site,Travels rarely,38.774,9.214,11.078,466.516,0.001,0.199,8.921,3.357,14.976
Male,Saudi,36,High School,Business,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Media,3,On Site,Travels rarely,23.386,3.225,19.104,334.741,0.002,0.2,12.348,3.68,20.055
Male,Saudi,28,High School,Humanities,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,2,On Site,Travels rarely,38.66,4.81,14.967,637.847,0.0,0.023,11.941,3.56,16.341
Male,Saudi,27,High School,Business,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,2,On Site,Travels rarely,39.543,3.649,14.9,410.647,0.0,0.0,15.57,3.199,22.656
Male,Saudi,37,High School,Business,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L4,Media,2,On Site,Travels rarely,16.898,2.493,42.814,2671.281,0.0,0.033,13.39,3.117,12.96
Male,Saudi,27,High School,Business,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,On Site,Travels rarely,40.431,4.628,15.649,607.427,0.0,0.0,17.153,3.979,16.758
Male,Saudi,32,High School,Humanities,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,On Site,Travels rarely,39.344,6.91,11.737,428.717,0.0,0.052,13.411,3.075,17.009
Male,Saudi,32,High School,Humanities,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,4,On Site,Travels rarely,39.62,3.05,11.685,219.565,0.0,0.2,11.68,3.787,14.194
Male,Saudi,29,High School,Business,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,On Site,Travels rarely,39.649,3.022,15.418,748.303,0.0,0.2,11.14,3.112,17.036
Male,Saudi,34,High School,Business,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Media,4,On Site,Travels rarely,20.257,0.032,17.988,365.149,0.001,0.2,12.845,3.192,17.88
Male,Saudi,35,High School,Communication,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,2,On Site,Travels rarely,39.044,9.667,12.802,477.27,0.001,0.0,12.813,3.184,16.715
Male,Saudi,32,High School,Humanities,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,4,On Site,Travels rarely,38.184,2.824,11.7,354.566,0.003,0.0,9.663,3.17,16.24
Male,Saudi,24,High School,Humanities,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,4,On Site,Travels rarely,39.062,6.566,13.414,502.608,0.0,0.2,12.155,3.492,17.779
Male,Saudi,32,High School,Business,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,2,On Site,Travels rarely,39.918,4.172,14.842,732.05,0.0,0.051,6.395,3.402,20.383
Male,Saudi,18,High School,Business,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,2,On Site,Travels rarely,38.708,9.402,14.875,704.488,0.0,0.053,9.659,3.586,17.897
Male,Saudi,35,High School,Communication,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,2,On Site,Travels rarely,40.127,4.709,13.986,715.689,0.0,0.066,14.757,3.663,16.369
Male,Saudi,32,High School,Business,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,4,On Site,Travels rarely,40.197,5.928,17.033,681.314,0.002,0.2,9.326,3.34,17.111
Male,Saudi,30,High School,Business,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,On Site,Travels rarely,40.414,3.433,18.878,1057.99,0.0,0.0,10.31,3.183,16.795
Male,Saudi,34,High School,Humanities,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,4,On Site,Travels rarely,40.896,4.758,11.947,358.793,0.4,0.2,13.016,3.712,21.374
Male,Saudi,32,High School,Business,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L3,Media,4,On Site,Travels rarely,40.067,0.048,26.52,2011.545,0.001,0.199,12.719,3.27,19.626
Male,Saudi,20,High School,Business,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Media,3,On Site,Travels rarely,22.732,0.079,19.279,251.57,0.0,0.199,12.521,3.334,18.009
Male,Saudi,34,High School,Business,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L2,Media,4,On Site,Travels rarely,18.229,2.804,21.562,426.105,0.4,0.2,10.565,3.289,19.171
Male,Saudi,27,High School,Business,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Media,4,On Site,Travels rarely,21.952,2.764,15.044,335.294,0.0,0.2,8.234,3.035,16.762
Male,Saudi,29,High School,Business,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L2,Media,4,On Site,Travels rarely,13.527,0.001,19.773,481.573,0.0,0.06,15.155,3.563,16.934
Male,Saudi,29,High School,Business,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,On Site,Travels rarely,38.908,0.019,18.703,627.916,0.0,0.032,14.898,3.314,13.952
Male,Saudi,27,High School,Humanities,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,4,On Site,Travels rarely,39.543,3.191,11.785,281.856,0.0,0.199,16.347,2.996,18.831
Male,Saudi,33,High School,Humanities,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,On Site,Travels rarely,40.426,4.544,10.958,378.499,0.0,0.0,9.081,3.03,14.213
Male,Saudi,32,High School,Humanities,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,On Site,Travels rarely,40.006,7.39,9.225,449.845,0.004,0.0,16.492,3.046,18.423
Male,Saudi,35,High School,Humanities,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,4,On Site,Travels rarely,39.757,11.591,12.214,325.426,0.001,0.199,15.77,3.104,17.575
Male,Saudi,32,High School,Business,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Media,3,On Site,Travels rarely,15.789,0.611,15.175,289.777,0.0,0.049,12.69,3.577,14.882
