gender,nationality,age,education_level,education_field,marital_status,family_residence,region,department,contract_type,employment_type,employee_status,job_level,job_title,performance_rating,remote_status,business_trips,hours_worked,overtime_hours,hourly_rate,weekly_earnings,bonus,percent_salary_hike,tenure_years,work-life_balance,distance_from_home
Female,Saudi,36.414,High School,Humanities,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3.825,Remote,Travels rarely,34.753,0.023,14.358,307.328,0.004,0.186,14.928,3.008,19.054
Male,Expat_Arab,47.886,Bachelors,Social Science,Married,Within district,Dammam,HR,Internship,FullTime,Active,L1,Secretary,3.152,On Site,Travels rarely,40.003,5.296,14.74,642.161,0.249,0.228,18.277,3.46,13.366
Male,Saudi,22.891,High School,STEM,Unmarried,Within district,Jeddah,HR,Permanent,PartTime,Active,L1,Sales,1.649,On Site,Travels rarely,37.901,3.62,6.982,132.762,0.008,-0.0,21.455,3.998,26.512
Male,Saudi,43.507,High School,Communication,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L2,Designer,2.652,Hybrid,Travels rarely,39.6,9.281,14.532,861.992,0.027,-0.0,15.298,2.288,28.043
Male,Expat_Asia,37.726,Bachelors,Social Science,Married,Other district,Dammam,HR,Permanent,FullTime,Active,L2,Media,2.446,Hybrid,Travels rarely,40.767,4.489,15.62,556.165,0.02,-0.03,10.544,2.805,23.508
Female,Expat_Arab,20.482,High School,Business,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Analyst,3.989,Hybrid,Travels rarely,27.471,-2.81,12.428,336.241,0.12,0.117,8.513,3.296,34.432
Male,Saudi,42.091,High School,Business,Married,Within district,Alhasa,Sales,Zero Hours,FullTime,Active,L1,Designer,2.378,On Site,Travels rarely,16.68,1.776,22.821,800.673,0.295,0.0,17.426,3.809,31.045
Male,Saudi,32.865,High School,Humanities,Married,Within district,Dammam,HR,Zero Hours,FullTime,Active,L1,Designer,3.65,Hybrid,Travels rarely,37.257,7.172,12.619,628.505,0.033,0.175,6.304,2.336,26.639
Female,Saudi,60.742,Bachelors,Communication,Married,Within district,Dammam,HR,Internship,FullTime,Active,L1,Media,4.523,Hybrid,Travels rarely,37.535,-3.265,13.009,270.316,0.087,0.0,12.286,2.063,21.946
Female,Saudi,15.156,High School,Social Science,Unmarried,Other district,Dammam,IT,Internship,PartTime,Active,L1,Analyst,3.067,Hybrid,Travels rarely,19.397,0.041,10.391,206.624,0.0,0.192,3.208,4.319,21.171
Male,Expat_US,22.827,High School,Communication,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L5,Designer,3.823,On Site,Travels rarely,20.982,0.047,37.361,7329.684,-0.066,-0.048,11.618,5.128,17.467
Male,Expat_Asia,20.19,High School,Social Science,Married,Within district,Dammam,HR,Zero Hours,FullTime,Active,L1,Media,1.783,On Site,Travels rarely,35.53,4.472,14.112,427.72,-0.005,0.163,27.56,2.9,12.992
Male,Saudi,43.033,Bachelors,Communication,Married,Other district,Dammam,IT,Permanent,FullTime,Active,L1,Media,2.681,Hybrid,Travels rarely,41.141,0.361,13.811,758.904,-0.013,-0.009,19.162,2.155,12.013
Male,Saudi,15.776,High School,STEM,Unmarried,Other district,Khobar,IT,Permanent,FullTime,Active,L1,Designer,4.0,Hybrid,Travels rarely,34.99,1.584,19.127,1348.235,0.209,0.2,5.46,3.88,24.959
Male,Saudi,31.396,Bachelors,Humanities,Unmarried,Within district,Buqaiq,HR,Internship,FullTime,Active,L1,Sales,2.736,Hybrid,Travels often,41.729,1.382,8.069,376.507,0.08,0.037,20.621,3.137,16.87
Male,Expat_Arab,31.993,PhD,Humanities,Married,Within district,Dammam,HR,Internship,FullTime,Active,L1,Media,1.0,On Site,Travels rarely,40.179,4.97,31.643,692.025,0.011,-0.04,7.64,2.476,14.297
Female,Saudi,27.435,High School,STEM,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L2,Media,4.0,On Site,Travels rarely,31.46,2.738,17.536,686.307,0.258,0.2,1.524,3.357,26.764
Male,Saudi,39.705,High School,Humanities,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Designer,3.23,Remote,Travels rarely,41.209,-5.522,13.28,744.668,0.0,0.013,16.274,3.418,38.128
Male,Saudi,30.496,High School,Communication,Married,Within district,Dammam,Finance,Internship,FullTime,Active,L4,Designer,2.849,On Site,Travels rarely,33.266,12.744,33.226,2970.315,0.148,0.021,8.378,3.111,18.072
Female,Saudi,30.106,High School,Humanities,Married,Within district,Khobar,HR,Permanent,FullTime,Active,L1,Media,2.567,Hybrid,Travels rarely,37.211,4.69,-3.575,-986.522,0.285,0.009,17.818,4.456,6.98
Male,Saudi,39.962,High School,Humanities,Unmarried,Within district,Khobar,HR,Permanent,FullTime,Active,L1,Analyst,1.359,Remote,Travels rarely,41.15,2.959,9.728,530.853,-0.143,0.094,13.185,3.828,16.206
