,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
0,reason_23,month_0,day_2,season_4,235,9,14,36,212.53943891879908,93,0,education_3,son_1,0,0,pet_1,88,172,29,3
1,reason_3,month_8,day_3,season_1,301,51,7,27,266.72221556695894,95,0,education_1,son_1,1,0,pet_5,78,172,26,8
2,reason_13,month_3,day_3,season_2,178,52,18,38,209.7362476418515,100,0,education_1,son_0,1,0,pet_0,89,170,31,8
3,reason_13,month_9,day_4,season_1,180,51,18,39,281.67921862709017,83,0,education_1,son_0,1,0,pet_0,89,170,31,8
4,reason_14,month_8,day_5,season_1,350,27,13,47,273.38485442620043,95,0,education_1,son_2,1,1,pet_1,79,175,25,2
5,reason_18,month_5,day_4,season_3,225,12,17,57,246.7350244157545,99,0,education_1,son_2,0,0,pet_1,68,172,22,8
6,reason_19,month_9,day_3,season_1,238,22,13,47,242.128104172232,92,0,education_1,son_1,1,0,pet_0,105,167,37,8
7,reason_22,month_6,day_2,season_3,364,51,1,27,351.0168960172992,95,0,education_1,son_1,1,0,pet_4,80,172,27,8
8,reason_28,month_2,day_6,season_2,248,50,11,37,247.60383575783845,96,0,education_1,son_4,1,0,pet_0,66,168,23,3
9,reason_23,month_4,day_6,season_3,272,29,11,40,336.6362507603119,96,0,education_1,son_1,1,0,pet_1,69,171,25,3
10,reason_7,month_3,day_2,season_2,226,26,9,27,211.72892849828878,100,0,education_1,son_1,0,0,pet_2,69,169,23,8
11,reason_28,month_3,day_6,season_2,245,18,17,41,244.8505083642461,98,0,education_1,son_0,1,0,pet_0,66,170,24,2
12,reason_27,month_6,day_6,season_3,179,27,9,30,275.7419812194697,96,0,education_2,son_0,0,0,pet_0,61,171,21,2
13,reason_16,month_3,day_5,season_2,182,52,18,39,229.089124085173,100,0,education_1,son_0,1,0,pet_0,89,170,31,3
14,reason_23,month_9,day_6,season_1,246,18,15,44,257.3368206366026,84,0,education_1,son_2,0,0,pet_1,82,164,36,1
15,reason_22,month_3,day_3,season_2,322,48,11,37,244.74378735395666,98,0,education_1,son_2,0,1,pet_8,65,175,21,8
16,reason_8,month_0,day_4,season_3,226,27,9,27,240.1186916530973,99,0,education_1,son_1,0,0,pet_2,74,169,24,3
17,reason_26,month_11,day_6,season_4,325,25,12,32,269.4706639846912,93,0,education_1,son_3,1,0,pet_0,72,169,25,8
18,reason_23,month_1,day_5,season_2,192,40,2,28,340.4734089967327,95,0,education_1,son_0,0,0,pet_0,63,168,19,2
19,reason_9,month_2,day_4,season_2,183,52,18,39,264.7055171356765,97,0,education_1,son_0,1,0,pet_0,89,170,31,2
20,reason_19,month_12,day_2,season_2,296,39,13,33,224.21662513020564,93,0,education_1,son_2,1,0,pet_1,90,172,29,8
21,reason_1,month_11,day_6,season_4,234,13,4,32,267.79588773260105,93,0,education_2,son_0,0,0,pet_0,77,184,25,8
22,reason_23,month_9,day_5,season_1,178,51,18,39,281.76363700854785,85,0,education_1,son_0,1,0,pet_0,89,170,31,1
23,reason_13,month_6,day_5,season_3,182,26,9,30,273.0050948105198,96,0,education_2,son_0,0,0,pet_0,59,171,19,2
24,reason_28,month_3,day_2,season_2,183,51,18,39,244.53367565655998,98,0,education_1,son_0,1,0,pet_0,88,170,31,2
25,reason_11,month_3,day_2,season_3,229,26,9,28,370.0567270672651,95,0,education_1,son_1,0,0,pet_2,71,169,24,8
26,reason_22,month_6,day_2,season_3,344,52,6,28,354.22276622905036,94,0,education_1,son_1,1,0,pet_8,75,172,27,8
27,reason_28,month_11,day_6,season_4,179,52,18,38,273.37519610506104,93,0,education_1,son_0,1,0,pet_0,89,170,31,1
28,reason_22,month_10,day_6,season_4,298,38,13,32,257.0622321875257,85,0,education_1,son_2,1,0,pet_1,90,172,29,8
29,reason_28,month_2,day_5,season_2,128,14,14,34,307.6581381798509,100,0,education_1,son_2,1,0,pet_0,97,186,25,2
30,reason_10,month_6,day_2,season_3,247,21,17,40,366.2177671454201,94,0,education_1,son_0,1,0,pet_0,65,170,23,8
31,reason_8,month_12,day_3,season_3,140,16,18,50,238.87153135032244,99,0,education_1,son_1,1,0,pet_0,97,178,31,3
