Unnamed: 0,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,26,No,Travel_Frequently,1399,Research & Development,6,3,Medical,1,3,Male,75,2,1,Research Scientist,3,Divorced,2933,21974,1,Y,Yes,18,3,4,80,1,0,2,2,1,1,0,1
1,40,No,Travel_Rarely,959,Research & Development,4,3,Life Sciences,1,3,Male,83,1,5,Research Director,4,Married,16988,18500,3,Y,No,13,3,2,80,1,25,2,3,8,10,0,9
2,41,No,Travel_Rarely,847,Research & Development,9,4,Life Sciences,1,3,Male,87,3,1,Sales Representative,1,Married,2217,5193,7,Y,No,20,4,4,80,1,8,2,3,5,0,1,2
3,48,No,Travel_Rarely,1042,Research & Development,23,3,Life Sciences,1,2,Male,84,3,2,Manufacturing Director,2,Married,3938,11347,1,Y,No,13,3,4,80,1,10,3,2,9,8,3,9
4,38,No,Travel_Frequently,260,Research & Development,26,1,Life Sciences,1,4,Male,36,2,2,Research Scientist,3,Single,3745,18138,1,Y,No,11,3,4,80,0,23,2,3,19,9,9,11
5,39,No,Travel_Rarely,558,Human Resources,2,3,Other,1,3,Male,37,4,1,Human Resources,3,Married,1772,4831,1,Y,No,13,3,4,80,1,2,2,4,8,9,13,1
6,32,No,Travel_Rarely,1051,Research & Development,11,3,Medical,1,3,Female,87,3,1,Human Resources,1,Married,4194,18451,5,Y,No,22,4,2,80,1,16,3,3,8,4,0,2
7,53,No,Non-Travel,800,Sales,7,3,Life Sciences,1,3,Female,89,4,4,Sales Executive,1,Married,19419,19711,6,Y,No,12,3,4,80,2,37,6,2,8,9,4,8
8,42,Yes,Travel_Rarely,1261,Research & Development,24,1,Medical,1,2,Male,70,3,2,Healthcare Representative,1,Married,7269,9101,2,Y,Yes,19,3,2,80,0,17,2,3,4,0,0,1
9,37,No,Travel_Frequently,983,Sales,23,5,Life Sciences,1,2,Male,74,3,3,Sales Executive,1,Married,12239,9448,1,Y,No,22,4,4,80,1,10,3,2,9,6,1,5
10,49,No,Travel_Frequently,1128,Human Resources,6,3,Medical,1,1,Male,85,3,5,Manager,2,Married,15739,3031,1,Y,No,11,3,3,80,1,25,2,3,24,4,14,6
11,38,No,Non-Travel,1269,Research & Development,9,5,Technical Degree,1,2,Male,92,3,1,Human Resources,3,Married,1948,8957,4,Y,No,17,3,4,80,1,8,1,3,4,1,2,0
12,56,No,Travel_Rarely,1352,Research & Development,11,4,Life Sciences,1,4,Female,83,3,2,Laboratory Technician,3,Married,1403,22001,8,Y,No,20,4,2,80,1,10,3,3,5,2,2,2
13,33,No,Travel_Rarely,913,Research & Development,1,3,Life Sciences,1,3,Male,40,2,3,Manufacturing Director,2,Divorced,10159,16024,5,Y,No,19,3,2,80,1,15,2,1,5,7,4,2
14,48,No,Travel_Rarely,605,Research & Development,6,2,Medical,1,4,Female,37,3,2,Manufacturing Director,3,Single,4179,21147,5,Y,No,13,3,2,80,0,3,5,3,2,1,1,0
15,39,No,Non-Travel,104,Research & Development,1,4,Life Sciences,1,1,Female,74,4,2,Manufacturing Director,1,Single,5497,25839,2,Y,Yes,11,3,4,80,0,16,2,3,14,9,4,12
16,34,No,Travel_Rarely,519,Sales,16,3,Human Resources,1,4,Female,82,2,2,Sales Executive,3,Married,7011,9708,1,Y,No,24,4,4,80,3,4,2,3,6,10,1,5
17,19,No,Travel_Rarely,883,Research & Development,2,3,Life Sciences,1,1,Female,82,3,1,Research Scientist,4,Divorced,3670,6127,1,Y,No,19,3,1,80,2,2,4,3,1,1,1,3
18,41,Yes,Travel_Rarely,1498,Sales,3,3,Technical Degree,1,1,Female,97,1,2,Sales Executive,3,Single,5433,13186,6,Y,No,14,3,2,80,0,8,2,2,0,4,1,4
19,45,No,Travel_Rarely,225,Research & Development,29,5,Life Sciences,1,3,Female,62,2,3,Healthcare Representative,3,Married,10817,26934,0,Y,No,19,3,1,80,1,38,5,2,18,8,1,8
20,41,No,Travel_Frequently,1458,Sales,1,4,Life Sciences,1,1,Male,91,3,2,Sales Executive,4,Married,6602,19383,1,Y,No,25,4,3,80,1,8,1,3,5,8,3,7
21,39,No,Travel_Rarely,670,Research & Development,2,4,Other,1,4,Female,77,2,2,Healthcare Representative,3,Single,4092,24105,1,Y,No,11,3,1,80,0,32,6,3,18,8,3,10
22,24,No,Travel_Rarely,572,Research & Development,6,1,Medical,1,3,Male,92,3,1,Research Scientist,4,Single,2857,23766,1,Y,No,18,3,3,80,0,7,2,3,4,1,2,2
23,37,No,Travel_Rarely,653,Research & Development,10,4,Life Sciences,1,3,Female,80,3,2,Manufacturing Director,3,Married,3604,10480,7,Y,Yes,11,3,2,80,2,1,2,3,0,1,1,0
24,41,No,Travel_Rarely,819,Sales,1,1,Life Sciences,1,2,Female,44,3,2,Sales Executive,1,Divorced,7042,14192,3,Y,No,16,3,4,80,1,10,3,3,8,9,1,9
25,37,No,Travel_Rarely,882,Research & Development,8,4,Medical,1,4,Male,72,3,2,Research Scientist,1,Married,4183,9098,8,Y,Yes,21,4,3,80,1,17,2,3,8,5,0,2
26,32,No,Travel_Rarely,480,Research & Development,10,4,Medical,1,1,Female,52,3,2,Healthcare Representative,3,Single,6259,3062,3,Y,Yes,18,3,3,80,0,10,6,3,6,2,0,4
27,21,No,Travel_Rarely,376,Research & Development,21,3,Other,1,4,Male,47,3,2,Manufacturing Director,4,Divorced,3831,25078,4,Y,No,11,3,2,80,2,3,2,1,3,1,1,2
28,24,Yes,Travel_Rarely,225,Sales,11,3,Life Sciences,1,3,Female,96,1,1,Laboratory Technician,2,Single,2247,22198,1,Y,No,15,3,4,80,0,7,5,3,2,0,0,0
29,59,No,Travel_Rarely,1063,Research & Development,29,4,Life Sciences,1,1,Male,86,3,1,Research Scientist,3,Divorced,3141,23422,1,Y,No,12,3,4,80,3,1,3,3,2,1,1,3
30,29,Yes,Travel_Rarely,411,Sales,8,5,Life Sciences,1,1,Female,65,3,2,Sales Executive,3,Single,4938,23237,6,Y,No,13,3,1,80,0,3,3,3,0,2,2,1
31,23,Yes,Travel_Rarely,137,Sales,5,3,Other,1,3,Male,51,2,2,Sales Executive,3,Single,5756,21122,1,Y,Yes,11,3,4,80,0,2,1,3,7,4,0,4
32,32,No,Travel_Rarely,925,Research & Development,2,3,Medical,1,4,Male,56,2,1,Sales Representative,1,Single,2826,24461,1,Y,No,17,3,2,80,0,3,3,3,0,0,1,4
33,41,No,Non-Travel,1081,Research & Development,29,3,Life Sciences,1,3,Female,95,3,3,Manufacturing Director,1,Married,11808,8683,9,Y,No,11,3,3,80,1,12,6,3,5,8,0,1
34,34,No,Travel_Rarely,1365,Research & Development,4,3,Medical,1,4,Female,52,2,3,Healthcare Representative,2,Single,9929,15746,1,Y,No,13,3,2,80,0,10,3,1,8,8,4,5
35,37,No,Travel_Rarely,668,Research & Development,8,2,Medical,1,3,Female,83,4,2,Research Scientist,3,Married,4517,26287,6,Y,No,11,3,3,80,1,10,3,2,5,3,2,4
36,46,No,Travel_Frequently,614,Research & Development,24,3,Medical,1,2,Male,65,3,2,Laboratory Technician,2,Married,2259,24667,4,Y,No,12,3,3,80,1,14,3,1,2,1,2,2
37,21,No,Travel_Rarely,1376,Research & Development,12,5,Human Resources,1,4,Male,39,2,2,Laboratory Technician,2,Married,4704,24954,4,Y,Yes,14,3,1,80,1,11,2,3,4,4,0,2
38,37,No,Travel_Rarely,207,Research & Development,4,3,Life Sciences,1,2,Female,63,4,1,Sales Representative,4,Married,1187,21564,3,Y,No,11,3,2,80,0,2,3,3,4,0,0,0
39,34,No,Travel_Rarely,1296,Research & Development,26,3,Human Resources,1,3,Female,93,1,1,Research Scientist,3,Married,1859,22048,0,Y,No,16,3,4,80,0,6,5,2,1,0,0,1
40,21,No,Non-Travel,508,Research & Development,2,3,Life Sciences,1,4,Male,72,4,2,Healthcare Representative,3,Single,6797,21755,6,Y,Yes,11,3,4,80,0,10,6,1,0,2,0,2
41,24,Yes,Travel_Rarely,912,Research & Development,7,3,Technical Degree,1,4,Female,99,3,1,Research Scientist,1,Single,2372,12094,6,Y,Yes,12,3,3,80,0,6,5,3,6,2,0,2
42,48,No,Travel_Rarely,1011,Research & Development,16,3,Life Sciences,1,1,Female,79,2,3,Manufacturing Director,3,Married,10263,26040,1,Y,No,14,3,4,80,2,15,2,3,20,16,4,13
43,38,No,Non-Travel,196,Research & Development,14,3,Medical,1,1,Male,53,1,1,Sales Representative,3,Single,4393,6572,9,Y,No,14,3,3,80,0,9,6,3,7,1,1,3
44,32,No,Travel_Frequently,769,Sales,7,5,Life Sciences,1,2,Female,86,2,1,Laboratory Technician,4,Single,1824,19784,0,Y,No,15,3,4,80,0,5,2,2,1,1,2,2
45,51,No,Travel_Frequently,1493,Research & Development,2,4,Medical,1,1,Female,44,2,3,Healthcare Representative,1,Single,10935,20836,3,Y,No,25,4,3,80,0,35,4,2,11,15,3,10
46,21,Yes,Travel_Rarely,351,Research & Development,7,5,Life Sciences,1,4,Male,70,3,1,Research Scientist,2,Single,2028,20053,1,Y,Yes,20,4,1,80,0,1,2,3,2,0,0,0
47,22,No,Travel_Frequently,269,Research & Development,28,1,Technical Degree,1,4,Female,34,3,2,Manufacturing Director,4,Single,6607,7429,2,Y,No,21,4,4,80,0,10,3,2,6,4,2,3
48,34,No,Non-Travel,987,Research & Development,3,4,Human Resources,1,2,Male,68,3,1,Research Scientist,2,Single,1804,16333,2,Y,No,13,3,2,80,0,12,3,3,7,8,0,7
49,52,No,Travel_Frequently,1220,Human Resources,5,3,Medical,1,1,Male,89,3,5,Manager,2,Married,18935,7667,1,Y,No,11,3,3,80,1,40,2,3,32,4,3,9
50,27,No,Travel_Rarely,1067,Research & Development,3,3,Life Sciences,1,1,Male,87,2,1,Sales Representative,3,Single,2088,9779,1,Y,No,11,3,1,80,0,5,2,2,1,1,2,3
51,33,No,Travel_Rarely,835,Human Resources,4,1,Other,1,3,Male,86,3,1,Sales Representative,4,Married,3805,7731,0,Y,No,16,3,3,80,1,4,4,4,1,2,0,2
52,60,No,Travel_Rarely,1498,Research & Development,12,3,Life Sciences,1,3,Female,51,3,5,Manager,2,Single,18921,19146,3,Y,No,19,3,2,80,0,27,5,3,6,5,13,4
53,20,No,Travel_Rarely,1055,Research & Development,2,3,Medical,1,3,Female,52,2,2,Manufacturing Director,4,Single,5944,24260,8,Y,Yes,20,4,2,80,0,13,5,2,1,0,0,0
54,38,No,Travel_Rarely,1285,Research & Development,18,1,Life Sciences,1,3,Male,61,2,4,Research Director,3,Married,14724,7899,1,Y,No,22,4,1,80,1,17,3,3,11,8,10,6
55,40,Yes,Travel_Rarely,904,Sales,4,3,Other,1,4,Male,56,3,2,Human Resources,4,Married,1667,7807,3,Y,No,13,3,3,80,1,23,4,4,1,0,0,1
56,38,No,Travel_Rarely,172,Research & Development,4,5,Life Sciences,1,2,Female,82,3,2,Manufacturing Director,1,Married,6982,4899,8,Y,Yes,16,3,2,80,1,12,3,3,0,0,0,1
57,45,No,Travel_Rarely,1216,Research & Development,12,4,Life Sciences,1,4,Female,51,4,1,Laboratory Technician,3,Married,2871,22616,3,Y,Yes,13,3,3,80,1,10,3,3,7,8,2,6
58,35,No,Travel_Rarely,1359,Research & Development,1,4,Life Sciences,1,4,Male,65,2,1,Research Scientist,3,Divorced,1090,8563,3,Y,No,11,3,3,80,1,15,3,3,6,4,6,5
59,18,No,Travel_Rarely,1120,Research & Development,15,4,Life Sciences,1,3,Female,92,3,1,Research Scientist,4,Divorced,1217,21118,4,Y,No,20,4,1,80,1,11,4,3,5,3,2,6
60,45,No,Travel_Rarely,242,Research & Development,1,5,Other,1,3,Female,50,3,4,Manager,4,Married,13373,9406,1,Y,Yes,12,3,3,80,1,19,3,2,31,14,15,1
61,58,No,Travel_Rarely,911,Research & Development,23,2,Life Sciences,1,4,Female,33,2,3,Research Director,1,Divorced,12826,20678,8,Y,No,17,3,3,80,2,24,3,3,12,16,1,11
62,28,Yes,Non-Travel,248,Research & Development,5,1,Medical,1,3,Male,77,3,1,Sales Representative,3,Single,1557,9083,1,Y,No,12,3,4,80,0,2,6,3,3,0,0,1
63,55,No,Travel_Rarely,1286,Sales,14,4,Other,1,1,Female,55,3,4,Manager,3,Married,17477,4379,5,Y,No,14,3,3,80,1,24,2,2,19,10,8,17
64,36,No,Travel_Rarely,1167,Research & Development,1,4,Life Sciences,1,1,Male,42,2,2,Manufacturing Director,3,Divorced,5790,6458,1,Y,No,19,3,3,80,1,1,2,1,5,5,0,8
65,33,No,Non-Travel,1482,Research & Development,7,3,Life Sciences,1,3,Male,38,3,2,Healthcare Representative,4,Divorced,10817,4355,3,Y,No,24,4,3,80,1,17,2,1,15,17,14,6
66,42,No,Non-Travel,1306,Sales,1,4,Life Sciences,1,1,Male,92,3,2,Sales Executive,4,Married,5434,16118,1,Y,No,23,4,3,80,1,7,6,3,6,7,14,9
67,41,No,Travel_Rarely,1433,Research & Development,2,3,Marketing,1,4,Female,69,3,3,Research Director,1,Married,17116,18380,1,Y,No,13,3,2,80,1,13,3,3,11,14,14,5
68,34,Yes,Travel_Frequently,753,Sales,13,4,Marketing,1,4,Male,52,3,2,Sales Executive,4,Single,4327,9959,3,Y,Yes,21,4,1,80,0,13,2,4,10,8,9,9
69,59,No,Travel_Rarely,787,Sales,2,4,Medical,1,4,Female,58,3,5,Manager,4,Divorced,19535,25377,3,Y,No,12,3,3,80,1,33,3,2,8,0,0,5
70,30,No,Travel_Rarely,317,Research & Development,29,1,Technical Degree,1,3,Male,59,2,1,Sales Representative,1,Divorced,1933,8567,0,Y,No,13,3,2,80,3,5,3,3,4,2,0,1
71,37,No,Travel_Rarely,1076,Sales,12,4,Marketing,1,2,Female,65,2,2,Sales Executive,3,Married,6649,6122,1,Y,Yes,14,3,1,80,1,11,6,3,11,7,1,9
72,35,No,Travel_Rarely,543,Research & Development,5,4,Medical,1,3,Female,90,3,2,Manufacturing Director,1,Married,7181,10967,1,Y,No,12,3,3,80,1,8,2,4,5,7,9,3
73,20,Yes,Non-Travel,368,Research & Development,2,3,Life Sciences,1,1,Male,62,3,1,Research Scientist,1,Married,3174,18354,2,Y,Yes,13,3,2,80,1,5,2,3,0,1,2,3
74,47,No,Travel_Rarely,826,Research & Development,3,3,Life Sciences,1,3,Female,96,2,3,Manufacturing Director,2,Divorced,12215,15569,7,Y,Yes,12,3,3,80,1,28,4,3,29,15,3,7
75,52,No,Travel_Frequently,1023,Sales,1,4,Life Sciences,1,1,Male,80,2,5,Manager,3,Single,18222,26403,1,Y,Yes,17,3,4,80,0,39,2,4,36,6,10,16
76,28,Yes,Travel_Frequently,444,Sales,12,4,Life Sciences,1,2,Male,71,2,1,Human Resources,1,Married,3219,16157,1,Y,No,18,3,3,80,1,4,2,4,3,0,0,1
77,22,No,Non-Travel,1346,Sales,3,5,Medical,1,4,Female,74,1,2,Sales Executive,4,Divorced,3509,15777,1,Y,Yes,25,4,2,80,2,8,3,3,6,5,0,4
78,18,No,Travel_Frequently,1120,Research & Development,2,3,Life Sciences,1,4,Male,51,4,2,Research Scientist,1,Married,3685,5970,1,Y,No,22,4,2,80,0,10,5,3,12,7,14,9
79,48,No,Travel_Rarely,422,Research & Development,19,3,Life Sciences,1,3,Female,93,3,3,Manufacturing Director,4,Single,8251,21433,5,Y,Yes,16,3,4,80,0,18,2,2,4,1,10,2
80,30,Yes,Travel_Rarely,283,Human Resources,19,2,Technical Degree,1,4,Male,55,1,1,Human Resources,3,Married,1744,9548,1,Y,No,11,3,3,80,1,6,2,3,0,0,0,1
81,42,Yes,Travel_Frequently,1222,Sales,3,3,Life Sciences,1,3,Male,86,4,4,Sales Executive,3,Married,13318,20541,2,Y,No,12,3,3,80,0,30,3,4,25,5,3,7
82,51,Yes,Travel_Rarely,429,Research & Development,5,4,Medical,1,3,Female,35,2,3,Manufacturing Director,1,Married,8072,12258,7,Y,Yes,13,3,4,80,0,24,1,2,9,9,4,6
83,37,No,Travel_Rarely,872,Human Resources,12,3,Other,1,3,Male,49,3,1,Laboratory Technician,2,Married,1818,24497,4,Y,No,14,3,2,80,1,4,2,3,5,1,0,4
84,30,No,Travel_Frequently,409,Sales,25,5,Other,1,4,Female,97,3,2,Sales Executive,3,Married,4260,3751,6,Y,Yes,12,3,2,80,1,5,2,1,3,2,1,4
85,32,No,Travel_Rarely,636,Research & Development,8,4,Medical,1,1,Male,38,3,1,Research Scientist,4,Single,3030,20936,1,Y,No,13,3,3,80,0,5,6,4,0,0,0,1
86,29,No,Travel_Rarely,399,Research & Development,2,3,Life Sciences,1,3,Female,41,1,2,Manufacturing Director,4,Single,6941,22615,5,Y,No,20,4,3,80,0,9,2,3,6,4,0,3
87,54,Yes,Non-Travel,812,Sales,2,4,Life Sciences,1,2,Male,89,3,2,Sales Executive,3,Divorced,5370,18310,7,Y,No,11,3,4,80,3,12,3,3,7,5,0,0
88,38,No,Non-Travel,343,Research & Development,7,1,Medical,1,4,Male,56,2,3,Research Director,2,Divorced,13340,25036,9,Y,No,12,3,3,80,1,12,4,3,13,9,13,9
89,36,No,Travel_Rarely,135,Research & Development,2,3,Life Sciences,1,4,Female,95,3,1,Research Scientist,3,Married,1602,8790,4,Y,No,14,3,2,80,1,4,3,3,0,2,1,3
90,27,Yes,Travel_Rarely,656,Sales,27,3,Life Sciences,1,2,Female,70,4,2,Sales Executive,3,Married,4497,22485,3,Y,Yes,11,3,3,80,1,7,2,3,4,2,2,2
91,23,No,Non-Travel,1407,Research & Development,3,2,Life Sciences,1,1,Male,49,2,1,Human Resources,4,Married,1385,8397,0,Y,No,17,3,4,80,0,4,2,2,8,2,5,2
92,33,No,Travel_Rarely,311,Research & Development,1,3,Human Resources,1,3,Female,73,4,3,Manufacturing Director,1,Divorced,9232,3638,6,Y,Yes,24,4,3,80,1,16,2,3,8,9,14,10
93,23,No,Non-Travel,1431,Sales,8,5,Medical,1,4,Female,74,4,2,Sales Executive,4,Divorced,3736,16468,1,Y,Yes,20,4,2,80,3,5,3,3,5,4,0,4
94,57,No,Travel_Rarely,134,Research & Development,4,4,Technical Degree,1,3,Female,58,3,1,Laboratory Technician,1,Married,2217,18016,7,Y,No,13,3,3,80,0,14,2,4,5,3,0,2
95,48,No,Travel_Frequently,367,Research & Development,7,5,Medical,1,4,Male,60,2,3,Research Director,2,Divorced,16984,24549,9,Y,No,12,3,3,80,1,15,0,3,9,10,10,6
96,39,No,Non-Travel,192,Sales,10,3,Other,1,3,Female,100,3,2,Sales Executive,4,Single,5414,22366,1,Y,Yes,13,3,2,80,0,3,5,3,5,4,2,3
97,45,No,Non-Travel,1466,Research & Development,8,3,Medical,1,4,Female,56,2,2,Research Scientist,2,Divorced,2541,15358,1,Y,Yes,15,3,3,80,1,26,3,3,16,11,0,10
