dataset,model,seed,n_rows,n_cols,n_cat_cols,train_time_s,gen_time_s,samples_per_sec,peak_ram_mb,avg_cpu_pct,mps_used,error
ibm_hr,arf,42,1470,34,9,19.3054,1.0647,939.23,117.44,92.27,True,
ibm_hr,GenForest,42,1470,34,9,5.3727,0.7835,1276.3,0.11,98.25,True,
ibm_hr,ForestFlow,42,1470,34,9,62.0779,0.1064,9394.96,143.59,383.04,True,
ibm_hr,CTGAN,42,1470,34,9,87.0921,0.1739,5750.82,251.81,94.34,True,
ibm_hr,TVAE,42,1470,34,9,72.4404,0.0845,11829.87,114.03,121.28,True,
ibm_hr,TabDDM,42,1470,34,9,157.6468,7.81,128.04,123.14,374.36,True,
Absenteeism_at_work,arf,42,740,20,7,8.0578,0.3497,2859.88,72.53,95.57,True,
Absenteeism_at_work,GenForest,42,740,20,7,2.1124,0.4288,2332.31,4.28,99.74,True,
Absenteeism_at_work,ForestFlow,42,740,20,7,42.6717,0.0907,11029.7,79.39,393.18,True,
Absenteeism_at_work,CTGAN,42,740,20,7,34.5016,0.1169,8552.73,230.28,96.25,True,
Absenteeism_at_work,TVAE,42,740,20,7,27.9505,0.0621,16114.96,84.88,121.81,True,
Absenteeism_at_work,TabDDM,42,740,20,7,48.6728,9.3759,106.66,116.8,369.02,True,
Employee,arf,42,4653,9,4,7.3177,0.2303,4341.87,122.27,95.97,True,
Employee,GenForest,42,4653,9,4,8.1254,0.9833,1016.98,3.38,100.68,True,
Employee,ForestFlow,42,4653,9,4,13.699,0.0303,32990.23,58.27,377.28,True,
Employee,CTGAN,42,4653,9,4,164.4321,0.07,14294.66,152.36,90.93,True,
Employee,TVAE,42,4653,9,4,75.2283,0.0311,32174.9,81.33,104.81,True,
Employee,TabDDM,42,4653,9,4,280.0569,10.0517,99.49,224.98,390.12,True,
aug_combined,arf,42,3500,13,10,8.0937,0.3382,2956.47,151.42,89.06,True,
aug_combined,GenForest,42,3500,13,10,108.9965,1.3501,740.69,0.03,101.55,True,
aug_combined,ForestFlow,42,3500,13,10,1468.4903,1.3142,760.89,264.0,390.72,True,
aug_combined,CTGAN,42,3500,13,10,156.9965,0.0916,10913.58,235.62,92.41,True,
aug_combined,TVAE,42,3500,13,10,61.9609,0.0808,12376.87,103.67,109.77,True,
aug_combined,TabDDM,42,3500,13,10,240.4664,15.6586,63.86,214.39,381.22,True,
