model,dataset,train_time_s_mean,train_time_s_std,gen_time_s_mean,gen_time_s_std,samples_per_sec_mean,samples_per_sec_std,peak_ram_mb_mean,peak_ram_mb_std
CTGAN,Absenteeism_at_work,34.5016,,0.1169,,8552.73,,230.28,
CTGAN,Employee,164.4321,,0.07,,14294.66,,152.36,
CTGAN,aug_combined,156.9965,,0.0916,,10913.58,,235.62,
CTGAN,ibm_hr,87.0921,,0.1739,,5750.82,,251.81,
ForestFlow,Absenteeism_at_work,42.6717,,0.0907,,11029.7,,79.39,
ForestFlow,Employee,13.699,,0.0303,,32990.23,,58.27,
ForestFlow,aug_combined,1468.4903,,1.3142,,760.89,,264.0,
ForestFlow,ibm_hr,62.0779,,0.1064,,9394.96,,143.59,
GenForest,Absenteeism_at_work,2.1124,,0.4288,,2332.31,,4.28,
GenForest,Employee,8.1254,,0.9833,,1016.98,,3.38,
GenForest,aug_combined,108.9965,,1.3501,,740.69,,0.03,
GenForest,ibm_hr,5.3727,,0.7835,,1276.3,,0.11,
TVAE,Absenteeism_at_work,27.9505,,0.0621,,16114.96,,84.88,
TVAE,Employee,75.2283,,0.0311,,32174.9,,81.33,
TVAE,aug_combined,61.9609,,0.0808,,12376.87,,103.67,
TVAE,ibm_hr,72.4404,,0.0845,,11829.87,,114.03,
TabDDM,Absenteeism_at_work,48.6728,,9.3759,,106.66,,116.8,
TabDDM,Employee,280.0569,,10.0517,,99.49,,224.98,
TabDDM,aug_combined,240.4664,,15.6586,,63.86,,214.39,
TabDDM,ibm_hr,157.6468,,7.81,,128.04,,123.14,
arf,Absenteeism_at_work,8.0578,,0.3497,,2859.88,,72.53,
arf,Employee,7.3177,,0.2303,,4341.87,,122.27,
arf,aug_combined,8.0937,,0.3382,,2956.47,,151.42,
arf,ibm_hr,19.3054,,1.0647,,939.23,,117.44,
