city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,19,<10,Pvt Ltd,>4,7,0.0
city_19,0.682,,No relevent experience,Full time course,Graduate,STEM,1,,,1,292,1.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,1,140,0.0
city_73,0.754,Male,No relevent experience,no_enrollment,Primary School,,10,,,never,15,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,6,
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,2,11,0.0
city_114,0.926,,No relevent experience,Full time course,Graduate,Arts,6,,,1,25,0.0
city_11,0.55,Male,No relevent experience,Full time course,Graduate,STEM,5,,,1,92,1.0
city_152,0.698,,Has relevent experience,no_enrollment,Graduate,STEM,11,10/49,Pvt Ltd,>4,89,0.0
city_57,0.866,,Has relevent experience,no_enrollment,Graduate,STEM,14,50-99,Pvt Ltd,>4,66,0.0
city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Early Stage Startup,2,110,1.0
city_21,0.624,Male,Has relevent experience,,Graduate,STEM,<1,50-99,Pvt Ltd,1,5,
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,10000+,Pvt Ltd,4,72,0.0
city_155,0.556,Male,Has relevent experience,Full time course,Graduate,STEM,9,50-99,Pvt Ltd,2,192,1.0
city_21,0.624,Male,Has relevent experience,Part time course,Graduate,STEM,7,50-99,Pvt Ltd,2,21,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Funded Startup,1,76,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Early Stage Startup,4,94,0.0
city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,16,100-500,Pvt Ltd,2,72,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,8,,,2,55,0.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,7,10000+,Pvt Ltd,2,37,0.0
city_36,0.893,,No relevent experience,no_enrollment,Masters,STEM,8,,,1,19,0.0
city_116,0.743,Female,Has relevent experience,no_enrollment,Graduate,STEM,16,,,2,31,0.0
city_61,0.913,,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,2,26,0.0
city_103,0.92,Male,No relevent experience,no_enrollment,Phd,Other,>20,,,>4,4,0.0
city_104,0.924,,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,NGO,1,128,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,48,0.0
city_138,0.836,Male,Has relevent experience,Full time course,High School,,9,50-99,Pvt Ltd,2,130,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Funded Startup,2,106,0.0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,No Major,>20,100-500,Pvt Ltd,1,34,0.0
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Humanities,4,100-500,Pvt Ltd,2,76,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,16,50-99,Funded Startup,4,146,
city_36,0.893,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,1,127,0.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,<10,Early Stage Startup,1,9,1.0
city_162,0.767,Male,Has relevent experience,Full time course,Graduate,STEM,4,500-999,Pvt Ltd,1,48,0.0
city_46,0.762,Male,No relevent experience,Full time course,Graduate,STEM,5,,,never,6,1.0
city_19,0.682,Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,40,
city_21,0.624,,Has relevent experience,Part time course,Graduate,STEM,6,10000+,Pvt Ltd,4,17,0.0
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,5000-9999,Pvt Ltd,>4,163,0.0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,,,1,106,0.0
city_152,0.698,,Has relevent experience,Full time course,Masters,STEM,12,,,1,44,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Early Stage Startup,>4,67,1.0
city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,9,,,1,131,0.0
city_171,0.664,Male,Has relevent experience,no_enrollment,,,9,,,1,33,
city_61,0.913,Male,No relevent experience,Full time course,High School,,2,,,never,22,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,32,0.0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,3,12,0.0
city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,1,46,0.0
city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,76,1.0
city_71,0.884,,Has relevent experience,no_enrollment,Masters,STEM,4,,,1,224,0.0
