age,region,employment_type,hours_worked,weekly_earnings,tenure_years
33,Dammam,FullTime,40.445,1053.521,18.816
31,Dammam,FullTime,41.716,486.143,9.152
29,Dammam,FullTime,40.095,491.146,34.19
45,Dammam,FullTime,38.541,703.875,12.064
50,Dammam,FullTime,40.87,1241.281,3.03
44,Dammam,FullTime,39.508,497.123,19.729
54,Buqaiq,FullTime,41.093,714.238,19.801
36,Dammam,FullTime,40.155,355.371,23.435
36,Dammam,FullTime,38.655,972.037,10.188
24,Dammam,PartTime,14.489,419.683,14.431
52,Dammam,PartTime,18.888,396.548,16.705
48,Buqaiq,FullTime,39.656,610.294,10.706
38,Khobar,FullTime,41.74,1019.029,17.104
39,Dammam,FullTime,40.195,792.491,14.097
39,Dammam,PartTime,18.328,233.823,11.645
58,Dammam,FullTime,39.959,452.823,20.484
36,Dammam,FullTime,41.455,500.354,40.0
33,Buqaiq,FullTime,40.244,443.023,17.761
23,Dammam,PartTime,18.236,377.42,20.343
19,Dammam,FullTime,40.757,1021.63,14.659
32,Dammam,FullTime,39.179,426.008,21.389
37,Dammam,FullTime,41.269,1003.371,10.185
39,Khobar,FullTime,39.776,637.348,9.013
27,Dammam,FullTime,38.632,525.525,12.119
41,Dammam,FullTime,40.375,580.422,10.07
48,Dammam,FullTime,40.193,956.007,17.638
22,Dammam,FullTime,40.186,689.104,16.428
45,Dammam,FullTime,39.229,794.739,16.048
41,Dammam,FullTime,41.024,587.677,7.588
29,Dammam,FullTime,38.52,520.508,9.778
21,Dammam,PartTime,20.378,247.1,12.233
60,Dammam,FullTime,39.909,599.445,13.23
33,Dammam,PartTime,20.554,221.269,15.159
55,Dammam,FullTime,38.426,861.934,17.053
18,Dammam,FullTime,40.319,800.115,6.423
52,Khobar,FullTime,39.032,629.821,17.087
39,Dammam,PartTime,18.013,238.539,17.197
51,Dammam,FullTime,41.263,371.609,8.996
65,Dammam,PartTime,24.653,355.633,27.505
19,Dammam,FullTime,38.775,395.123,9.643
48,Dammam,FullTime,40.031,827.171,13.219
18,Dammam,FullTime,40.312,794.506,14.522
36,Jubail,FullTime,40.756,768.863,12.466
37,Dammam,FullTime,39.27,353.384,10.407
28,Dammam,FullTime,38.939,842.329,17.848
42,Dammam,FullTime,39.713,582.96,8.533
34,Dammam,FullTime,41.59,958.159,13.381
25,Dammam,PartTime,21.562,231.405,16.654
43,Dammam,FullTime,38.601,748.269,9.906
32,Riyadh,FullTime,40.965,768.68,11.783
43,Dammam,FullTime,40.86,934.383,8.132
39,Dammam,PartTime,20.792,307.673,14.675
35,Dammam,PartTime,19.761,302.245,15.841
47,Dammam,FullTime,39.147,380.15,13.625
35,Dammam,PartTime,24.387,189.969,14.016
29,Dammam,FullTime,41.356,410.332,9.765
45,Dammam,FullTime,38.796,1038.577,22.582
33,Dammam,FullTime,39.794,668.33,6.787
26,Dammam,FullTime,39.999,576.755,18.637
33,Dammam,PartTime,19.458,273.174,8.527
49,Dammam,FullTime,38.975,299.83,29.724
26,Khobar,FullTime,40.893,654.857,11.648
45,Khobar,PartTime,25.469,582.466,19.874
21,Dammam,FullTime,40.377,427.259,17.985
49,Dammam,FullTime,40.043,924.431,23.356
55,Khobar,FullTime,39.474,1129.988,12.235
29,Dammam,FullTime,39.049,633.993,14.516
44,Dammam,FullTime,39.536,800.01,19.613
51,Khobar,FullTime,41.074,699.732,10.388
27,Dammam,FullTime,39.372,1170.88,11.977
51,Dammam,FullTime,38.069,768.844,29.136
32,Dammam,PartTime,23.866,352.27,6.879
38,Dammam,FullTime,41.651,1052.398,12.814
49,Alhasa,FullTime,40.487,563.982,8.605
56,Dammam,FullTime,41.131,609.64,18.945
33,Dammam,PartTime,18.543,173.743,11.081
28,Dammam,PartTime,16.888,196.829,18.022
55,Khobar,FullTime,41.234,692.385,8.438
27,Dammam,PartTime,18.602,167.341,11.302
27,Dammam,FullTime,37.85,587.121,26.81
23,Khobar,FullTime,39.405,684.609,12.854
47,Dammam,FullTime,40.145,609.027,21.334
55,Dammam,FullTime,39.496,442.245,21.825
28,Dammam,FullTime,38.625,904.25,14.68
26,Dammam,FullTime,38.806,619.198,14.972
44,Dammam,FullTime,37.633,689.843,20.477
36,Dammam,FullTime,40.516,730.934,18.656
34,Dammam,FullTime,41.09,401.745,9.614
36,Dammam,FullTime,41.185,385.44,26.432
58,Dammam,FullTime,39.424,716.914,10.179
57,Dammam,FullTime,40.201,1318.68,22.446
35,Dammam,PartTime,21.143,409.473,13.525
47,Dammam,PartTime,12.115,360.238,10.068
44,Dammam,FullTime,41.331,461.012,30.428
50,Dammam,FullTime,39.411,866.344,31.252
32,Dammam,FullTime,39.433,915.101,6.953
46,Dammam,FullTime,40.51,450.17,16.602
59,Khobar,PartTime,21.993,520.096,16.581
25,Dammam,FullTime,40.261,887.459,12.252
29,Dammam,FullTime,38.512,426.099,8.65
51,Dammam,FullTime,39.221,784.7,8.808
30,Dammam,FullTime,40.217,1238.844,8.776
47,Dammam,FullTime,41.11,683.044,13.238
39,Dammam,PartTime,21.086,234.523,17.186
39,Dammam,PartTime,23.62,283.53,22.753
33,Dammam,PartTime,19.227,380.262,14.521
41,Dammam,FullTime,38.263,550.127,7.452
59,Buqaiq,PartTime,19.082,283.971,31.485
45,Alhasa,PartTime,19.633,202.601,13.801
