gender,nationality,age,education_level,education_field,marital_status,family_residence,region,department,contract_type,employment_type,employee_status,job_level,job_title,performance_rating,remote_status,business_trips,hours_worked,overtime_hours,hourly_rate,weekly_earnings,bonus,percent_salary_hike,annual_bonus,tenure_years,work-life_balance,distance_from_home
Male,Saudi,52,High School,Humanities,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,Hybrid,Travels often,41.031,4.827,9.201,229.845,0.199,0.2,2448.823,14.519,2.398,14.807
Male,Saudi,57,High School,STEM,Unmarried,Within district,Alhasa,Finance,Permanent,PartTime,Active,L1,Media,3,Hybrid,Travels rarely,21.924,0.983,18.829,710.92,0.0,0.169,0.0,26.587,3.337,24.158
Male,Saudi,32,High School,Business,Unmarried,Within district,Dammam,HR,Fixed Term,FullTime,Active,L1,Sales,3,Hybrid,Travels rarely,39.538,2.252,16.601,671.355,0.0,0.2,0.0,16.579,2.819,19.753
Male,Saudi,24,High School,STEM,Married,Within district,Jeddah,Finance,Permanent,FullTime,Active,L1,Media,3,Hybrid,Travels rarely,40.178,7.774,19.433,874.493,0.0,0.194,0.0,12.834,4.351,19.238
Male,Saudi,36,High School,Humanities,Unmarried,Within district,Dammam,Finance,Permanent,PartTime,Active,L1,Analyst,3,On Site,Travels often,21.77,0.854,10.76,139.801,0.178,0.0,997.613,15.65,3.946,27.163
Female,Saudi,22,High School,Business,Married,Within district,Dammam,Sales,Permanent,FullTime,Active,L1,Media,2,On Site,Travels rarely,39.671,7.578,11.968,328.089,0.134,0.036,846.513,11.012,3.801,9.917
Male,Expat_Arab,45,PhD,Communication,Married,Within district,Dammam,HR,Zero Hours,PartTime,Non-Active,L2,Manager,3,Hybrid,Travels rarely,18.065,4.097,13.824,280.215,0.0,0.0,0.0,17.31,3.273,27.032
Female,Saudi,38,Masters,STEM,Unmarried,Within district,Khobar,HR,Permanent,PartTime,Active,L3,Media,3,Hybrid,Travels often,20.96,2.28,26.934,848.872,0.216,0.027,6739.187,9.792,3.071,25.046
Male,Saudi,41,High School,Humanities,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Designer,2,Hybrid,Travels rarely,39.644,2.307,11.47,177.271,0.0,0.083,0.0,12.557,3.227,10.607
Female,Saudi,30,High School,Business,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L3,Designer,3,On Site,Travels rarely,20.604,3.846,30.893,1696.591,0.0,0.0,0.0,8.888,5.0,23.403
Female,Saudi,42,High School,Business,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,On Site,Travels rarely,40.764,0.046,16.839,728.882,0.0,0.0,0.0,28.015,4.395,15.33
Male,Saudi,38,Bachelors,Social Science,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L3,Sales,4,Hybrid,Travels rarely,41.023,0.246,31.742,2078.275,0.0,0.2,0.0,15.458,4.943,12.386
Male,Saudi,55,PhD,Humanities,Married,Within district,Alhasa,HR,Permanent,FullTime,Active,L1,Designer,3,Hybrid,Travels rarely,40.778,6.226,13.034,616.2,0.047,0.0,1314.408,10.885,3.023,27.215
Female,Saudi,23,PhD,STEM,Married,Within district,Khobar,HR,Fixed Term,FullTime,Active,L1,Manager,4,On Site,Travels rarely,40.141,8.458,17.385,687.033,0.0,0.0,0.0,22.905,2.495,19.601
Male,Expat_Arab,18,Masters,Communication,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,3,On Site,Travels rarely,39.106,6.771,10.424,598.67,0.0,0.0,0.0,20.116,3.709,11.526
Female,Saudi,23,High School,Social Science,Married,Within district,Dammam,Finance,Internship,FullTime,Active,L2,Analyst,3,On Site,Travels rarely,42.517,1.134,18.258,1006.438,0.134,0.2,4451.636,13.563,3.87,10.255
Male,Expat_Asia,18,High School,Business,Married,Within district,Dammam,Finance,Permanent,FullTime,Active,L2,Media,3,On Site,Travels rarely,40.007,2.242,19.197,930.464,0.035,0.0,1393.819,10.548,3.74,12.409
Male,Saudi,53,Masters,Communication,Married,Other district,Dammam,HR,Permanent,PartTime,Active,L2,Designer,3,On Site,Travels rarely,19.501,0.0,13.042,276.408,0.032,0.073,210.151,13.475,4.045,19.592
Male,Expat_US,37,Bachelors,Communication,Married,Other district,Dammam,HR,Permanent,FullTime,Active,L1,Designer,4,Remote,Travels rarely,41.677,2.728,14.122,1034.373,0.058,0.2,4020.648,11.385,3.947,14.336
Female,Saudi,42,Bachelors,Humanities,Unmarried,Other district,Dammam,HR,Internship,FullTime,Active,L1,Media,1,Hybrid,Travels rarely,39.892,1.511,16.185,441.872,0.0,0.125,0.0,21.299,4.084,22.098
Male,Saudi,18,PhD,Social Science,Married,Within district,Dammam,Sales,Permanent,FullTime,Active,L1,Designer,3,Hybrid,Travels often,38.714,1.556,14.388,243.13,0.145,0.109,1084.711,21.127,3.574,20.194
Male,Expat_Europe,58,High School,Business,Unmarried,Other district,Dammam,HR,Internship,FullTime,Active,L1,Secretary,2,Hybrid,Travels rarely,39.495,4.277,14.631,399.904,0.104,0.0,1756.84,12.177,3.388,15.079
Female,Saudi,41,High School,Social Science,Unmarried,Within district,Dammam,Finance,Permanent,PartTime,Active,L1,Media,3,Remote,Travels often,20.986,2.876,17.244,385.81,0.161,0.0,1309.13,9.452,3.417,11.022
Male,Saudi,41,High School,Business,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Manager,3,Hybrid,Travels rarely,17.536,0.766,14.546,221.029,0.104,0.0,768.391,22.29,2.966,17.783
Female,Saudi,39,High School,Humanities,Unmarried,Within district,Jubail,HR,Permanent,FullTime,Active,L1,Media,3,On Site,Travels often,38.576,0.158,12.61,373.197,0.0,0.0,0.0,9.366,3.378,16.87
Female,Saudi,35,High School,Communication,Unmarried,Other district,Dammam,Accounting,Internship,FullTime,Active,L1,Media,3,On Site,Travels often,39.803,4.852,13.871,377.567,0.246,0.136,3726.527,36.497,2.732,14.464
Male,Saudi,46,High School,STEM,Unmarried,Within district,Khobar,HR,Permanent,FullTime,Active,L3,Analyst,3,On Site,Travels rarely,41.16,3.624,28.925,1984.875,0.062,0.186,7322.705,14.695,2.844,17.758
Male,Expat_Arab,61,High School,Humanities,Married,Within district,Dammam,HR,Internship,FullTime,Active,L1,Designer,3,On Site,Travels often,39.552,2.974,9.365,391.661,0.122,0.02,2143.313,8.44,3.149,19.329
Male,Saudi,66,High School,STEM,Married,Within district,Dammam,Finance,Permanent,FullTime,Active,L4,Designer,4,Hybrid,Travels rarely,38.547,7.579,40.643,9519.967,0.129,0.164,375612.568,20.199,4.55,20.198
Male,Saudi,26,High School,Social Science,Married,Other district,Dammam,HR,Permanent,FullTime,Active,L2,Media,4,On Site,Travels rarely,40.007,1.187,19.813,1722.708,0.384,0.128,45642.328,7.744,3.316,17.039
Female,Saudi,41,Masters,Communication,Married,Within district,Dammam,HR,Zero Hours,FullTime,Active,L1,Media,3,Remote,Travels often,41.21,7.73,12.764,304.01,0.0,0.151,0.0,23.645,2.413,14.627
Male,Saudi,41,High School,STEM,Unmarried,Other district,Dammam,HR,Fixed Term,FullTime,Active,L1,Media,3,Hybrid,Travels rarely,39.172,5.37,17.382,782.358,0.031,0.166,1293.805,6.065,2.749,22.331
Male,Expat_Arab,58,High School,Humanities,Unmarried,Other district,Dammam,Finance,Permanent,FullTime,Active,L1,Media,1,On Site,Travels rarely,38.449,0.21,12.123,519.703,0.006,0.0,103.676,15.69,1.886,15.835
Male,Expat_Europe,27,High School,STEM,Unmarried,Within district,Dammam,Accounting,Permanent,FullTime,Non-Active,L1,Media,3,Remote,Travels rarely,40.216,4.936,16.945,877.047,0.214,0.142,7700.134,8.025,3.929,19.102
Male,Saudi,48,High School,Business,Married,Within district,Dammam,Finance,Permanent,FullTime,Active,L4,Media,4,On Site,Travels often,40.076,7.817,36.33,3741.195,0.0,0.2,0.0,28.951,4.541,5.041
Male,Saudi,24,High School,Business,Married,Within district,Dammam,Finance,Zero Hours,PartTime,Active,L3,Secretary,3,On Site,Travels often,16.39,1.327,28.981,1064.889,0.0,0.011,0.0,17.132,2.657,24.865
Male,Saudi,46,High School,Humanities,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Secretary,4,Hybrid,Travels often,41.307,0.556,14.108,333.623,0.254,0.0,14048.417,32.454,2.681,13.272
Female,Saudi,40,Bachelors,Humanities,Married,Other district,Dammam,HR,Fixed Term,FullTime,Active,L1,Sales,3,On Site,Travels rarely,40.03,0.059,13.198,496.508,0.089,0.0,3202.644,20.573,3.868,27.736
Male,Saudi,27,High School,Business,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L2,Media,3,On Site,Travels rarely,38.939,0.0,18.049,616.389,0.024,0.072,953.39,9.897,2.301,16.677
Male,Expat_Arab,18,High School,Communication,Married,Other district,Jubail,HR,Permanent,PartTime,Active,L1,Sales,3,On Site,Travels rarely,20.228,0.0,13.347,225.138,0.21,0.15,1784.593,22.46,3.147,12.2
