gender,nationality,age,education_level,education_field,marital_status,family_residence,region,department,contract_type,employment_type,employee_status,job_level,job_title,performance_rating,remote_status,business_trips,hours_worked,overtime_hours,hourly_rate,weekly_earnings,bonus,percent_salary_hike,annual_bonus,tenure_years,work-life_balance,distance_from_home
Female,Saudi,23,High School,Communication,Unmarried,Within district,Dammam,HR,Internship,FullTime,Active,L1,Manager,3,Hybrid,Travels often,40.124,10.179,15.585,1546.959,0.0,0.2,0.0,17.379,2.975,18.015
Male,Saudi,18,High School,STEM,Married,Within district,Khobar,HR,Permanent,PartTime,Active,L1,Media,3,Hybrid,Travels rarely,18.311,0.977,17.486,432.512,0.0,0.2,0.0,11.527,4.238,22.099
Male,Saudi,43,Bachelors,Humanities,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Media,2,Hybrid,Travels rarely,39.451,1.342,11.862,498.06,0.251,0.0,11483.83,7.653,3.276,14.435
Male,Saudi,37,High School,Communication,Married,Other district,Dammam,HR,Permanent,PartTime,Active,L1,Manager,3,On Site,Travels often,24.892,4.958,11.904,227.067,0.0,0.0,0.0,21.403,2.552,7.255
Male,Saudi,24,High School,Communication,Unmarried,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Analyst,4,Hybrid,Travels often,38.934,4.493,13.111,648.319,0.172,0.0,9710.349,14.926,3.793,22.938
Male,Saudi,28,High School,Humanities,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Analyst,5,On Site,Travels rarely,40.025,6.27,14.984,860.402,0.127,0.0,7757.823,9.595,2.166,28.831
Male,Saudi,60,High School,Communication,Married,Within district,Dammam,HR,Fixed Term,PartTime,Active,L1,Designer,2,On Site,Travels often,20.513,2.029,13.574,364.295,0.035,0.02,462.238,12.39,4.784,12.822
Female,Expat_Arab,37,High School,Business,Unmarried,Within district,Dammam,Sales,Permanent,FullTime,Active,L1,Designer,3,Hybrid,Travels often,41.511,1.375,18.12,840.09,0.261,0.039,11566.234,13.581,3.263,25.483
Male,Saudi,23,High School,Humanities,Married,Other district,Buqaiq,HR,Permanent,FullTime,Active,L1,Sales,3,On Site,Travels rarely,40.468,9.94,15.237,523.68,0.06,0.092,962.219,10.637,3.332,18.431
Male,Saudi,23,Masters,Business,Unmarried,Other district,Alhasa,HR,Permanent,FullTime,Active,L2,Media,3,On Site,Travels often,40.013,3.985,15.129,783.106,0.0,0.069,0.0,15.652,3.922,19.109
Male,Expat_Arab,24,High School,Humanities,Unmarried,Other district,Khobar,Finance,Permanent,PartTime,Active,L1,Analyst,4,Hybrid,Travels often,18.423,0.036,13.105,242.138,0.0,0.2,0.0,12.4,4.367,18.979
Male,Saudi,51,High School,Communication,Unmarried,Other district,Dammam,HR,Permanent,FullTime,Active,L2,Manager,2,Hybrid,Travels rarely,38.867,0.211,20.465,1251.684,0.0,0.0,0.0,9.107,3.535,17.725
Male,Saudi,44,High School,Communication,Married,Within district,Dammam,HR,Permanent,PartTime,Active,L1,Designer,3,Remote,Travels often,22.495,0.0,16.146,388.365,0.096,0.009,2252.604,11.092,2.302,24.256
Male,Saudi,33,Bachelors,Social Science,Married,Other district,Dammam,Finance,Zero Hours,FullTime,Active,L3,Media,2,Hybrid,Travels rarely,41.524,2.897,28.617,6479.963,0.063,0.108,84742.379,9.448,4.209,18.775
Male,Saudi,19,High School,Business,Married,Within district,Dammam,HR,Permanent,FullTime,Active,L1,Sales,2,On Site,Travels often,38.826,2.184,13.913,480.781,0.06,0.2,1905.038,13.074,4.322,14.439
Male,Saudi,48,High School,Humanities,Married,Other district,Dammam,HR,Permanent,PartTime,Active,L1,Media,2,On Site,Travels rarely,17.98,0.0,11.371,160.887,0.0,0.0,0.0,18.662,2.664,13.43
Male,Saudi,28,High School,Communication,Unmarried,Within district,Alhasa,HR,Zero Hours,FullTime,Active,L1,Media,3,Hybrid,Travels rarely,41.65,2.136,15.356,611.946,0.0,0.003,0.0,7.734,3.981,13.39
