age,attrition_raw,business_travel,department,distance_from_home_km,education_level,education_field,environment_satisfaction,gender,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,num_companies_worked,overtime_flag,pct_salary_hike,relationship_satisfaction,stock_option_level,total_working_years,training_times_last_year,years_at_company,years_in_current_role,years_since_last_promotion,years_with_curr_manager,voluntary_exit_flag,salary_band,seniority_level,performance_score,bonus_pct,promotion_eligibility,overtime_hours_per_month,attrition_risk_score,skill_rating,total_annual_compensation,remote_work_pct,work_life_score,burnout_index,manager_rating,peer_rating,overall_360_score,team_size,career_advancement_score
41,Yes,Travel_Rarely,Sales,1,2,Life Sciences,2,Female,3,2,Sales Executive,4,Single,5993,8,Yes,11,1,0,8,0,6,4,0,5,1,Band_4,Junior,1.8,5.59,0,15,1.813,1.51,77820,9.4,1.64,3.55,1.99,2.64,1.79,12,1.35
49,No,Travel_Frequently,Research & Development,8,1,Life Sciences,3,Male,2,2,Research Scientist,2,Married,5130,1,No,23,4,1,10,3,10,7,1,7,0,Band_4,Junior,3.8,7.69,1,0,1.776,2.05,69945,41.1,3.87,0.94,4.55,2.3,3.57,8,3.39
37,Yes,Travel_Rarely,Research & Development,2,2,Other,4,Male,2,1,Laboratory Technician,3,Single,2090,6,Yes,15,2,0,7,3,0,0,0,0,1,Band_1,Junior,1.8,4.31,0,13,0.995,2.0,26747,44.9,3.5,1.58,1.8,2.27,1.99,8,2.13
33,No,Travel_Frequently,Research & Development,3,4,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2909,1,Yes,11,3,0,8,3,8,7,3,0,0,Band_2,Junior,2.2,5.26,0,7,0.778,2.88,39514,35.3,3.56,1.2,2.6,3.48,2.92,10,1.01
27,No,Travel_Rarely,Research & Development,2,1,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,9,No,12,4,1,6,3,2,2,2,2,0,Band_2,Junior,2.2,3.81,0,0,1.791,1.77,44858,43.6,3.9,1.59,4.01,2.8,3.22,11,0.83
32,No,Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,0,No,13,3,0,8,2,7,7,3,6,0,Band_2,Junior,2.07,3.86,0,0,0.0,2.01,40443,37.5,3.15,1.07,3.68,2.95,2.73,10,0.87
59,No,Travel_Rarely,Research & Development,3,3,Medical,3,Female,4,1,Laboratory Technician,1,Married,2670,4,Yes,20,1,3,12,3,1,0,0,0,0,Band_2,Junior,4.6,9.99,0,10,2.339,2.34,35461,42.8,2.9,2.13,1.0,3.81,3.06,9,1.79
30,No,Travel_Rarely,Research & Development,24,1,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,2693,1,No,22,2,1,1,2,1,0,0,0,0,Band_2,Junior,4.07,8.63,0,0,1.846,1.5,36162,24.5,3.65,0.75,1.8,2.64,2.66,10,1.26
38,No,Travel_Frequently,Research & Development,23,3,Life Sciences,4,Male,2,3,Manufacturing Director,3,Single,9526,0,No,21,2,0,10,2,9,7,1,8,0,Band_5,Mid,3.67,9.42,0,0,1.472,2.38,128189,36.0,3.8,0.65,3.02,2.51,3.28,9,1.1
36,No,Travel_Rarely,Research & Development,27,3,Medical,3,Male,3,2,Healthcare Representative,3,Married,5237,6,No,13,2,2,17,3,7,7,7,7,0,Band_4,Mid,2.2,5.86,0,0,1.889,2.54,68796,56.7,3.4,1.24,2.95,3.27,2.91,10,0.49
35,No,Travel_Rarely,Research & Development,16,3,Medical,1,Male,4,1,Laboratory Technician,2,Married,2426,0,No,13,3,1,6,5,5,4,0,3,0,Band_1,Junior,2.87,6.66,0,0,2.223,2.94,31137,51.6,4.0,1.53,3.37,4.18,3.48,10,1.87
29,No,Travel_Rarely,Research & Development,15,2,Life Sciences,4,Female,2,2,Laboratory Technician,3,Single,4193,0,Yes,12,4,0,10,3,9,5,0,8,0,Band_3,Junior,1.8,4.32,0,24,2.832,2.32,54066,55.6,3.28,2.34,4.62,2.47,3.01,7,1.99
31,No,Travel_Rarely,Research & Development,26,1,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2911,1,No,17,4,1,5,1,5,2,4,3,0,Band_2,Junior,1.93,4.24,0,0,2.131,1.41,37443,56.1,3.39,1.92,4.17,2.58,3.07,11,0.17
34,No,Travel_Rarely,Research & Development,19,2,Medical,2,Male,3,1,Laboratory Technician,4,Divorced,2661,0,No,11,3,1,3,2,2,2,1,2,0,Band_2,Junior,2.07,5.07,0,0,1.102,1.84,34675,50.4,3.99,1.2,3.21,2.84,2.85,7,0.63
28,Yes,Travel_Rarely,Research & Development,24,3,Life Sciences,3,Male,2,1,Laboratory Technician,3,Single,2028,5,Yes,14,2,0,6,4,4,2,0,3,1,Band_1,Junior,1.93,4.44,0,16,2.859,2.67,26399,41.4,3.35,2.18,2.57,2.68,2.52,10,2.33
29,No,Travel_Rarely,Research & Development,21,4,Life Sciences,2,Female,4,3,Manufacturing Director,1,Divorced,9980,1,No,11,3,1,10,1,10,9,8,8,0,Band_5,Mid,2.33,6.14,0,0,2.546,2.48,130523,36.7,3.81,1.31,3.82,3.9,3.38,12,0.87
32,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Male,4,1,Research Scientist,2,Divorced,3298,0,Yes,12,4,2,7,5,6,2,0,5,0,Band_2,Junior,2.87,6.41,0,24,3.852,2.68,44665,54.2,2.59,3.78,4.39,4.02,3.71,11,1.94
22,No,Non-Travel,Research & Development,16,2,Medical,4,Male,4,1,Laboratory Technician,4,Divorced,2935,1,Yes,13,2,2,1,2,1,0,0,0,0,Band_2,Junior,2.47,4.89,0,19,1.882,1.8,38152,45.5,2.64,2.47,1.8,3.49,2.63,10,1.85
53,No,Travel_Rarely,Sales,2,4,Life Sciences,1,Female,2,4,Manager,4,Married,15427,2,No,16,3,0,31,3,25,8,3,7,0,Band_6,Senior,1.8,8.87,0,0,0.986,3.47,208759,28.0,3.7,1.72,3.75,3.17,2.99,17,0.89
38,No,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Male,3,1,Research Scientist,4,Single,3944,5,Yes,11,3,0,6,3,3,2,1,2,0,Band_3,Junior,2.2,4.76,0,24,1.407,2.4,49501,42.1,3.1,2.46,3.21,3.18,2.82,10,1.07
24,No,Non-Travel,Research & Development,11,2,Other,1,Female,4,2,Manufacturing Director,3,Divorced,4011,0,No,18,4,1,5,5,4,2,1,3,0,Band_3,Junior,2.87,6.13,0,0,1.433,2.61,52469,60.8,3.45,1.88,4.17,3.98,3.62,8,1.38
36,Yes,Travel_Rarely,Sales,9,4,Life Sciences,3,Male,2,1,Sales Representative,1,Single,3407,7,No,23,2,0,10,4,5,3,0,3,1,Band_2,Junior,3.93,9.65,0,0,1.944,3.01,45593,6.7,3.42,1.23,2.57,2.89,3.28,13,1.52
34,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,Female,3,3,Research Director,2,Single,11994,0,No,11,3,0,13,4,12,6,2,11,0,Band_6,Mid,2.33,7.18,0,0,2.065,3.25,155943,55.7,4.05,1.49,3.98,3.7,3.52,13,1.0
21,No,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,3,1,Research Scientist,4,Single,1232,1,No,14,4,0,0,6,0,0,0,0,0,Band_1,Junior,2.6,5.57,0,0,0.789,2.7,15377,58.6,4.09,0.8,3.4,3.37,3.02,7,1.88
34,Yes,Travel_Rarely,Research & Development,6,1,Medical,2,Male,3,1,Research Scientist,1,Single,2960,2,No,11,3,0,8,2,4,2,1,3,1,Band_2,Junior,2.07,4.3,0,0,2.198,1.61,39107,36.8,3.81,1.31,3.37,2.7,2.68,8,1.07
53,No,Travel_Rarely,Research & Development,5,3,Other,3,Female,3,5,Manager,3,Divorced,19094,4,No,11,4,1,26,3,14,13,4,8,0,Band_6,Director,2.2,9.11,0,0,0.724,2.79,253870,41.1,3.2,1.37,4.62,3.42,3.46,13,1.1
32,Yes,Travel_Frequently,Research & Development,16,1,Life Sciences,2,Female,1,1,Research Scientist,1,Single,3919,1,Yes,22,2,0,10,5,10,2,6,7,1,Band_3,Junior,3.67,8.2,0,13,3.285,2.52,54999,36.7,3.39,2.32,2.95,1.92,2.95,9,0.97
42,No,Travel_Rarely,Sales,8,4,Marketing,3,Male,3,2,Sales Executive,2,Married,6825,0,No,11,4,1,10,2,9,7,4,2,0,Band_5,Junior,2.07,6.19,0,0,1.586,2.68,89361,0.0,3.33,1.29,4.01,3.35,3.07,14,0.48
44,No,Travel_Rarely,Research & Development,7,4,Medical,1,Female,2,3,Healthcare Representative,4,Married,10248,3,No,14,4,1,24,4,22,6,5,17,0,Band_5,Mid,1.93,5.92,0,0,0.823,3.6,137714,50.3,3.98,1.54,5.0,3.25,3.63,9,1.05
46,No,Travel_Rarely,Sales,2,4,Marketing,2,Female,3,5,Manager,1,Single,18947,3,No,12,4,0,22,2,2,2,2,1,0,Band_6,Director,2.07,10.73,0,0,1.996,2.44,252402,6.4,2.75,1.99,3.78,3.21,3.06,19,0.59
