age,region,employment_type,hours_worked,weekly_earnings,tenure_years
20,Jubail,FullTime,38.408,810.919,10.894
22,Dammam,FullTime,39.244,647.977,20.831
31,Dammam,PartTime,15.99,189.606,21.04
36,Dammam,PartTime,17.713,275.428,13.183
49,Dammam,FullTime,40.285,786.449,20.478
43,Dammam,PartTime,14.96,270.356,11.027
19,Dammam,FullTime,40.986,799.982,7.278
35,Riyadh,FullTime,40.668,608.551,18.845
47,Dammam,PartTime,21.389,362.673,18.27
41,Dammam,FullTime,39.821,993.215,15.098
34,Dammam,FullTime,41.09,625.459,10.464
47,Dammam,FullTime,39.979,1034.44,23.838
42,Jeddah,FullTime,39.014,991.983,6.352
50,Dammam,FullTime,39.903,610.808,38.834
61,Dammam,FullTime,41.648,1032.912,17.361
37,Dammam,PartTime,18.502,285.387,7.762
51,Dammam,FullTime,39.093,754.986,24.527
55,Khobar,FullTime,40.143,647.111,16.676
56,Khobar,FullTime,39.193,626.125,16.161
46,Khobar,FullTime,39.27,683.815,12.711
44,Dammam,PartTime,21.402,318.592,14.764
63,Dammam,FullTime,40.081,707.586,10.596
30,Dammam,FullTime,38.818,731.944,3.391
39,Dammam,FullTime,39.27,873.253,24.488
24,Khobar,PartTime,22.306,434.918,12.581
32,Khobar,FullTime,41.402,576.867,17.027
30,Dammam,FullTime,39.733,1546.389,4.69
40,Dammam,FullTime,40.977,1055.705,13.347
29,Dammam,FullTime,39.4,575.552,7.676
65,Dammam,FullTime,42.065,415.641,18.376
50,Dammam,FullTime,39.411,866.344,31.252
23,Dammam,FullTime,40.544,927.587,20.86
33,Dammam,FullTime,39.177,616.963,21.784
55,Dammam,PartTime,16.512,325.341,11.115
42,Khobar,FullTime,40.543,812.454,14.52
33,Dammam,FullTime,40.085,839.138,16.031
50,Dammam,FullTime,39.31,1001.081,7.904
55,Dammam,FullTime,39.139,905.777,3.572
57,Dammam,FullTime,39.536,797.446,23.397
33,Dammam,PartTime,21.993,688.268,31.133
56,Dammam,FullTime,40.431,959.108,16.65
27,Dammam,FullTime,40.406,472.961,13.854
18,Dammam,PartTime,15.288,250.495,6.96
35,Dammam,FullTime,39.358,766.218,26.567
42,Dammam,FullTime,40.244,868.291,9.03
49,Dammam,PartTime,21.013,397.4,10.125
66,Alhasa,FullTime,40.306,644.211,20.971
29,Khobar,PartTime,17.771,306.013,19.932
28,Dammam,PartTime,22.47,376.375,22.61
43,Dammam,FullTime,40.696,662.531,8.255
33,Khobar,FullTime,41.301,893.07,13.002
57,Dammam,FullTime,39.679,560.691,4.907
46,Dammam,FullTime,40.377,478.798,14.817
18,Dammam,PartTime,27.219,642.435,4.776
34,Dammam,FullTime,40.898,1312.935,27.674
55,Alhasa,PartTime,19.169,197.142,9.292
27,Dammam,FullTime,40.315,1006.88,15.506
59,Buqaiq,FullTime,40.742,647.87,9.233
37,Dammam,PartTime,23.371,216.737,7.314
29,Khobar,FullTime,41.079,1011.392,13.256
32,Alhasa,FullTime,40.028,1562.205,10.829
40,Dammam,PartTime,23.677,533.765,16.566
69,Khobar,FullTime,40.92,752.141,7.659
23,Khobar,FullTime,39.405,684.609,12.854
53,Dammam,PartTime,18.245,500.412,13.545
50,Dammam,FullTime,39.396,1067.496,6.758
28,Dammam,PartTime,20.056,352.558,18.057
43,Dammam,FullTime,41.014,334.065,8.241
28,Dammam,FullTime,40.592,857.685,11.984
66,Dammam,PartTime,19.034,223.42,19.34
