,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
0,reason_27,month_10,day_5,season_3,252,49,15,38,279.23,94,0,education_1,son_1,1,1,pet_1,63,179,38,6
1,reason_23,month_4,day_6,season_2,188,52,12,50,291.575,91,0,education_1,son_0,0,0,pet_0,65,169,25,5
2,reason_28,month_3,day_3,season_3,175,46,15,39,293.061,96,0,education_1,son_0,1,0,pet_0,67,179,28,9
3,reason_25,month_10,day_5,season_3,388,22,13,40,354.847,95,0,education_2,son_1,1,0,pet_0,86,171,21,8
4,reason_13,month_5,day_2,season_2,194,46,11,38,326.234,85,0,education_3,son_0,1,0,pet_0,67,196,28,5
5,reason_18,month_11,day_3,season_1,193,26,8,39,291.704,95,0,education_1,son_0,0,0,pet_1,64,170,32,1
6,reason_28,month_6,day_6,season_4,236,21,11,42,258.054,91,0,education_1,son_1,1,1,pet_1,56,172,19,120
7,reason_28,month_1,day_5,season_2,176,26,11,57,378.884,99,0,education_1,son_0,1,0,pet_0,89,173,24,86
8,reason_28,month_4,day_2,season_3,275,50,7,40,220.0,96,0,education_3,son_0,1,1,pet_2,56,172,22,31
9,reason_14,month_4,day_2,season_1,191,29,9,34,209.709,85,0,education_2,son_0,1,0,pet_0,56,168,30,23
10,reason_13,month_3,day_4,season_3,172,16,12,32,378.884,99,0,education_1,son_4,0,0,pet_1,87,171,26,0
11,reason_23,month_3,day_5,season_1,230,19,15,32,378.884,96,0,education_1,son_2,0,1,pet_0,63,172,32,3
12,reason_0,month_1,day_6,season_4,118,22,14,40,298.734,99,0,education_1,son_4,0,0,pet_1,71,169,26,10
13,reason_27,month_9,day_5,season_4,190,35,10,58,288.712,98,0,education_1,son_1,0,0,pet_0,76,168,32,6
14,reason_13,month_12,day_3,season_4,305,40,10,39,310.363,90,0,education_1,son_1,1,0,pet_0,77,167,19,7
15,reason_27,month_0,day_5,season_1,191,52,6,33,240.949,99,1,education_3,son_0,0,1,pet_0,89,169,30,6
16,reason_23,month_7,day_4,season_4,118,25,10,27,378.884,96,0,education_1,son_0,0,0,pet_1,67,167,22,11
17,reason_10,month_11,day_4,season_3,118,36,13,45,378.884,96,0,education_1,son_0,1,0,pet_0,86,170,31,5
18,reason_22,month_10,day_2,season_3,235,10,10,38,247.391,90,0,education_3,son_4,0,0,pet_0,88,169,25,11
19,reason_22,month_9,day_6,season_3,195,29,10,38,346.15,96,0,education_1,son_0,1,0,pet_1,88,169,21,10
20,reason_0,month_6,day_2,season_3,218,25,13,39,262.971,99,0,education_1,son_1,0,0,pet_1,71,171,27,8
21,reason_23,month_5,day_6,season_4,287,13,10,39,251.174,96,0,education_1,son_0,1,0,pet_1,60,176,19,3
22,reason_24,month_12,day_5,season_4,178,50,11,41,304.67,95,0,education_1,son_2,1,0,pet_0,92,178,29,8
23,reason_7,month_10,day_6,season_2,121,52,12,36,260.321,94,0,education_1,son_3,1,0,pet_0,72,163,20,2
24,reason_13,month_3,day_3,season_4,191,6,12,40,297.384,94,0,education_1,son_0,0,0,pet_2,71,171,37,4
25,reason_28,month_8,day_5,season_4,185,50,15,36,299.875,92,0,education_1,son_2,1,0,pet_0,60,171,30,5
26,reason_0,month_10,day_3,season_4,178,48,13,29,274.315,93,0,education_2,son_0,0,0,pet_1,86,165,30,3
27,reason_23,month_12,day_4,season_4,325,19,15,40,286.286,96,0,education_1,son_0,1,1,pet_0,56,170,25,5
28,reason_8,month_5,day_3,season_2,172,22,10,39,371.36,97,0,education_3,son_2,0,0,pet_4,70,171,19,9
29,reason_26,month_6,day_2,season_4,182,23,8,39,302.946,93,0,education_3,son_2,1,0,pet_0,72,172,19,6
30,reason_27,month_3,day_3,season_4,200,24,3,41,224.05,95,0,education_1,son_1,1,0,pet_0,87,169,22,49
31,reason_0,month_5,day_3,season_4,199,26,11,46,254.884,100,1,education_3,son_1,0,0,pet_0,84,163,23,8
32,reason_27,month_3,day_4,season_3,249,52,7,40,210.83,99,0,education_1,son_1,0,0,pet_0,87,168,30,3
33,reason_27,month_10,day_5,season_3,269,47,13,40,300.043,92,0,education_1,son_1,1,0,pet_0,67,184,28,4
