,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
0,reason_7,month_0,day_6,season_3,177,42,7,27,324.271,97,0,education_2,son_2,1,1,pet_0,56,163,32,26
1,reason_1,month_4,day_4,season_3,242,52,13,27,274.273,100,0,education_4,son_2,1,1,pet_8,89,163,31,11
2,reason_18,month_4,day_3,season_3,161,41,29,58,350.064,90,0,education_3,son_2,0,0,pet_0,74,196,19,120
3,reason_9,month_0,day_2,season_2,230,5,22,58,222.873,86,1,education_3,son_2,1,0,pet_5,56,163,25,23
4,reason_7,month_12,day_2,season_3,213,12,29,46,321.091,92,1,education_2,son_0,1,0,pet_0,75,163,25,0
5,reason_17,month_0,day_2,season_1,354,30,27,58,327.446,87,0,education_2,son_1,0,0,pet_1,78,163,29,35
6,reason_10,month_12,day_2,season_3,118,31,27,47,256.682,98,0,education_1,son_1,1,0,pet_0,76,163,19,93
7,reason_23,month_1,day_2,season_4,118,26,9,43,205.917,88,0,education_1,son_1,1,1,pet_4,56,163,22,0
8,reason_13,month_0,day_2,season_2,124,22,1,30,205.917,96,0,education_1,son_0,1,0,pet_2,78,196,19,0
9,reason_19,month_3,day_2,season_1,186,52,1,43,269.816,96,0,education_1,son_0,0,0,pet_4,86,163,19,111
10,reason_6,month_1,day_4,season_3,118,25,6,42,277.022,89,0,education_1,son_1,0,0,pet_1,84,163,38,0
11,reason_10,month_10,day_2,season_2,336,31,6,58,209.971,93,0,education_1,son_0,1,1,pet_1,56,163,29,46
12,reason_19,month_9,day_2,season_2,118,37,4,27,237.901,85,0,education_1,son_0,1,0,pet_0,75,163,21,0
13,reason_10,month_10,day_2,season_1,388,30,22,42,256.135,100,1,education_1,son_1,1,0,pet_5,103,167,19,0
14,reason_11,month_9,day_2,season_2,290,14,2,27,308.328,100,0,education_1,son_3,1,0,pet_0,64,163,33,5
15,reason_1,month_12,day_6,season_2,371,5,6,41,378.884,100,0,education_3,son_2,1,0,pet_2,56,163,19,120
16,reason_21,month_1,day_2,season_4,193,28,2,36,362.373,93,1,education_3,son_0,0,0,pet_4,80,163,19,47
17,reason_12,month_4,day_2,season_1,118,9,16,50,316.028,90,0,education_1,son_3,0,0,pet_1,79,165,19,7
18,reason_5,month_8,day_2,season_2,209,5,1,36,280.194,100,1,education_1,son_0,1,0,pet_1,67,163,23,0
19,reason_9,month_0,day_2,season_3,388,39,29,27,319.319,81,1,education_1,son_0,0,0,pet_0,93,190,26,43
20,reason_28,month_5,day_2,season_1,118,52,19,39,205.917,96,0,education_1,son_1,0,0,pet_0,108,163,27,4
21,reason_13,month_12,day_2,season_2,290,5,6,27,358.499,100,0,education_3,son_4,0,0,pet_1,99,178,38,77
22,reason_0,month_8,day_2,season_3,122,28,27,51,222.787,100,0,education_1,son_0,1,0,pet_2,98,189,20,0
23,reason_3,month_0,day_2,season_3,223,11,7,27,220.703,98,0,education_2,son_1,1,0,pet_5,56,196,26,120
24,reason_3,month_0,day_2,season_4,191,5,26,47,254.906,92,0,education_4,son_3,0,0,pet_0,56,163,21,0
25,reason_28,month_9,day_2,season_4,314,52,12,27,228.871,100,0,education_1,son_1,0,0,pet_4,87,163,29,0
26,reason_0,month_10,day_2,season_1,287,52,10,40,215.859,93,0,education_1,son_0,0,0,pet_0,79,163,28,0
27,reason_1,month_10,day_2,season_1,249,5,12,58,306.817,96,0,education_1,son_1,1,1,pet_5,61,171,19,0
28,reason_22,month_0,day_2,season_3,176,5,15,58,245.403,95,0,education_3,son_0,1,0,pet_0,79,168,19,0
29,reason_25,month_0,day_2,season_4,182,5,5,39,364.628,87,0,education_2,son_0,0,0,pet_0,56,185,22,7
30,reason_4,month_0,day_2,season_2,170,30,2,27,205.917,88,0,education_3,son_0,1,1,pet_0,104,163,23,0
31,reason_6,month_6,day_5,season_2,286,42,20,29,378.884,81,0,education_2,son_2,0,0,pet_0,56,174,34,41
32,reason_4,month_11,day_2,season_1,118,51,29,57,222.57,100,0,education_1,son_3,1,1,pet_0,101,168,36,38
33,reason_19,month_10,day_2,season_4,118,38,23,42,205.917,100,0,education_1,son_0,1,0,pet_0,56,163,26,0
34,reason_4,month_6,day_2,season_2,156,17,1,27,205.917,93,1,education_2,son_0,1,0,pet_0,85,185,23,0
35,reason_16,month_0,day_4,season_1,189,5,8,38,315.192,89,0,education_2,son_2,0,0,pet_0,84,169,36,38
36,reason_4,month_2,day_2,season_1,123,15,24,27,328.579,99,1,education_1,son_0,1,0,pet_5,56,196,25,26
37,reason_28,month_2,day_3,season_3,118,14,4,27,205.917,87,0,education_1,son_2,1,0,pet_0,56,196,38,0
38,reason_18,month_4,day_2,season_4,151,5,8,32,223.996,100,1,education_1,son_4,1,1,pet_5,69,196,33,30
39,reason_28,month_11,day_6,season_3,118,32,1,27,378.884,100,0,education_3,son_2,0,0,pet_8,56,169,27,21
40,reason_5,month_6,day_6,season_4,295,5,1,27,205.917,86,0,education_3,son_2,1,0,pet_0,58,177,35,11
41,reason_28,month_5,day_2,season_4,262,5,13,30,318.394,98,0,education_1,son_0,1,1,pet_0,108,163,24,0
42,reason_22,month_0,day_2,season_1,118,35,1,27,268.63,100,0,education_2,son_4,1,0,pet_0,108,179,24,0
43,reason_25,month_0,day_2,season_1,351,32,24,40,291.802,82,0,education_1,son_1,0,0,pet_2,56,194,29,0
44,reason_21,month_10,day_2,season_1,118,45,29,49,205.917,85,0,education_1,son_1,0,1,pet_2,68,178,24,0
45,reason_22,month_0,day_2,season_1,118,25,9,40,275.892,87,1,education_2,son_2,1,0,pet_0,74,180,19,0
46,reason_23,month_6,day_2,season_2,118,27,1,40,205.917,100,0,education_1,son_3,1,0,pet_4,89,163,25,66
47,reason_27,month_3,day_2,season_1,190,36,29,46,267.827,92,0,education_1,son_0,1,0,pet_2,75,168,36,100
48,reason_22,month_8,day_2,season_1,120,5,1,27,239.173,90,0,education_1,son_0,1,0,pet_1,56,163,38,0
49,reason_11,month_12,day_4,season_3,118,5,15,27,378.884,100,0,education_1,son_2,0,1,pet_8,70,163,26,11
50,reason_28,month_2,day_2,season_1,328,48,6,33,308.954,81,0,education_2,son_1,1,0,pet_5,99,171,19,0
51,reason_2,month_0,day_2,season_1,118,39,17,50,341.154,99,0,education_2,son_0,0,1,pet_8,95,196,27,0
52,reason_0,month_12,day_2,season_1,388,28,22,27,288.761,91,1,education_1,son_3,1,0,pet_0,103,186,38,4
53,reason_7,month_11,day_5,season_1,242,20,15,56,291.616,98,0,education_1,son_2,1,0,pet_0,91,177,20,0
54,reason_19,month_9,day_2,season_3,276,6,7,44,211.678,81,1,education_1,son_0,0,0,pet_0,90,186,19,99
55,reason_18,month_0,day_2,season_4,228,37,7,27,294.912,95,0,education_3,son_3,1,0,pet_4,56,180,19,0
56,reason_4,month_6,day_2,season_1,139,52,17,44,224.956,88,0,education_3,son_1,1,0,pet_1,98,172,19,65
57,reason_10,month_3,day_2,season_1,221,52,29,27,358.976,97,0,education_2,son_1,1,0,pet_0,63,166,23,0
58,reason_23,month_3,day_2,season_2,197,25,22,31,378.884,100,0,education_4,son_1,1,0,pet_0,76,163,20,0
59,reason_13,month_0,day_6,season_1,118,31,5,52,232.522,85,0,education_3,son_2,1,0,pet_4,88,187,19,33
60,reason_8,month_1,day_2,season_2,324,32,27,27,205.917,93,1,education_3,son_2,1,0,pet_0,56,196,19,0
61,reason_23,month_12,day_3,season_3,141,14,23,56,368.778,90,0,education_1,son_2,1,0,pet_8,56,163,27,0
62,reason_24,month_11,day_2,season_1,341,42,22,38,243.707,82,0,education_1,son_2,1,0,pet_2,78,182,19,0
63,reason_28,month_0,day_5,season_3,358,15,1,27,300.632,99,1,education_3,son_2,1,1,pet_1,56,163,19,60
64,reason_1,month_0,day_2,season_4,253,16,5,27,340.651,93,0,education_2,son_4,0,0,pet_8,58,196,30,56
65,reason_11,month_5,day_2,season_2,183,49,29,27,294.086,98,0,education_3,son_0,1,0,pet_1,65,163,19,38
66,reason_15,month_11,day_2,season_3,150,5,1,46,259.071,99,0,education_1,son_4,1,0,pet_8,71,176,19,0
67,reason_25,month_4,day_2,season_4,313,52,29,43,244.306,100,0,education_2,son_4,1,0,pet_2,56,163,21,24
68,reason_23,month_11,day_6,season_1,356,52,17,45,359.252,81,0,education_4,son_1,0,0,pet_2,90,188,35,39
69,reason_17,month_0,day_2,season_4,388,36,1,39,378.884,100,0,education_3,son_0,0,0,pet_0,108,163,19,0
70,reason_5,month_6,day_2,season_4,335,25,18,36,329.313,100,1,education_1,son_1,1,0,pet_8,58,188,35,0
71,reason_23,month_2,day_2,season_1,255,33,1,30,221.365,98,0,education_2,son_1,0,0,pet_8,71,196,38,15
72,reason_11,month_2,day_6,season_4,255,48,29,42,309.85,100,1,education_1,son_2,1,0,pet_0,56,196,19,0
73,reason_7,month_0,day_2,season_1,205,5,1,58,205.917,87,0,education_2,son_1,1,0,pet_0,89,189,27,0
74,reason_24,month_3,day_2,season_3,218,50,1,44,378.884,84,0,education_3,son_0,1,1,pet_4,56,163,34,0
75,reason_1,month_8,day_2,season_4,174,52,29,29,299.6,100,1,education_4,son_3,0,0,pet_0,71,171,28,0
76,reason_23,month_11,day_2,season_1,135,24,23,27,205.917,99,0,education_1,son_0,0,0,pet_4,80,163,31,70
77,reason_4,month_0,day_2,season_1,349,31,17,34,293.192,90,0,education_4,son_0,0,0,pet_4,95,168,24,0
78,reason_2,month_4,day_2,season_4,233,21,19,58,378.884,86,0,education_3,son_3,1,0,pet_0,72,192,29,120
79,reason_21,month_0,day_2,season_3,118,28,12,39,360.051,81,1,education_2,son_4,1,0,pet_5,56,176,19,0
80,reason_23,month_0,day_2,season_4,118,52,1,40,279.234,81,0,education_3,son_1,0,0,pet_0,56,187,37,120
81,reason_9,month_9,day_2,season_2,361,52,17,27,246.971,94,1,education_1,son_0,1,0,pet_2,108,167,19,41
82,reason_23,month_0,day_2,season_2,388,19,14,58,205.917,98,0,education_2,son_1,1,0,pet_0,56,166,21,11
83,reason_7,month_0,day_2,season_3,388,34,13,34,287.915,88,0,education_2,son_0,1,1,pet_1,99,163,19,39
84,reason_25,month_11,day_2,season_4,388,5,1,43,256.287,81,0,education_1,son_0,1,0,pet_4,68,163,35,11
85,reason_27,month_6,day_3,season_3,363,5,16,58,205.917,98,0,education_1,son_2,1,0,pet_0,72,189,27,0
86,reason_7,month_3,day_2,season_1,316,51,13,41,205.917,87,0,education_1,son_4,1,0,pet_0,56,196,26,74
87,reason_4,month_0,day_2,season_3,118,29,22,27,247.314,95,0,education_1,son_1,1,0,pet_0,56,163,34,0
88,reason_6,month_2,day_2,season_4,290,42,12,41,283.016,100,0,education_1,son_0,1,0,pet_0,108,170,26,0
89,reason_27,month_3,day_2,season_2,245,50,1,50,205.917,81,0,education_1,son_0,1,1,pet_4,56,163,19,0
90,reason_0,month_0,day_2,season_1,322,5,29,49,326.875,82,1,education_3,son_1,1,0,pet_8,108,166,21,72
91,reason_24,month_4,day_2,season_2,125,35,17,41,274.028,81,1,education_4,son_3,1,0,pet_1,108,163,27,14
92,reason_12,month_1,day_2,season_4,118,12,21,36,207.862,91,0,education_1,son_3,1,0,pet_0,101,163,31,8
93,reason_19,month_6,day_2,season_4,118,52,6,27,336.562,100,0,education_1,son_1,0,0,pet_1,68,163,27,48
94,reason_7,month_8,day_2,season_3,262,52,12,47,211.561,100,1,education_1,son_1,1,0,pet_5,64,180,37,0
95,reason_10,month_12,day_2,season_1,214,8,2,48,378.884,100,0,education_1,son_1,0,0,pet_2,62,163,30,120
96,reason_16,month_3,day_2,season_4,388,52,11,57,260.853,89,0,education_1,son_3,1,0,pet_1,56,163,19,13
97,reason_23,month_0,day_2,season_4,311,12,19,27,264.867,99,0,education_4,son_0,0,0,pet_4,108,185,19,0
98,reason_17,month_11,day_2,season_4,159,16,10,58,226.399,81,0,education_4,son_4,0,0,pet_1,69,186,32,64
99,reason_13,month_3,day_2,season_4,281,36,29,39,205.917,81,0,education_1,son_1,1,0,pet_0,67,169,38,0
100,reason_1,month_8,day_5,season_4,252,49,29,55,336.143,95,0,education_1,son_2,1,0,pet_0,59,170,22,63
101,reason_27,month_6,day_6,season_3,206,16,23,27,205.917,92,0,education_1,son_2,0,0,pet_1,95,168,26,81
102,reason_13,month_1,day_4,season_2,151,5,1,53,316.26,94,0,education_2,son_1,0,0,pet_0,100,171,25,0
103,reason_25,month_12,day_2,season_1,144,28,6,57,303.508,100,1,education_1,son_0,1,0,pet_0,94,163,19,0
104,reason_17,month_9,day_3,season_4,252,26,1,39,291.478,100,0,education_1,son_2,1,0,pet_0,108,196,21,51
105,reason_3,month_0,day_2,season_2,388,5,16,30,348.559,87,0,education_2,son_1,1,0,pet_0,94,183,23,69
106,reason_10,month_10,day_2,season_4,118,31,14,27,378.884,96,1,education_1,son_0,1,0,pet_0,108,163,30,53
107,reason_4,month_9,day_2,season_3,134,18,13,27,364.442,97,0,education_1,son_0,1,0,pet_0,96,163,38,0
108,reason_13,month_1,day_2,season_4,388,52,12,27,222.748,96,0,education_1,son_0,0,0,pet_1,108,175,23,37
109,reason_22,month_0,day_2,season_2,118,28,1,50,206.878,97,0,education_4,son_0,0,0,pet_1,108,196,38,120
110,reason_4,month_1,day_6,season_1,162,13,29,38,299.17,97,0,education_1,son_1,1,0,pet_0,73,168,31,39
111,reason_13,month_9,day_2,season_2,164,11,3,27,301.33,94,1,education_1,son_0,0,0,pet_0,83,163,38,14
112,reason_14,month_5,day_2,season_4,367,17,1,46,352.69,81,0,education_1,son_1,0,0,pet_8,56,163,31,69
113,reason_22,month_8,day_2,season_1,118,5,1,33,255.956,85,1,education_3,son_0,1,0,pet_0,108,175,38,0
114,reason_11,month_5,day_2,season_2,388,5,19,27,359.876,96,0,education_1,son_0,0,0,pet_2,73,163,33,44
115,reason_22,month_10,day_5,season_2,371,5,1,58,205.917,81,0,education_2,son_1,1,1,pet_0,108,163,35,0
116,reason_1,month_4,day_4,season_4,269,7,4,27,212.816,100,0,education_1,son_2,0,0,pet_0,92,173,30,48
117,reason_11,month_0,day_2,season_3,118,5,29,27,205.917,98,0,education_4,son_0,0,1,pet_4,57,192,25,15
118,reason_18,month_0,day_2,season_2,293,39,13,58,205.917,87,0,education_3,son_1,1,1,pet_0,56,168,37,0
119,reason_24,month_8,day_2,season_4,118,8,1,27,371.478,92,0,education_1,son_0,0,0,pet_0,62,191,30,0
120,reason_10,month_0,day_3,season_3,193,51,26,35,349.728,100,0,education_4,son_2,0,0,pet_1,56,172,37,0
121,reason_1,month_0,day_2,season_2,388,5,29,53,378.884,86,0,education_3,son_0,1,0,pet_1,108,168,36,58
122,reason_28,month_6,day_2,season_3,118,21,5,38,205.917,100,0,education_1,son_4,0,0,pet_0,100,177,24,0
123,reason_18,month_0,day_2,season_3,240,5,5,27,210.785,88,0,education_2,son_0,0,0,pet_0,101,196,21,0
124,reason_27,month_8,day_2,season_1,340,5,1,40,378.884,100,0,education_1,son_0,1,0,pet_2,90,163,35,20
125,reason_28,month_8,day_2,season_2,196,7,24,58,205.917,100,0,education_4,son_0,0,1,pet_2,108,179,24,0
126,reason_28,month_11,day_3,season_3,365,5,1,34,275.1,98,0,education_1,son_2,1,0,pet_2,56,188,33,20
127,reason_1,month_0,day_3,season_1,340,31,7,27,205.917,100,0,education_2,son_2,0,0,pet_1,108,179,35,58
128,reason_12,month_0,day_2,season_2,298,5,11,27,205.917,86,0,education_2,son_0,0,0,pet_4,108,163,25,61
129,reason_23,month_7,day_2,season_3,172,27,27,49,205.917,91,0,education_1,son_4,0,0,pet_1,83,163,38,7
130,reason_25,month_4,day_2,season_3,192,33,26,42,206.054,99,0,education_2,son_4,0,0,pet_0,58,163,29,0
131,reason_19,month_7,day_2,season_4,118,52,29,58,205.917,91,1,education_1,son_3,1,0,pet_4,82,165,19,0
132,reason_13,month_0,day_2,season_1,134,8,15,27,261.915,94,0,education_1,son_3,1,0,pet_8,56,179,20,0
133,reason_23,month_4,day_2,season_3,284,6,5,38,304.348,84,0,education_1,son_4,1,0,pet_1,60,169,28,0
134,reason_17,month_6,day_2,season_4,388,49,24,27,274.441,92,0,education_1,son_4,1,0,pet_2,86,188,37,94
135,reason_9,month_4,day_2,season_4,118,5,1,48,340.606,100,0,education_4,son_4,1,0,pet_1,89,163,19,86
136,reason_8,month_10,day_2,season_1,118,12,7,57,378.884,90,1,education_1,son_0,0,0,pet_0,70,163,27,59
137,reason_7,month_10,day_2,season_2,388,5,26,27,205.917,100,0,education_4,son_1,0,0,pet_0,72,177,25,0
138,reason_3,month_4,day_2,season_2,118,5,15,31,378.884,100,1,education_3,son_0,1,0,pet_0,56,164,27,75
139,reason_14,month_12,day_2,season_2,239,5,1,40,283.393,91,0,education_3,son_2,0,1,pet_0,58,163,37,0
140,reason_10,month_9,day_2,season_3,187,24,20,27,308.961,86,1,education_3,son_3,0,0,pet_1,56,163,19,24
141,reason_18,month_9,day_5,season_2,118,52,1,44,378.884,95,0,education_1,son_2,0,0,pet_2,98,191,22,46
142,reason_16,month_5,day_2,season_1,218,36,25,27,319.267,81,1,education_4,son_0,1,1,pet_4,103,163,19,70
