,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
0,reason_27,month_2,day_4,season_2,190,26,11,30,322.17,97,0,education_1,son_1,0,0,pet_0,64,178,22,7
1,reason_19,month_3,day_6,season_2,207,50,11,29,253.319,97,0,education_1,son_0,1,0,pet_0,104,174,33,35
2,reason_22,month_10,day_5,season_1,306,50,11,29,256.812,96,0,education_1,son_0,1,0,pet_0,80,165,28,0
3,reason_28,month_5,day_6,season_2,198,11,11,52,258.575,99,0,education_1,son_2,0,0,pet_1,64,174,22,8
4,reason_13,month_2,day_2,season_2,233,6,11,28,299.284,91,0,education_3,son_0,0,0,pet_1,58,173,20,8
5,reason_1,month_12,day_3,season_3,275,37,11,38,250.282,99,0,education_1,son_1,1,0,pet_1,82,173,31,32
6,reason_28,month_1,day_3,season_2,388,50,11,31,332.871,87,0,education_2,son_0,1,0,pet_0,62,170,22,0
7,reason_28,month_7,day_6,season_1,240,30,11,28,234.308,97,0,education_2,son_0,1,0,pet_2,60,169,23,4
8,reason_10,month_9,day_4,season_1,279,52,11,28,265.244,99,0,education_3,son_0,1,0,pet_4,61,175,21,2
9,reason_23,month_5,day_6,season_4,215,31,11,27,293.295,95,0,education_2,son_0,0,0,pet_0,56,173,20,0
10,reason_27,month_3,day_5,season_3,186,9,11,27,255.016,95,0,education_1,son_3,0,0,pet_0,56,180,19,9
11,reason_22,month_8,day_4,season_1,189,49,11,44,378.884,90,0,education_1,son_1,1,0,pet_2,69,169,28,3
12,reason_27,month_4,day_3,season_3,238,33,11,35,341.104,94,0,education_1,son_0,1,0,pet_0,88,172,26,15
13,reason_26,month_9,day_2,season_4,263,45,11,28,242.923,95,0,education_1,son_0,1,0,pet_4,95,176,28,7
14,reason_22,month_10,day_5,season_1,262,50,11,33,352.62,87,0,education_1,son_0,0,0,pet_0,99,166,36,4
15,reason_28,month_3,day_5,season_4,234,52,11,29,276.701,95,0,education_1,son_0,1,0,pet_0,62,173,23,13
16,reason_25,month_8,day_3,season_4,165,8,11,56,224.099,97,0,education_1,son_1,0,0,pet_1,67,166,26,1
17,reason_23,month_3,day_3,season_2,219,40,11,31,248.485,93,0,education_1,son_4,1,0,pet_0,60,166,26,0
18,reason_14,month_5,day_4,season_4,156,11,11,40,267.933,93,0,education_1,son_2,0,0,pet_0,94,172,34,1
19,reason_22,month_8,day_4,season_1,213,44,11,42,287.003,92,0,education_1,son_1,0,0,pet_1,97,176,31,6
20,reason_14,month_0,day_3,season_3,158,15,11,37,295.915,100,0,education_1,son_2,1,0,pet_0,69,188,26,4
21,reason_26,month_8,day_2,season_1,219,51,11,41,229.451,98,1,education_1,son_3,1,0,pet_4,95,173,29,18
22,reason_23,month_2,day_2,season_4,357,19,11,40,260.857,95,0,education_1,son_2,0,0,pet_0,106,166,38,6
23,reason_28,month_8,day_5,season_4,162,52,11,45,228.566,97,0,education_1,son_0,1,0,pet_2,108,168,38,27
24,reason_27,month_10,day_6,season_1,221,52,11,53,252.183,97,0,education_1,son_4,1,0,pet_0,89,169,32,5
25,reason_22,month_8,day_3,season_1,343,21,11,34,248.503,98,1,education_1,son_0,0,0,pet_1,58,168,20,3
26,reason_23,month_5,day_2,season_3,196,26,11,44,240.966,99,0,education_1,son_0,1,0,pet_0,77,167,28,18
27,reason_13,month_10,day_4,season_1,266,50,11,27,267.734,92,0,education_1,son_0,1,0,pet_2,70,174,24,23
28,reason_28,month_3,day_2,season_3,172,24,11,31,312.143,99,0,education_1,son_0,0,0,pet_2,56,167,20,3
29,reason_10,month_9,day_3,season_1,202,13,11,53,322.412,90,0,education_1,son_0,1,0,pet_1,64,169,20,16
30,reason_1,month_5,day_5,season_2,169,13,11,48,348.499,95,0,education_1,son_2,1,0,pet_0,101,170,33,6
31,reason_23,month_9,day_6,season_1,388,51,11,29,340.294,95,0,education_1,son_2,1,0,pet_2,97,163,32,3
32,reason_14,month_4,day_3,season_3,240,43,11,31,227.278,98,0,education_1,son_2,1,0,pet_0,71,168,27,13
33,reason_19,month_8,day_4,season_1,219,40,11,41,248.902,95,0,education_1,son_0,1,0,pet_1,95,177,32,5
34,reason_28,month_2,day_4,season_2,236,8,11,41,336.904,99,0,education_1,son_0,1,0,pet_0,101,175,26,0
35,reason_23,month_2,day_3,season_2,213,50,11,33,282.925,91,0,education_1,son_0,0,0,pet_0,74,166,30,10
36,reason_28,month_12,day_6,season_1,248,34,11,48,248.137,98,0,education_2,son_2,0,1,pet_0,80,171,24,1
37,reason_0,month_12,day_4,season_1,285,22,11,48,231.46,99,0,education_1,son_0,1,0,pet_1,97,176,29,7
38,reason_24,month_1,day_2,season_4,243,42,11,43,235.21,91,0,education_1,son_0,1,0,pet_0,104,167,37,12
39,reason_28,month_1,day_3,season_4,156,9,11,37,292.273,98,0,education_1,son_2,0,1,pet_0,89,184,25,20
40,reason_13,month_5,day_6,season_2,262,33,11,49,266.055,97,0,education_1,son_2,0,1,pet_0,99,167,33,1
41,reason_28,month_6,day_5,season_2,155,17,11,38,326.765,93,0,education_1,son_0,1,0,pet_0,81,177,25,7
42,reason_23,month_12,day_5,season_4,200,49,11,40,288.244,97,0,education_1,son_4,1,0,pet_0,58,164,23,0
