,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
0,reason_28,month_12,day_6,season_4,231,52,10,36,251.108,94,0,education_1,son_0,1,0,pet_0,66,171,25,2
1,reason_23,month_11,day_5,season_4,234,51,18,41,264.035,93,0,education_1,son_1,1,0,pet_0,89,170,31,2
2,reason_28,month_7,day_2,season_1,178,52,19,36,232.392,91,0,education_1,son_0,1,0,pet_0,89,171,31,3
3,reason_23,month_2,day_5,season_2,180,26,3,30,338.479,96,0,education_1,son_0,0,0,pet_0,58,166,22,1
4,reason_22,month_6,day_5,season_3,235,14,12,37,256.059,94,0,education_1,son_2,0,0,pet_1,88,172,29,8
5,reason_27,month_3,day_6,season_2,183,27,9,28,256.095,99,0,education_3,son_0,0,0,pet_0,56,171,21,2
6,reason_23,month_3,day_5,season_2,179,49,17,48,255.255,99,0,education_1,son_0,0,0,pet_0,88,170,31,3
7,reason_27,month_1,day_5,season_2,178,51,10,38,329.323,95,0,education_1,son_0,0,0,pet_0,83,171,31,2
8,reason_25,month_3,day_3,season_2,236,12,13,40,231.619,98,0,education_3,son_1,0,0,pet_1,90,180,28,3
9,reason_23,month_3,day_2,season_2,183,27,4,29,228.16,97,0,education_3,son_0,0,0,pet_0,56,171,21,2
10,reason_23,month_9,day_2,season_1,229,27,13,28,214.352,93,0,education_1,son_1,0,0,pet_2,68,172,25,2
11,reason_27,month_1,day_5,season_2,157,48,10,38,352.78,96,0,education_1,son_0,1,0,pet_0,101,170,25,1
12,reason_25,month_5,day_2,season_1,175,25,8,27,269.303,98,0,education_2,son_0,0,0,pet_0,66,183,20,2
13,reason_23,month_3,day_2,season_1,119,12,19,46,220.868,97,0,education_1,son_0,0,0,pet_0,100,177,31,3
14,reason_27,month_2,day_6,season_2,182,51,18,37,263.956,98,0,education_1,son_0,1,0,pet_0,89,171,30,3
15,reason_23,month_3,day_4,season_4,133,52,19,46,241.801,92,0,education_1,son_1,1,0,pet_0,90,180,31,3
16,reason_23,month_10,day_5,season_4,119,10,17,51,243.861,91,0,education_1,son_0,1,0,pet_0,92,170,31,1
17,reason_23,month_6,day_3,season_3,126,11,19,49,276.839,92,0,education_1,son_0,1,0,pet_0,95,179,31,2
18,reason_23,month_10,day_5,season_4,285,29,12,41,279.425,95,0,education_1,son_1,1,0,pet_1,71,171,26,2
19,reason_25,month_4,day_3,season_3,127,15,9,32,246.892,97,0,education_1,son_0,0,0,pet_0,83,173,28,2
20,reason_23,month_10,day_3,season_4,234,15,10,38,242.042,94,0,education_1,son_0,0,0,pet_0,83,170,28,1
21,reason_23,month_2,day_5,season_2,233,25,10,29,372.533,96,0,education_1,son_1,0,0,pet_2,71,171,24,3
22,reason_23,month_3,day_2,season_2,187,28,10,31,242.223,99,0,education_3,son_0,0,0,pet_0,58,172,23,2
23,reason_23,month_10,day_3,season_4,135,13,18,49,277.617,92,0,education_1,son_0,1,0,pet_0,96,171,31,3
24,reason_25,month_3,day_5,season_2,219,25,10,29,231.078,99,0,education_1,son_1,0,0,pet_2,69,168,23,0
25,reason_28,month_11,day_2,season_1,181,50,18,37,240.53,93,0,education_1,son_0,1,0,pet_0,90,170,31,1
26,reason_28,month_11,day_6,season_4,299,31,15,42,257.396,96,0,education_1,son_1,1,0,pet_1,71,170,24,2
27,reason_19,month_3,day_4,season_2,242,50,14,28,358.239,98,0,education_1,son_2,0,1,pet_4,70,181,22,7
28,reason_28,month_7,day_3,season_1,179,26,17,40,252.591,92,0,education_1,son_0,1,0,pet_0,68,171,21,1
29,reason_27,month_3,day_4,season_2,175,49,18,38,241.359,99,0,education_1,son_0,1,0,pet_0,89,169,31,3
30,reason_28,month_7,day_3,season_1,136,13,18,38,277.436,93,0,education_1,son_0,1,0,pet_0,96,179,31,3
31,reason_27,month_1,day_4,season_2,178,28,9,28,251.589,98,0,education_3,son_0,0,0,pet_0,56,172,19,1
32,reason_27,month_3,day_4,season_3,175,26,10,30,241.419,97,0,education_1,son_0,0,0,pet_0,82,171,31,2
33,reason_23,month_3,day_4,season_2,226,26,9,30,214.64,98,0,education_1,son_0,0,0,pet_0,67,176,24,1
34,reason_0,month_6,day_5,season_3,230,49,11,40,276.869,96,0,education_1,son_1,0,0,pet_0,68,170,24,0
35,reason_23,month_3,day_2,season_2,294,29,13,49,255.68,98,0,education_1,son_2,0,1,pet_1,75,165,24,8
36,reason_22,month_3,day_2,season_3,366,15,5,28,249.326,99,0,education_2,son_1,0,1,pet_4,79,183,25,7
37,reason_23,month_3,day_3,season_3,118,12,17,51,241.765,98,0,education_1,son_1,1,0,pet_0,103,182,31,3
38,reason_23,month_7,day_3,season_1,118,11,10,37,274.944,92,0,education_1,son_0,0,0,pet_0,80,170,28,3
39,reason_28,month_8,day_5,season_1,265,11,13,41,251.783,93,0,education_1,son_0,1,0,pet_0,82,171,31,3
