,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
0,reason_9,month_9,day_6,season_1,118,52,29,58,378.884,81,0,education_1,son_0,1,0,pet_1,56,196,38,0
1,reason_9,month_9,day_2,season_1,388,5,1,27,205.917,81,0,education_1,son_1,0,1,pet_1,108,163,19,120
2,reason_0,month_9,day_2,season_3,118,5,1,58,205.917,100,0,education_1,son_2,1,0,pet_1,56,163,19,120
3,reason_0,month_0,day_3,season_1,118,5,1,58,378.884,81,0,education_1,son_1,1,0,pet_8,108,163,38,0
4,reason_0,month_9,day_6,season_1,118,52,1,27,378.884,81,0,education_3,son_0,0,0,pet_0,56,196,19,0
5,reason_9,month_9,day_2,season_1,388,5,29,58,378.884,81,0,education_1,son_1,1,0,pet_0,108,163,38,120
6,reason_23,month_11,day_6,season_4,260,49,9,33,261.892,94,0,education_1,son_4,1,0,pet_0,65,168,24,2
7,reason_9,month_0,day_2,season_2,118,52,29,58,378.884,100,0,education_1,son_1,1,0,pet_1,108,163,38,0
8,reason_0,month_0,day_4,season_4,118,20,29,42,378.884,98,0,education_1,son_1,1,0,pet_2,108,163,38,0
9,reason_9,month_9,day_3,season_1,118,52,29,58,378.884,81,0,education_1,son_0,1,0,pet_1,56,196,38,0
10,reason_0,month_0,day_2,season_1,380,51,1,58,205.917,81,0,education_1,son_1,0,1,pet_5,107,163,38,0
11,reason_0,month_0,day_2,season_2,179,5,1,58,378.884,100,0,education_1,son_2,1,0,pet_1,56,163,19,120
12,reason_8,month_9,day_6,season_1,118,51,1,27,205.917,81,0,education_3,son_0,0,0,pet_0,56,196,19,8
13,reason_0,month_0,day_4,season_4,118,52,29,58,378.884,93,0,education_1,son_2,1,0,pet_2,108,163,38,0
14,reason_0,month_0,day_2,season_4,118,5,1,58,378.884,100,0,education_1,son_2,0,0,pet_0,56,163,19,120
15,reason_0,month_0,day_4,season_2,118,52,29,58,378.884,100,0,education_1,son_2,1,0,pet_2,108,163,38,0
16,reason_0,month_0,day_4,season_4,118,5,1,58,378.884,81,0,education_1,son_1,1,0,pet_8,108,163,38,0
17,reason_0,month_9,day_3,season_1,118,52,29,58,378.884,81,0,education_1,son_0,1,0,pet_1,56,196,38,0
18,reason_9,month_9,day_2,season_3,388,5,29,58,378.884,81,0,education_1,son_2,1,0,pet_0,56,163,19,0
19,reason_0,month_0,day_4,season_4,189,51,29,27,205.917,100,1,education_1,son_2,1,0,pet_1,108,163,37,0
20,reason_9,month_0,day_4,season_4,388,5,29,58,378.884,81,0,education_1,son_1,1,0,pet_2,108,163,38,120
21,reason_0,month_0,day_2,season_4,388,52,1,27,378.884,81,0,education_2,son_1,1,0,pet_8,56,196,19,120
22,reason_0,month_0,day_2,season_1,388,52,1,58,205.917,81,0,education_1,son_1,0,1,pet_5,108,163,38,0
23,reason_9,month_0,day_2,season_3,388,5,1,58,378.884,100,0,education_1,son_1,1,0,pet_0,108,163,38,120
24,reason_9,month_0,day_2,season_2,388,5,1,58,378.884,100,0,education_1,son_2,0,0,pet_1,56,196,19,120
25,reason_0,month_9,day_4,season_3,118,5,1,58,378.884,81,0,education_1,son_1,1,0,pet_0,108,196,19,120
