,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absenteeism time in hours
0,reason_1,month_6,day_4,season_3,378.0,49.0,11.0,36.0,287.407,98.0,0,education_1,son_2,0,1,pet_4,65.0,174.0,21.0,10.0
1,reason_27,month_6,day_6,season_3,190.0,30.0,11.0,30.0,261.502,96.0,0,education_3,son_0,0,0,pet_0,58.0,170.0,23.0,5.0
2,reason_22,month_5,day_4,season_1,255.0,50.0,22.0,38.0,378.379,93.0,0,education_1,son_1,0,0,pet_4,64.0,171.0,28.0,13.0
3,reason_10,month_1,day_2,season_4,118.0,10.0,10.0,37.0,272.166,95.0,0,education_1,son_0,0,0,pet_0,83.0,172.0,28.0,11.0
4,reason_23,month_3,day_2,season_1,179.0,41.0,18.0,37.0,259.048,100.0,0,education_1,son_0,1,0,pet_0,85.0,170.0,27.0,3.0
5,reason_22,month_8,day_3,season_2,269.0,32.0,13.0,35.0,291.507,95.0,0,education_1,son_2,1,0,pet_1,92.0,172.0,25.0,1.0
6,reason_28,month_10,day_4,season_4,324.0,20.0,9.0,29.0,206.489,93.0,0,education_1,son_1,1,0,pet_1,73.0,172.0,27.0,1.0
7,reason_28,month_5,day_6,season_3,173.0,29.0,10.0,40.0,239.622,99.0,0,education_1,son_2,0,0,pet_0,63.0,168.0,22.0,2.0
8,reason_23,month_10,day_5,season_4,201.0,26.0,6.0,30.0,264.744,88.0,0,education_3,son_0,0,1,pet_0,72.0,178.0,21.0,10.0
9,reason_23,month_2,day_6,season_2,251.0,50.0,19.0,40.0,251.818,96.0,0,education_1,son_0,1,0,pet_0,73.0,170.0,30.0,1.0
10,reason_13,month_6,day_5,season_3,196.0,22.0,9.0,29.0,263.782,96.0,0,education_3,son_0,0,0,pet_0,66.0,170.0,23.0,5.0
11,reason_9,month_4,day_6,season_4,126.0,9.0,12.0,37.0,277.301,87.0,0,education_3,son_0,0,0,pet_1,83.0,172.0,28.0,4.0
12,reason_13,month_11,day_4,season_4,224.0,27.0,9.0,29.0,293.405,91.0,0,education_1,son_1,0,0,pet_0,71.0,177.0,24.0,1.0
13,reason_28,month_3,day_6,season_3,225.0,26.0,9.0,28.0,335.531,93.0,0,education_1,son_1,0,0,pet_2,69.0,169.0,24.0,4.0
14,reason_19,month_9,day_2,season_1,236.0,33.0,11.0,39.0,262.811,90.0,0,education_1,son_2,1,0,pet_1,79.0,170.0,28.0,13.0
15,reason_13,month_12,day_4,season_4,150.0,12.0,16.0,55.0,252.386,93.0,0,education_1,son_0,0,0,pet_0,89.0,168.0,29.0,71.0
16,reason_23,month_5,day_4,season_3,153.0,12.0,14.0,33.0,328.31,92.0,0,education_1,son_2,1,0,pet_0,90.0,191.0,25.0,26.0
17,reason_11,month_10,day_3,season_4,253.0,10.0,10.0,32.0,269.381,93.0,0,education_1,son_0,0,0,pet_0,95.0,187.0,25.0,28.0
18,reason_27,month_5,day_6,season_3,157.0,30.0,10.0,46.0,238.995,99.0,0,education_1,son_4,0,1,pet_0,68.0,180.0,24.0,19.0
19,reason_28,month_10,day_5,season_2,196.0,22.0,25.0,47.0,292.521,90.0,0,education_1,son_2,1,0,pet_0,92.0,172.0,33.0,1.0
20,reason_28,month_9,day_6,season_4,299.0,45.0,12.0,35.0,260.205,93.0,0,education_1,son_4,1,0,pet_0,62.0,168.0,22.0,4.0
21,reason_28,month_8,day_6,season_1,241.0,37.0,11.0,42.0,219.719,93.0,0,education_1,son_4,1,0,pet_0,63.0,168.0,25.0,5.0
22,reason_27,month_2,day_4,season_2,179.0,51.0,18.0,38.0,259.242,99.0,0,education_1,son_0,1,0,pet_0,89.0,170.0,31.0,5.0
