city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_133,0.617,,Has relevent experience,Full time course,Graduate,STEM,4,5000-9999,,1,32,<NA>
city_102,0.921,Male,No relevent experience,Full time course,High School,,4,,,never,13,0
city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,50-99,Pvt Ltd,3,224,0
city_160,0.875,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,11,0
city_114,0.918,,No relevent experience,Full time course,Graduate,,3,,,1,8,<NA>
city_21,0.535,,Has relevent experience,no_enrollment,Graduate,STEM,18,10/49,Public Sector,1,53,1
city_103,0.619,Female,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,4,30,0
city_16,0.921,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,2,42,0
city_103,0.879,Male,Has relevent experience,Part time course,Graduate,STEM,2,,Pvt Ltd,1,13,<NA>
city_101,0.909,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,10000+,Pvt Ltd,2,45,0
city_21,0.699,Female,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,Pvt Ltd,2,46,<NA>
city_103,0.915,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,4,71,0
city_11,0.916,Male,Has relevent experience,no_enrollment,Masters,Business Degree,6,,Pvt Ltd,1,6,0
city_2,0.618,Male,Has relevent experience,Full time course,Masters,STEM,6,50-99,Funded Startup,1,7,0
city_16,0.93,,No relevent experience,no_enrollment,Masters,STEM,11,<10,Pvt Ltd,2,12,0
city_65,0.93,Male,No relevent experience,no_enrollment,Masters,Arts,5,10000+,,never,17,1
city_21,0.893,Male,No relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,21,1
city_103,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,4,38,0
city_103,0.917,,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Funded Startup,1,44,0
city_103,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,5000-9999,Pvt Ltd,4,29,0
city_16,0.804,,No relevent experience,no_enrollment,High School,,6,,,never,15,0
city_152,0.616,Other,Has relevent experience,Full time course,Graduate,STEM,6,,Pvt Ltd,1,50,1
city_103,0.636,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,10000+,Pvt Ltd,1,46,0
city_61,0.923,Male,Has relevent experience,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,1,44,1
city_73,0.615,Male,No relevent experience,Full time course,,,3,,,never,1,0
city_100,0.925,Male,Has relevent experience,no_enrollment,Masters,STEM,6,<10,Pvt Ltd,1,56,0
city_21,0.625,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,213,1
