city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_103,0.917,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,34,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,2,54,0
city_30,0.913,Male,Has relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,1,43,0
city_30,0.625,Other,Has relevent experience,no_enrollment,Masters,STEM,9,50-99,Pvt Ltd,1,134,1
city_21,0.624,Other,No relevent experience,Full time course,Primary School,STEM,3,5000-9999,Pvt Ltd,never,39,<NA>
city_99,0.649,Male,Has relevent experience,Full time course,Graduate,STEM,7,50-99,Pvt Ltd,1,38,0
city_30,0.897,Other,No relevent experience,no_enrollment,Graduate,Business Degree,19,<10,Pvt Ltd,1,170,1
city_30,0.939,Other,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,Funded Startup,1,89,1
city_30,0.921,Female,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Early Stage Startup,never,87,0
city_30,0.815,Male,Has relevent experience,Full time course,Graduate,STEM,12,100-500,Pvt Ltd,1,63,0
city_30,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,10/49,Pvt Ltd,2,181,0
city_30,0.916,Male,Has relevent experience,Full time course,Graduate,STEM,19,<10,Pvt Ltd,1,29,0
city_30,0.925,Male,Has relevent experience,Part time course,High School,STEM,5,10/49,Pvt Ltd,1,120,0
city_16,0.908,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,<10,NGO,>4,221,0
city_21,0.641,Other,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,never,18,1
city_30,0.623,Other,Has relevent experience,Full time course,Graduate,STEM,5,10/49,Early Stage Startup,1,56,<NA>
city_30,0.571,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,1,21,0
city_30,0.926,Other,Has relevent experience,Full time course,Masters,STEM,19,<10,Pvt Ltd,1,16,<NA>
