city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_160,0.948,Male,Has relevent experience,Full time course,,STEM,8,100-500,,1,32,0
city_73,0.816,Male,No relevent experience,no_enrollment,Masters,Humanities,6,10/49,Pvt Ltd,never,16,0
city_103,0.949,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,,4,56,0
city_46,0.934,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,,NGO,1,60,1
city_103,0.465,Other,Has relevent experience,no_enrollment,Masters,,>20,50-99,,1,33,0
city_100,0.926,,Has relevent experience,Part time course,Masters,Humanities,>20,,,>4,40,0
city_136,0.892,Male,Has relevent experience,no_enrollment,Graduate,,3,<10,Pvt Ltd,>4,19,1
city_21,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Public Sector,1,17,0
city_16,0.941,,Has relevent experience,no_enrollment,Graduate,,<1,,NGO,1,88,0
city_114,0.944,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,9,0
city_102,0.707,Female,Has relevent experience,Full time course,Graduate,,>20,,,never,136,0
city_103,0.774,Male,No relevent experience,no_enrollment,Graduate,STEM,8,,Funded Startup,3,38,0
city_21,0.683,,Has relevent experience,no_enrollment,Graduate,,2,1000-4999,Pvt Ltd,3,61,1
city_41,0.846,Male,No relevent experience,no_enrollment,Masters,STEM,10,100-500,,>4,45,0
city_61,0.72,Male,No relevent experience,no_enrollment,Graduate,STEM,14,,Pvt Ltd,4,60,0
city_67,0.942,Male,Has relevent experience,no_enrollment,Primary School,,5,,Pvt Ltd,1,20,<NA>
city_103,0.895,Other,Has relevent experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,never,45,0
city_160,0.509,Male,No relevent experience,Full time course,Graduate,STEM,9,,,1,99,0
city_16,0.757,,Has relevent experience,no_enrollment,Masters,STEM,3,50-99,Pvt Ltd,1,15,<NA>
city_114,0.452,,No relevent experience,Part time course,Graduate,,4,,,2,47,1
city_18,0.508,Male,No relevent experience,no_enrollment,Graduate,STEM,10,,Pvt Ltd,4,49,0
city_128,0.566,,Has relevent experience,no_enrollment,Masters,STEM,6,100-500,,3,43,0
city_99,0.467,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10/49,Pvt Ltd,1,61,0
city_160,0.591,,Has relevent experience,no_enrollment,Graduate,STEM,11,,,1,71,<NA>
city_19,0.54,,Has relevent experience,no_enrollment,Masters,STEM,8,,,1,8,1
city_100,0.448,,Has relevent experience,,Graduate,STEM,>20,,,>4,61,<NA>
city_16,0.946,Male,No relevent experience,no_enrollment,Phd,STEM,3,,,1,53,0
city_102,0.854,,No relevent experience,Full time course,Graduate,Humanities,>20,,Funded Startup,1,42,0
city_21,0.466,Male,Has relevent experience,Full time course,Graduate,STEM,3,,,1,42,0
city_165,0.452,Male,No relevent experience,Full time course,Primary School,,>20,<10,Pvt Ltd,1,32,1
city_103,0.949,Male,Has relevent experience,Full time course,High School,STEM,<1,50-99,,4,6,0
city_67,0.859,Female,Has relevent experience,no_enrollment,Graduate,STEM,<1,50-99,,2,34,0
city_103,0.934,,Has relevent experience,no_enrollment,Masters,STEM,7,,,4,4,0
city_73,0.948,Male,No relevent experience,Full time course,,STEM,12,<10,Public Sector,,5,1
city_114,0.946,Male,No relevent experience,no_enrollment,Masters,STEM,8,50-99,Pvt Ltd,4,10,0
city_101,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,,Pvt Ltd,>4,63,0
city_75,0.662,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,500-999,Pvt Ltd,>4,33,0
city_11,0.949,Male,No relevent experience,no_enrollment,Graduate,STEM,10,,Pvt Ltd,never,13,0
city_78,0.918,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,1000-4999,Pvt Ltd,2,33,1
city_114,0.928,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,Pvt Ltd,1,47,1
city_103,0.949,,No relevent experience,no_enrollment,Graduate,STEM,3,10000+,Pvt Ltd,never,119,1
city_83,0.479,Male,Has relevent experience,no_enrollment,Masters,,<1,,Pvt Ltd,never,67,0
city_75,0.855,Male,Has relevent experience,no_enrollment,Graduate,,5,100-500,,1,50,0
city_21,0.452,,Has relevent experience,Part time course,Masters,STEM,3,,,2,72,0
city_103,0.884,,No relevent experience,no_enrollment,Graduate,,4,<10,Early Stage Startup,never,66,0
city_103,0.948,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,Pvt Ltd,>4,108,0
city_103,0.948,,No relevent experience,Part time course,,No Major,9,,Pvt Ltd,1,151,1
city_103,0.643,Male,Has relevent experience,Part time course,Graduate,STEM,8,,Pvt Ltd,2,237,0
city_102,0.448,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,3,151,0
city_21,0.506,,No relevent experience,no_enrollment,Graduate,STEM,6,100-500,,2,95,0
city_21,0.829,Male,Has relevent experience,no_enrollment,Graduate,,13,50-99,Pvt Ltd,1,63,0
city_103,0.809,,Has relevent experience,no_enrollment,Graduate,STEM,4,,,3,41,0
city_75,0.684,Female,Has relevent experience,Part time course,Graduate,STEM,3,100-500,Pvt Ltd,never,99,0
city_64,0.946,Male,No relevent experience,no_enrollment,Masters,STEM,17,10000+,Public Sector,1,180,0
city_21,0.949,Male,No relevent experience,no_enrollment,Graduate,STEM,3,100-500,Pvt Ltd,1,4,0
city_103,0.475,Male,Has relevent experience,no_enrollment,High School,Business Degree,3,,NGO,2,37,0
city_103,0.828,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,,Funded Startup,1,28,0
city_103,0.944,Male,Has relevent experience,no_enrollment,Masters,Humanities,5,,,1,40,<NA>
city_16,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,,Public Sector,>4,60,0
city_103,0.949,Male,No relevent experience,Full time course,Graduate,STEM,6,<10,NGO,>4,77,1
city_21,0.949,,Has relevent experience,no_enrollment,Graduate,,4,100-500,,1,3,0
city_70,0.949,Male,No relevent experience,no_enrollment,High School,STEM,2,50-99,,1,43,0
city_103,0.949,Male,Has relevent experience,no_enrollment,Graduate,,15,,Pvt Ltd,2,82,0
city_103,0.846,Female,Has relevent experience,no_enrollment,Graduate,,6,,,3,15,1
city_21,0.949,Male,Has relevent experience,no_enrollment,High School,STEM,>20,100-500,Pvt Ltd,1,6,0
city_145,0.818,Male,Has relevent experience,Full time course,Graduate,,<1,,,>4,69,0
city_21,0.84,Male,Has relevent experience,no_enrollment,High School,,7,,Pvt Ltd,1,146,1
city_21,0.696,Male,No relevent experience,Full time course,Graduate,STEM,2,<10,Pvt Ltd,4,48,0
city_103,0.45,Male,No relevent experience,no_enrollment,Masters,,4,,Early Stage Startup,>4,18,0
city_160,0.544,Male,Has relevent experience,Full time course,Masters,STEM,7,100-500,Pvt Ltd,2,8,0
city_103,0.949,,Has relevent experience,no_enrollment,Graduate,STEM,18,,Pvt Ltd,1,49,0
city_16,0.568,,Has relevent experience,Full time course,Graduate,STEM,12,100-500,,>4,122,1
city_103,0.458,,Has relevent experience,no_enrollment,Graduate,STEM,12,1000-4999,,2,99,0
city_103,0.93,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,,>4,152,0
city_46,0.937,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,10000+,Pvt Ltd,>4,124,0
city_40,0.453,Male,No relevent experience,no_enrollment,Primary School,,20,100-500,Pvt Ltd,1,27,0
city_21,0.703,,Has relevent experience,no_enrollment,Graduate,,6,,,1,61,0
city_40,0.918,Male,Has relevent experience,no_enrollment,Graduate,STEM,<1,<10,Pvt Ltd,2,170,0
city_103,0.812,Male,No relevent experience,no_enrollment,Graduate,STEM,1,,,1,17,0
city_21,0.947,,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,1,79,0
city_138,0.947,Male,No relevent experience,no_enrollment,Masters,STEM,6,,,2,7,<NA>
city_143,0.802,Male,No relevent experience,no_enrollment,Graduate,STEM,20,<10,,1,171,<NA>
city_114,0.896,,Has relevent experience,no_enrollment,Graduate,STEM,14,10/49,,2,12,0
city_160,0.939,Male,Has relevent experience,no_enrollment,High School,STEM,13,,Pvt Ltd,>4,15,<NA>
city_114,0.949,,Has relevent experience,Part time course,Graduate,STEM,>20,100-500,Pvt Ltd,>4,58,1
city_160,0.947,Male,Has relevent experience,no_enrollment,Masters,STEM,4,,,2,79,0
city_21,0.456,,Has relevent experience,no_enrollment,Masters,,10,,Pvt Ltd,1,5,0
city_103,0.927,Male,Has relevent experience,Full time course,Graduate,STEM,10,,,never,87,0
city_103,0.681,,No relevent experience,Full time course,Masters,STEM,6,<10,,1,136,0
city_75,0.937,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,Early Stage Startup,>4,139,0
city_104,0.881,Male,No relevent experience,no_enrollment,Graduate,STEM,11,10000+,Early Stage Startup,1,43,1
city_21,0.949,Male,No relevent experience,no_enrollment,Graduate,STEM,5,<10,,2,124,0
city_136,0.949,Male,Has relevent experience,no_enrollment,Masters,STEM,13,10000+,,3,57,1
city_114,0.714,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,10,1000-4999,Pvt Ltd,>4,14,0
city_103,0.938,Male,Has relevent experience,no_enrollment,Masters,Other,12,1000-4999,Pvt Ltd,>4,30,0
city_103,0.451,Male,Has relevent experience,Part time course,Graduate,,7,,Pvt Ltd,2,86,0
city_44,0.762,,No relevent experience,Full time course,Graduate,STEM,7,,NGO,1,83,0
city_93,0.851,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10000+,Early Stage Startup,4,64,0
city_103,0.946,Male,Has relevent experience,no_enrollment,Graduate,,8,100-500,Pvt Ltd,never,145,<NA>
city_21,0.86,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,100-500,NGO,2,79,0
city_103,0.905,,No relevent experience,no_enrollment,Graduate,STEM,3,,,never,14,0
city_103,0.765,Male,No relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,never,55,0
city_103,0.665,,No relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,never,216,0
city_21,0.942,,No relevent experience,Part time course,Graduate,STEM,12,,Early Stage Startup,2,75,0
city_61,0.901,Male,Has relevent experience,Full time course,Graduate,STEM,3,50-99,Public Sector,1,42,1
city_16,0.467,Male,No relevent experience,no_enrollment,,STEM,6,<10,,1,272,0
city_103,0.449,Male,Has relevent experience,no_enrollment,Masters,STEM,4,,Pvt Ltd,,97,1
city_103,0.949,Female,Has relevent experience,no_enrollment,Graduate,,14,5000-9999,Pvt Ltd,1,4,0
city_10,0.909,,Has relevent experience,no_enrollment,Graduate,STEM,10,,Pvt Ltd,2,83,0
city_16,0.544,Female,No relevent experience,Full time course,Graduate,STEM,>20,1000-4999,,3,101,1
city_73,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,2,251,0
city_103,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,18,10000+,,2,39,0
city_16,0.454,Male,Has relevent experience,Full time course,Masters,STEM,17,100-500,Public Sector,1,156,0
city_103,0.946,Other,Has relevent experience,Part time course,Masters,STEM,>20,50-99,Pvt Ltd,2,67,0
city_101,0.933,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,34,0
city_21,0.759,,Has relevent experience,Full time course,Graduate,STEM,20,1000-4999,Pvt Ltd,never,37,0
city_114,0.949,,No relevent experience,no_enrollment,Graduate,STEM,4,50-99,,2,24,0
city_102,0.898,Male,No relevent experience,no_enrollment,Graduate,STEM,1,,,>4,52,1
city_114,0.948,,Has relevent experience,no_enrollment,Phd,STEM,>20,50-99,Pvt Ltd,>4,14,0
city_21,0.949,Male,No relevent experience,Full time course,Masters,STEM,16,,Pvt Ltd,never,36,0
city_101,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,50-99,Pvt Ltd,1,59,0
city_71,0.555,Male,Has relevent experience,no_enrollment,Graduate,Other,13,50-99,Pvt Ltd,never,8,0
city_114,0.949,Other,Has relevent experience,no_enrollment,Masters,STEM,6,50-99,,2,8,0
city_103,0.895,Male,No relevent experience,no_enrollment,Primary School,No Major,7,50-99,,>4,3,0
city_75,0.466,Male,No relevent experience,no_enrollment,Masters,STEM,9,,Funded Startup,2,35,0
city_103,0.946,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,10/49,,3,20,0
city_21,0.612,Male,Has relevent experience,no_enrollment,Graduate,Arts,13,,,1,33,0
city_64,0.469,Male,No relevent experience,Full time course,Masters,STEM,>20,1000-4999,Pvt Ltd,never,85,0
city_143,0.579,Male,No relevent experience,Full time course,Graduate,STEM,>20,10000+,Pvt Ltd,3,15,0
city_90,0.896,Male,Has relevent experience,Full time course,Graduate,STEM,19,10000+,Pvt Ltd,3,47,0
city_128,0.944,Male,No relevent experience,no_enrollment,Graduate,,4,10000+,,1,5,0
city_104,0.846,Male,Has relevent experience,no_enrollment,Graduate,,9,1000-4999,Pvt Ltd,1,13,0
city_103,0.462,Male,No relevent experience,no_enrollment,Graduate,STEM,6,,Pvt Ltd,1,5,1
city_160,0.764,Female,Has relevent experience,no_enrollment,High School,STEM,>20,100-500,,1,115,1
city_98,0.943,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,Pvt Ltd,1,46,<NA>
city_138,0.943,Female,No relevent experience,Full time course,Graduate,,11,,,1,75,0
city_73,0.483,Male,No relevent experience,no_enrollment,Masters,,>20,100-500,Pvt Ltd,>4,17,0
city_100,0.948,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,100-500,,never,49,0
city_65,0.949,Male,Has relevent experience,no_enrollment,Masters,,3,50-99,Pvt Ltd,2,38,1
city_142,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10000+,Pvt Ltd,never,35,1
city_21,0.46,Male,No relevent experience,no_enrollment,Graduate,STEM,8,,,1,50,0
city_21,0.919,Male,No relevent experience,no_enrollment,High School,Business Degree,5,50-99,,3,29,1
city_21,0.949,Male,No relevent experience,Full time course,Graduate,STEM,8,10000+,Pvt Ltd,,36,0
city_160,0.598,Male,Has relevent experience,no_enrollment,High School,STEM,2,,Pvt Ltd,1,45,1
city_103,0.949,,Has relevent experience,,Phd,STEM,7,10/49,Public Sector,never,97,<NA>
city_160,0.473,Male,No relevent experience,no_enrollment,Graduate,,15,10000+,,1,48,1
city_103,0.834,,Has relevent experience,no_enrollment,Graduate,Other,2,,Pvt Ltd,never,18,0
city_103,0.64,,Has relevent experience,no_enrollment,Graduate,STEM,4,,,4,128,0
city_123,0.948,Male,Has relevent experience,Full time course,Graduate,STEM,<1,50-99,,never,41,0
city_103,0.91,,Has relevent experience,no_enrollment,Graduate,,>20,50-99,Pvt Ltd,never,24,1
city_21,0.924,,Has relevent experience,no_enrollment,Graduate,Humanities,>20,50-99,Pvt Ltd,3,108,0
city_103,0.681,Male,Has relevent experience,no_enrollment,High School,STEM,5,,,1,138,0
city_104,0.49,,No relevent experience,no_enrollment,Graduate,STEM,5,10/49,,never,37,0
city_16,0.869,Male,Has relevent experience,no_enrollment,High School,STEM,11,100-500,Pvt Ltd,1,4,0
city_46,0.904,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,,Public Sector,4,40,0
city_71,0.948,Male,No relevent experience,no_enrollment,Masters,STEM,>20,,Pvt Ltd,2,11,1
city_114,0.725,Male,Has relevent experience,,Masters,STEM,5,5000-9999,Pvt Ltd,1,24,0
city_28,0.614,,No relevent experience,Part time course,Graduate,STEM,3,10/49,,1,83,1
city_136,0.907,Male,No relevent experience,no_enrollment,Graduate,,3,10000+,Pvt Ltd,1,5,0
city_21,0.949,,No relevent experience,no_enrollment,Graduate,,18,50-99,Pvt Ltd,1,6,0
city_116,0.876,Female,Has relevent experience,no_enrollment,Graduate,STEM,2,500-999,NGO,1,34,0
city_75,0.55,Female,No relevent experience,no_enrollment,High School,STEM,9,50-99,Pvt Ltd,>4,104,0
city_77,0.526,Male,No relevent experience,no_enrollment,Phd,STEM,7,,Pvt Ltd,1,14,1
city_160,0.731,Male,Has relevent experience,Full time course,Masters,STEM,4,,Pvt Ltd,1,69,0
city_27,0.682,,Has relevent experience,Full time course,Graduate,STEM,>20,,Pvt Ltd,>4,154,1
city_50,0.45,Male,No relevent experience,no_enrollment,Graduate,STEM,7,,,4,5,1
city_50,0.818,,No relevent experience,no_enrollment,Graduate,STEM,11,10000+,,>4,66,0
city_21,0.947,Male,Has relevent experience,Full time course,Graduate,STEM,10,,Pvt Ltd,2,10,<NA>
city_103,0.913,Male,Has relevent experience,no_enrollment,High School,,5,,,1,51,0
city_16,0.785,Male,Has relevent experience,Full time course,Graduate,STEM,10,50-99,Funded Startup,4,167,0
city_72,0.93,Male,Has relevent experience,Full time course,Graduate,STEM,6,,Funded Startup,>4,52,<NA>
city_21,0.949,Male,Has relevent experience,no_enrollment,Masters,STEM,2,,Pvt Ltd,1,127,1
city_61,0.94,Male,No relevent experience,no_enrollment,Graduate,STEM,11,5000-9999,Pvt Ltd,1,88,0
city_21,0.934,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,,>4,47,0
city_45,0.772,,No relevent experience,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,3,17,0
city_74,0.935,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,1000-4999,,never,169,0
city_16,0.693,Male,Has relevent experience,Part time course,High School,STEM,8,,Pvt Ltd,1,40,0
city_103,0.948,Male,No relevent experience,no_enrollment,Graduate,Humanities,8,10000+,Pvt Ltd,>4,16,0
city_77,0.861,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,1,12,0
city_21,0.907,,Has relevent experience,no_enrollment,Graduate,Business Degree,9,,,1,32,1
city_21,0.713,,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,never,145,<NA>
city_75,0.858,Male,Has relevent experience,no_enrollment,High School,STEM,3,,Pvt Ltd,4,38,0
city_103,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,1,56,0
city_104,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,10/49,Pvt Ltd,1,25,0
city_103,0.914,Male,Has relevent experience,no_enrollment,Masters,Arts,17,1000-4999,,1,43,0
city_61,0.949,Female,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,23,<NA>
city_93,0.505,Male,Has relevent experience,no_enrollment,Masters,STEM,12,,Pvt Ltd,2,69,1
city_73,0.725,,Has relevent experience,Full time course,Graduate,STEM,2,500-999,,never,31,0
city_27,0.662,,Has relevent experience,Full time course,Graduate,STEM,4,50-99,Pvt Ltd,1,53,1
city_91,0.903,Male,Has relevent experience,Part time course,Graduate,,8,10000+,Pvt Ltd,1,49,0
city_24,0.94,,Has relevent experience,no_enrollment,Graduate,STEM,8,,Pvt Ltd,1,43,1
city_114,0.949,,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,Pvt Ltd,never,60,0
city_100,0.5,Male,Has relevent experience,no_enrollment,Graduate,STEM,<1,10000+,,1,8,1
city_23,0.667,Male,No relevent experience,no_enrollment,Graduate,,10,,Funded Startup,1,24,0
city_160,0.949,,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,4,120,0
city_159,0.667,Male,Has relevent experience,no_enrollment,Masters,STEM,11,500-999,Pvt Ltd,2,111,0
city_74,0.676,Male,Has relevent experience,Full time course,Graduate,STEM,>20,10000+,Pvt Ltd,never,25,0
city_105,0.646,Male,Has relevent experience,no_enrollment,Masters,STEM,15,,Public Sector,1,28,0
city_21,0.949,Male,Has relevent experience,no_enrollment,Masters,STEM,4,,Early Stage Startup,never,8,0
city_21,0.944,,No relevent experience,no_enrollment,Graduate,Business Degree,7,<10,NGO,1,46,1
city_103,0.948,Female,Has relevent experience,no_enrollment,Masters,Arts,10,5000-9999,Pvt Ltd,>4,115,1
city_21,0.949,Male,Has relevent experience,Full time course,Graduate,Humanities,>20,100-500,Pvt Ltd,1,86,1
city_21,0.497,Male,No relevent experience,no_enrollment,Graduate,STEM,6,5000-9999,Other,2,14,0
city_21,0.888,,Has relevent experience,Part time course,High School,Business Degree,15,10/49,Pvt Ltd,1,46,0
city_21,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,1,13,0
city_21,0.948,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Public Sector,1,47,0
city_103,0.864,,No relevent experience,no_enrollment,Graduate,,>20,,,never,19,0
city_57,0.949,Male,No relevent experience,no_enrollment,High School,,9,10000+,Pvt Ltd,1,90,1
city_159,0.839,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Pvt Ltd,>4,78,0
city_21,0.949,,Has relevent experience,no_enrollment,Masters,STEM,3,10000+,,>4,60,0
city_103,0.945,,Has relevent experience,no_enrollment,Graduate,Business Degree,12,1000-4999,Pvt Ltd,1,146,0
city_75,0.572,Male,Has relevent experience,no_enrollment,Masters,STEM,4,10000+,NGO,1,89,<NA>
city_16,0.479,Male,No relevent experience,Full time course,Graduate,STEM,16,,Public Sector,2,29,<NA>
city_103,0.522,,No relevent experience,no_enrollment,Graduate,STEM,8,500-999,,1,153,0
