city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_21,0.623,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,4,0
city_118,0.728,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,<10,,1,22,0
city_114,0.932,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,19,0
city_21,0.621,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,2,29,0
city_67,0.864,Male,Has relevent experience,no_enrollment,High School,,>20,,,1,17,0
city_16,0.917,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,11,0
city_21,0.887,Male,No relevent experience,no_enrollment,Graduate,STEM,5,,,1,24,1
city_50,0.894,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,13,0
city_21,0.629,Male,No relevent experience,no_enrollment,Primary School,,3,,,never,23,0
city_67,0.84,Male,No relevent experience,Full time course,High School,,3,,,never,15,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,53,0
city_136,0.911,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,1,14,0
city_83,0.929,,Has relevent experience,Full time course,Graduate,STEM,14,50-99,,1,59,0
city_21,0.627,Male,No relevent experience,Full time course,Graduate,STEM,<1,,,never,66,1
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,1,10,0
city_143,0.748,,No relevent experience,Full time course,High School,,<1,,,never,8,1
city_90,0.713,Male,No relevent experience,Full time course,High School,,2,,,1,4,0
city_21,0.712,Male,No relevent experience,no_enrollment,Graduate,STEM,2,,,1,5,0
city_136,0.876,Male,Has relevent experience,no_enrollment,Masters,STEM,8,,,1,11,0
city_19,0.615,,Has relevent experience,no_enrollment,Graduate,STEM,7,1000-4999,Pvt Ltd,>4,44,1
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,2,,,never,26,1
city_21,0.547,,No relevent experience,Full time course,High School,,<1,,,never,2,1
city_61,0.927,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,23,0
city_103,0.875,,No relevent experience,Full time course,Graduate,STEM,<1,,,never,45,0
city_103,0.918,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,1,11,0
city_103,0.917,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,10,1
city_83,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,100-500,Pvt Ltd,1,36,0
city_100,0.892,Male,Has relevent experience,no_enrollment,High School,,8,,Pvt Ltd,1,27,0
city_142,0.727,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10000+,Pvt Ltd,1,56,0
city_11,0.548,,Has relevent experience,no_enrollment,Graduate,STEM,<1,,,1,45,1
city_67,0.881,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,20,0
city_21,0.619,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10/49,Early Stage Startup,1,14,1
city_21,0.917,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,,Pvt Ltd,1,36,1
city_73,0.746,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,100-500,Pvt Ltd,1,54,0
city_103,0.919,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,22,0
city_21,0.622,Male,Has relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,1,22,1
city_7,0.632,,No relevent experience,Full time course,Graduate,STEM,5,,,,33,1
city_21,0.617,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,,,1,24,1
city_103,0.918,Male,No relevent experience,no_enrollment,,,>20,,,never,5,0
city_103,0.919,,No relevent experience,Full time course,Graduate,STEM,1,10000+,Pvt Ltd,1,17,0
city_103,0.919,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,17,1
city_90,0.694,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,23,0
city_73,0.72,Male,No relevent experience,no_enrollment,High School,,>20,,,1,13,0
city_99,0.918,Male,No relevent experience,Full time course,High School,,1,,,1,51,0
city_16,0.933,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,45,0
city_99,0.918,Male,Has relevent experience,no_enrollment,Graduate,STEM,<1,,,1,6,1
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Funded Startup,1,11,0
city_16,0.916,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,<10,Early Stage Startup,1,13,0
city_103,0.938,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,1,16,0
city_21,0.618,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,,,1,6,1
city_73,0.731,Male,Has relevent experience,no_enrollment,High School,,3,,,1,16,0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10000+,Pvt Ltd,2,18,0
city_114,0.921,Male,No relevent experience,no_enrollment,Masters,STEM,6,100-500,Pvt Ltd,1,15,0
city_116,0.742,Male,Has relevent experience,Full time course,Graduate,STEM,8,100-500,Pvt Ltd,1,15,0
city_16,0.915,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,13,0
city_21,0.918,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,1,9,1
city_21,0.918,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,1000-4999,Pvt Ltd,1,12,0
city_103,0.918,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,1,15,0
city_73,0.762,Male,No relevent experience,Full time course,Graduate,STEM,5,,,1,11,0
city_114,0.923,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,1,14,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,1,0
city_16,0.927,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,9,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,,1,24,0
city_50,0.919,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,30,0
city_16,0.909,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,1,19,0
city_114,0.935,Male,No relevent experience,no_enrollment,High School,,<1,,,never,26,0
city_89,0.923,Male,Has relevent experience,Full time course,Graduate,STEM,5,100-500,Pvt Ltd,1,21,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,1,1,0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,,,1,16,1
city_103,0.895,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,1,0
city_90,0.716,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,50-99,Pvt Ltd,1,1,0
city_16,0.915,Male,No relevent experience,no_enrollment,Graduate,STEM,4,,,1,36,0
city_71,0.871,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,15,0
city_16,0.921,Male,Has relevent experience,no_enrollment,High School,,>20,10000+,Pvt Ltd,>4,16,0
city_21,0.617,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,13,0
city_103,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,1,8,0
city_16,0.905,Male,Has relevent experience,no_enrollment,Graduate,,9,,,1,26,0
city_21,0.624,,No relevent experience,Full time course,Graduate,STEM,<1,,,never,35,1
city_155,0.562,Male,Has relevent experience,Full time course,Graduate,STEM,4,,,1,23,1
city_75,0.928,Male,Has relevent experience,no_enrollment,High School,,9,50-99,Pvt Ltd,1,20,0
city_103,0.913,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,1,13,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,8,0
city_102,0.825,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,1,16,0
city_99,0.917,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,1,11,1
city_160,0.911,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,2,23,0
city_160,0.898,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,19,0
city_50,0.826,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Funded Startup,1,13,0
city_83,0.896,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,21,0
city_160,0.918,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,>4,17,0
city_21,0.627,,No relevent experience,Full time course,Graduate,STEM,<1,,,never,57,1
city_67,0.863,Male,Has relevent experience,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,6,0
city_75,0.94,Male,No relevent experience,no_enrollment,Graduate,STEM,4,,,1,6,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,13,0
city_99,0.92,Male,No relevent experience,no_enrollment,High School,,6,,,never,53,0
city_71,0.882,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Funded Startup,1,5,0
city_16,0.913,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,1,15,0
city_16,0.906,Male,No relevent experience,no_enrollment,High School,,3,,,never,7,0
city_90,0.711,,No relevent experience,Full time course,High School,,3,,,never,34,0
city_16,0.915,Male,No relevent experience,Full time course,Graduate,STEM,<1,,,1,11,0
city_65,0.802,Male,Has relevent experience,Full time course,High School,,3,50-99,Pvt Ltd,1,16,0
city_21,0.628,,No relevent experience,Full time course,High School,,3,,,never,47,0
city_101,0.571,Male,No relevent experience,no_enrollment,Graduate,,<1,,,never,28,1
city_21,0.627,Male,No relevent experience,Full time course,Graduate,STEM,2,,,1,24,1
city_160,0.921,,No relevent experience,no_enrollment,High School,,3,50-99,Pvt Ltd,2,18,0
city_102,0.788,Male,Has relevent experience,Full time course,Graduate,STEM,5,50-99,,1,20,0
city_21,0.579,Male,No relevent experience,no_enrollment,High School,,<1,,,never,13,1
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,<1,,,never,20,1
city_102,0.812,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,1,25,0
city_21,0.915,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,1,21,0
city_73,0.739,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,12,0
city_136,0.883,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,,,1,19,0
city_71,0.915,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,16,0
city_16,0.928,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,19,0
city_103,0.918,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,16,0
city_16,0.935,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,1,31,0
city_149,0.693,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,100-500,Pvt Ltd,1,32,0
city_116,0.739,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,1,42,0
city_103,0.922,Male,No relevent experience,no_enrollment,High School,,3,,Pvt Ltd,never,12,0
city_76,0.711,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,55,0
city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,19,0
city_136,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,1,8,0
city_90,0.693,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,<10,Pvt Ltd,1,15,0
city_103,0.932,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Pvt Ltd,1,23,0
city_16,0.88,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,4,0
city_57,0.868,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,100-500,Pvt Ltd,2,35,0
city_41,0.846,Male,No relevent experience,no_enrollment,,,3,,,never,28,0
city_103,0.923,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Funded Startup,1,21,0
city_103,0.919,,No relevent experience,Full time course,Graduate,STEM,5,,,never,51,1
city_16,0.872,,No relevent experience,Full time course,High School,,3,,,never,20,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,1,12,0
city_16,0.916,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,16,0
city_114,0.916,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,,,1,17,0
city_36,0.918,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,1,7,0
city_21,0.625,Male,No relevent experience,Full time course,Graduate,STEM,5,,,1,20,1
city_104,0.928,Male,No relevent experience,Full time course,Graduate,STEM,5,,,never,42,0
city_83,0.901,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,40,0
city_103,0.922,Male,No relevent experience,Full time course,Graduate,STEM,5,,,1,34,0
city_103,0.921,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,1,11,0
city_173,0.874,Male,Has relevent experience,no_enrollment,High School,,>20,,,1,5,0
city_103,0.896,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,>4,9,0
city_21,0.915,Male,No relevent experience,Full time course,Graduate,STEM,4,,,1,52,1
city_28,0.921,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,,1,8,0
city_21,0.618,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,2,37,0
city_70,0.706,Male,No relevent experience,no_enrollment,High School,,3,,,never,17,0
city_102,0.779,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,15,0
city_160,0.894,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Funded Startup,1,26,0
city_102,0.829,Male,No relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,8,0
city_57,0.786,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,9,0
city_136,0.932,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,16,0
city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,5,,,never,58,1
city_116,0.715,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,17,0
city_103,0.919,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,4,22,0
city_16,0.921,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Pvt Ltd,1,19,0
city_103,0.926,Male,No relevent experience,Full time course,High School,STEM,5,,,never,23,0
city_61,0.917,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,,1,12,0
city_160,0.921,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Funded Startup,1,11,0
city_136,0.896,Male,No relevent experience,no_enrollment,High School,,8,,,1,1,0
city_16,0.914,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,4,1
city_36,0.899,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,1,20,0
city_103,0.917,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,1,20,0
city_136,0.878,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,20,0
city_136,0.896,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,29,0
city_21,0.62,Male,Has relevent experience,Full time course,Graduate,STEM,5,,,1,11,1
city_46,0.781,Male,No relevent experience,Full time course,Graduate,STEM,3,,,1,15,0
city_136,0.913,Male,No relevent experience,Full time course,Graduate,STEM,5,,,1,9,0
city_36,0.919,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,8,0
city_21,0.917,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10/49,Funded Startup,1,18,1
city_16,0.911,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,2,33,0
city_16,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,46,0
city_136,0.885,,No relevent experience,Full time course,Masters,STEM,8,50-99,Public Sector,1,7,0
city_64,0.722,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,1,60,0
city_103,0.918,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,100-500,Pvt Ltd,2,27,0
city_103,0.907,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,50-99,Pvt Ltd,1,32,0
city_160,0.919,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,12,0
city_89,0.914,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,40,0
city_36,0.889,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,10,0
city_21,0.625,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,10/49,Funded Startup,1,10,1
city_103,0.923,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,61,0
city_103,0.921,Male,No relevent experience,no_enrollment,Phd,STEM,>20,,Public Sector,>4,34,0
city_45,0.896,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,13,0
city_103,0.917,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,,Public Sector,1,13,0
city_21,0.625,,Has relevent experience,Full time course,Graduate,STEM,5,100-500,Pvt Ltd,1,57,0
city_71,0.886,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,,,1,23,0
city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,1,27,0
city_21,0.634,Male,No relevent experience,Full time course,High School,,3,,,never,23,0
city_160,0.9,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,1,6,0
city_16,0.914,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1,16,0
city_16,0.911,Male,No relevent experience,no_enrollment,Graduate,STEM,4,,,1,58,0
city_114,0.922,Male,No relevent experience,Full time course,High School,,3,,,never,7,0
city_83,0.922,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,100-500,Pvt Ltd,2,59,0
city_11,0.539,Male,No relevent experience,no_enrollment,High School,,2,,,never,21,1
city_159,0.833,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Pvt Ltd,4,62,0
city_136,0.914,Male,No relevent experience,Full time course,Masters,STEM,8,50-99,Public Sector,1,2,0
city_102,0.806,Male,No relevent experience,no_enrollment,High School,,3,,,never,26,0
city_160,0.9,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,29,0
city_114,0.945,Male,No relevent experience,no_enrollment,High School,,3,,Pvt Ltd,never,17,0
city_21,0.618,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Pvt Ltd,1,50,0
city_114,0.923,Male,No relevent experience,no_enrollment,High School,,2,,,never,20,0
