city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_21,0.624,,Has relevent experience,Full time course,Masters,STEM,3,5000-9999,Pvt Ltd,2,265,1
city_11,0.558,,No relevent experience,Full time course,Graduate,STEM,4,10/49,Pvt Ltd,1,18,0
city_16,0.916,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,27,0
city_21,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,NGO,3,27,0
city_67,0.897,Male,Has relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,1,115,0
city_30,0.895,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,NGO,1,14,0
city_104,0.92,Male,Has relevent experience,no_enrollment,Masters,Business Degree,16,100-500,Pvt Ltd,2,51,0
city_36,0.827,,Has relevent experience,no_enrollment,,,3,,,>4,31,0
city_103,0.92,,No relevent experience,no_enrollment,,,1,,,never,6,0
city_21,0.91,,No relevent experience,Full time course,Graduate,STEM,20,,,1,24,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,<1,,,>4,26,1
city_21,0.674,Female,Has relevent experience,,Graduate,STEM,19,100-500,,4,77,0
city_2,0.92,Male,No relevent experience,Full time course,High School,,1,,Pvt Ltd,1,44,<NA>
city_103,0.91,Male,No relevent experience,no_enrollment,Primary School,,4,<10,Pvt Ltd,1,8,<NA>
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1,111,0
city_114,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,10/49,Funded Startup,1,280,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,3,96,0
city_37,0.64,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,38,<NA>
city_21,0.624,,No relevent experience,no_enrollment,Graduate,STEM,3,,,never,150,1
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,9,10/49,Pvt Ltd,3,90,0
city_26,0.91,,Has relevent experience,no_enrollment,Graduate,STEM,9,,,1,17,0
city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,14,100-500,Pvt Ltd,1,50,1
city_104,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1,56,0
city_2,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,2,70,1
city_91,0.947,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,1000-4999,Pvt Ltd,2,62,<NA>
city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,1,27,0
city_103,0.92,,No relevent experience,no_enrollment,Masters,STEM,<1,10000+,Pvt Ltd,>4,53,1
city_73,0.837,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,1,55,0
city_103,0.92,,No relevent experience,Full time course,Masters,STEM,6,,,1,34,1
city_103,0.92,,No relevent experience,no_enrollment,Masters,Humanities,>20,50-99,Pvt Ltd,1,44,0
city_101,0.855,,Has relevent experience,Part time course,Primary School,,<1,500-999,Pvt Ltd,>4,33,0
city_7,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Early Stage Startup,2,96,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,4,51,0
city_73,0.765,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,<10,Pvt Ltd,4,32,0
city_16,0.94,Male,Has relevent experience,no_enrollment,Graduate,STEM,<1,50-99,Pvt Ltd,3,56,0
city_42,0.778,Male,No relevent experience,no_enrollment,High School,,3,,Pvt Ltd,1,57,<NA>
city_103,0.92,,No relevent experience,no_enrollment,,,3,,,never,44,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,10,100-500,Pvt Ltd,1,24,0
city_103,0.92,,Has relevent experience,no_enrollment,Masters,STEM,4,100-500,Public Sector,4,17,0
city_103,0.92,Male,Has relevent experience,no_enrollment,High School,,7,100-500,Pvt Ltd,>4,54,0
city_99,0.949,Male,No relevent experience,no_enrollment,Graduate,STEM,1,100-500,Pvt Ltd,1,1,0
city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,6,10/49,Pvt Ltd,1,29,1
city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,17,100-500,Pvt Ltd,1,8,0
city_103,0.92,Male,No relevent experience,Full time course,,,5,,,1,92,0
city_160,0.698,,Has relevent experience,no_enrollment,Masters,STEM,9,,,>4,101,1
city_99,0.949,Female,Has relevent experience,no_enrollment,Graduate,Business Degree,,50-99,Pvt Ltd,1,1,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,2,160,1
city_64,0.923,,Has relevent experience,no_enrollment,High School,,>20,50-99,Pvt Ltd,>4,79,<NA>
city_128,0.91,Male,Has relevent experience,Part time course,Graduate,STEM,11,10000+,Pvt Ltd,>4,18,0
city_109,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,100-500,Pvt Ltd,>4,34,0
city_103,0.92,,Has relevent experience,no_enrollment,Masters,STEM,<1,,,1,78,<NA>
city_50,0.926,Male,Has relevent experience,no_enrollment,Phd,STEM,5,,,1,106,0
city_75,0.899,Male,Has relevent experience,Full time course,Graduate,STEM,2,<10,Pvt Ltd,never,82,0
city_21,0.771,Male,No relevent experience,no_enrollment,Masters,STEM,9,,,2,42,1
city_59,0.624,,Has relevent experience,Full time course,Graduate,STEM,3,,Pvt Ltd,1,43,1
city_120,0.936,,Has relevent experience,,High School,,5,500-999,Pvt Ltd,1,24,0
city_115,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,26,<NA>
city_21,0.624,,No relevent experience,Full time course,High School,,5,,,,53,1
city_21,0.885,Male,Has relevent experience,no_enrollment,Masters,STEM,3,1000-4999,Pvt Ltd,never,23,0
city_26,0.855,Female,Has relevent experience,no_enrollment,Masters,STEM,2,50-99,Pvt Ltd,>4,35,0
city_59,0.893,Female,Has relevent experience,Full time course,Masters,STEM,16,50-99,Pvt Ltd,2,101,<NA>
city_67,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,18,,,never,96,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,<1,50-99,Pvt Ltd,4,28,0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,100-500,Pvt Ltd,1,67,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,2,40,1
city_21,0.926,Female,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Funded Startup,1,53,1
city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,Arts,8,10000+,Pvt Ltd,>4,54,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,11,100-500,Pvt Ltd,>4,126,0
city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,8,5000-9999,,1,107,<NA>
city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,>4,1,0
city_103,0.924,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,10000+,Pvt Ltd,3,137,0
city_103,0.92,Male,No relevent experience,no_enrollment,Primary School,,15,,Pvt Ltd,never,9,0
city_16,0.896,Male,Has relevent experience,,High School,,6,,,never,90,0
city_24,0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,1,<10,Pvt Ltd,1,128,0
city_21,0.698,Male,No relevent experience,no_enrollment,Graduate,STEM,6,100-500,,never,145,0
city_16,0.898,,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Public Sector,1,91,0
city_21,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,,,1,22,1
city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,4,50-99,Pvt Ltd,3,94,0
city_114,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,2,38,0
city_65,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,2,34,0
city_42,0.728,Male,Has relevent experience,no_enrollment,Masters,STEM,12,100-500,Pvt Ltd,3,71,1
city_160,0.947,,Has relevent experience,no_enrollment,High School,,>20,100-500,Pvt Ltd,>4,20,0
city_30,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,8,<10,Pvt Ltd,1,2,<NA>
city_16,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,2,10/49,Pvt Ltd,1,23,1
city_21,0.667,Male,No relevent experience,Full time course,Graduate,STEM,19,,,1,7,1
city_76,0.92,,Has relevent experience,no_enrollment,Masters,STEM,8,,,1,32,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,1,80,0
city_16,0.855,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,10,<10,Pvt Ltd,>4,45,1
city_67,0.803,,Has relevent experience,no_enrollment,High School,,>20,100-500,Pvt Ltd,2,20,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,1,6,0
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,>4,36,1
city_103,0.92,Male,No relevent experience,Full time course,Graduate,STEM,19,,,4,70,1
city_71,0.764,Female,Has relevent experience,no_enrollment,Graduate,STEM,1,10000+,,1,44,1
city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,10/49,Pvt Ltd,2,20,0
city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Other,12,,,1,21,1
city_94,0.949,,No relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,1,37,0
city_71,0.92,,Has relevent experience,no_enrollment,Masters,STEM,11,100-500,Pvt Ltd,1,167,0
city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,4,45,0
city_1,0.855,Male,Has relevent experience,no_enrollment,Masters,STEM,13,,,never,41,0
