city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_103,0.919,Male,Has relevent experience,no_enrollment,Graduate,Humanities,>20,<10,Pvt Ltd,>4,72.0,0
city_160,0.926,,Has relevent experience,no_enrollment,Graduate,STEM,7,,Pvt Ltd,1,9.0,0
city_21,0.802,,Has relevent experience,no_enrollment,Masters,STEM,3,10000+,Pvt Ltd,1,85.0,0
city_103,0.921,,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,2,81.0,0
city_90,0.839,,No relevent experience,no_enrollment,Masters,STEM,15,,,2,145.0,0
city_21,0.845,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,50-99,Early Stage Startup,1,221.0,0
city_67,0.925,Male,No relevent experience,no_enrollment,Masters,STEM,>20,,Funded Startup,>4,12.0,1
city_99,0.915,Male,No relevent experience,no_enrollment,Masters,STEM,9,50-99,,never,34.0,0
city_21,0.634,Male,Has relevent experience,no_enrollment,,STEM,8,<10,Pvt Ltd,4,37.0,0
city_160,0.921,,Has relevent experience,no_enrollment,Phd,STEM,9,,Pvt Ltd,1,52.0,<NA>
city_21,0.539,,Has relevent experience,Full time course,Masters,Other,9,50-99,Public Sector,2,184.0,1
city_116,0.576,Male,Has relevent experience,no_enrollment,Masters,STEM,20,500-999,Pvt Ltd,1,75.0,0
city_103,0.943,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,23.0,<NA>
city_16,0.917,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,500-999,Pvt Ltd,>4,60.0,0
city_36,0.862,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,1000-4999,Early Stage Startup,>4,16.0,1
city_100,0.925,,Has relevent experience,no_enrollment,Graduate,Other,9,10000+,Public Sector,1,121.0,1
city_53,0.653,,No relevent experience,Full time course,High School,STEM,7,,,1,40.0,<NA>
