,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,26,Yes,Travel_Frequently,1349,Research & Development,15,4,Technical Degree,1,13859660,2,Female,53,3,1,Research Scientist,3,Single,1009,24054,1,Y,No,15,3,3,80,0,0,4,3,0,5,10,2
1,46,No,Travel_Rarely,320,Sales,1,3,Life Sciences,1,10827474,4,Male,45,3,2,Healthcare Representative,4,Single,3872,4171,0,Y,Yes,15,4,4,80,0,6,1,3,18,2,0,3
2,39,No,Travel_Frequently,885,Research & Development,23,2,Life Sciences,1,1622532,3,Male,88,3,2,Research Scientist,2,Single,5044,24495,1,Y,No,14,3,4,80,0,2,0,1,7,2,1,0
3,60,Yes,Travel_Rarely,315,Sales,1,4,Medical,1,3071196,4,Male,100,3,1,Research Scientist,3,Married,2802,24235,1,Y,No,16,4,3,80,0,1,3,2,0,10,1,2
4,20,No,Travel_Rarely,1146,Research & Development,11,1,Marketing,1,13477013,1,Male,100,3,3,Sales Executive,4,Married,3909,26999,2,Y,No,11,3,4,80,1,7,2,3,1,0,0,0
5,44,No,Travel_Rarely,1110,Research & Development,1,4,Technical Degree,1,5500864,4,Female,41,3,1,Research Scientist,3,Single,2684,5787,4,Y,Yes,20,3,3,80,2,6,0,2,0,0,7,2
6,42,No,Travel_Rarely,979,Research & Development,3,4,Life Sciences,1,8739423,1,Male,91,3,1,Sales Representative,1,Married,1967,26999,2,Y,No,12,3,3,80,1,4,3,4,0,9,0,2
7,57,No,Non-Travel,509,Research & Development,1,3,Marketing,1,13474416,3,Female,84,3,3,Research Scientist,3,Single,1858,23934,7,Y,No,19,3,3,80,0,1,6,2,0,3,0,2
8,55,No,Travel_Rarely,1499,Research & Development,1,4,Life Sciences,1,5601941,2,Male,54,3,2,Research Scientist,2,Divorced,4523,4848,7,Y,Yes,12,3,3,80,1,0,2,3,0,0,11,2
9,22,No,Travel_Rarely,1499,Sales,10,3,Medical,1,11208626,2,Male,80,2,1,Research Scientist,4,Married,16191,8835,5,Y,Yes,22,3,3,80,0,19,4,3,7,1,0,2
10,54,No,Travel_Rarely,1499,Research & Development,3,4,Medical,1,14618130,3,Male,30,2,2,Manufacturing Director,3,Divorced,1260,7781,0,Y,Yes,12,4,3,80,2,0,6,3,2,5,0,2
11,28,No,Travel_Rarely,448,Research & Development,19,3,Technical Degree,1,9367605,3,Male,30,3,4,Human Resources,3,Divorced,12169,21274,6,Y,No,12,3,1,80,1,6,3,3,8,1,0,0
12,60,Yes,Travel_Frequently,896,Research & Development,1,3,Life Sciences,1,8484551,1,Male,42,3,1,Sales Executive,3,Married,1009,26999,3,Y,No,11,4,1,80,0,13,3,3,7,8,6,2
13,46,Yes,Travel_Rarely,1437,Sales,1,1,Marketing,1,430584,4,Female,74,2,3,Laboratory Technician,4,Divorced,1115,3499,1,Y,Yes,12,4,4,80,1,9,2,3,0,4,0,2
14,28,No,Travel_Rarely,1413,Research & Development,2,3,Life Sciences,1,7083096,3,Male,100,2,3,Sales Executive,2,Single,1748,20619,6,Y,Yes,13,3,4,80,0,10,2,3,0,3,5,2
15,47,No,Travel_Frequently,1297,Sales,7,4,Marketing,1,9750392,2,Female,70,3,1,Manufacturing Director,2,Single,2089,4772,2,Y,No,11,4,3,80,0,0,3,3,0,5,0,4
16,59,No,Travel_Rarely,528,Sales,12,3,Other,1,2482635,2,Male,68,2,1,Sales Executive,2,Married,6670,26999,1,Y,Yes,12,3,4,80,2,0,3,3,3,0,1,2
17,31,No,Travel_Rarely,617,Sales,7,4,Life Sciences,1,221424,3,Female,64,3,3,Laboratory Technician,2,Single,3146,26483,7,Y,No,13,4,3,80,0,10,2,3,13,4,2,7
18,35,No,Travel_Rarely,320,Research & Development,29,4,Medical,1,14833524,4,Male,41,3,1,Laboratory Technician,4,Divorced,8277,14016,0,Y,Yes,11,3,4,80,0,0,3,3,2,2,0,1
