,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,19,No,Travel_Rarely,918,Research & Development,2,1,Life Sciences,1,9495477,4,Male,73,2,2,Sales Executive,4,Divorced,8296,26999,4,Y,No,12,3,4,80,1,29,2,3,13,0,0,7
1,31,No,Travel_Rarely,1355,Research & Development,10,2,Medical,1,16402638,2,Female,65,2,2,Sales Executive,4,Divorced,4609,24457,5,Y,No,25,3,3,80,1,14,2,4,5,1,5,1
2,28,No,Travel_Frequently,233,Research & Development,7,3,Life Sciences,1,10704509,3,Male,56,3,1,Laboratory Technician,4,Single,7755,19261,3,Y,No,12,3,4,80,1,35,4,2,9,5,0,0
3,57,No,Travel_Rarely,669,Sales,17,1,Medical,1,16065069,3,Male,49,3,5,Research Scientist,3,Single,6351,21238,2,Y,No,13,3,4,80,0,1,6,2,1,5,0,1
4,25,No,Travel_Rarely,1397,Research & Development,14,3,Medical,1,7069501,2,Male,60,2,2,Sales Representative,1,Divorced,2726,23793,0,Y,Yes,25,3,1,80,0,14,0,4,0,6,1,0
5,42,No,Travel_Frequently,884,Human Resources,5,2,Medical,1,10107295,4,Female,60,3,1,Sales Representative,2,Single,6561,21208,1,Y,Yes,17,3,1,80,0,37,3,3,1,1,1,0
6,60,No,Travel_Rarely,758,Sales,16,4,Medical,1,7973523,4,Male,100,3,2,Manufacturing Director,3,Single,3594,26999,1,Y,No,12,3,2,80,0,11,6,2,4,5,1,0
7,37,Yes,Travel_Rarely,821,Sales,29,4,Other,1,6751000,4,Male,55,3,1,Research Scientist,3,Married,11092,14888,3,Y,No,16,3,4,80,0,7,3,1,9,6,1,1
8,18,No,Travel_Rarely,596,Research & Development,10,3,Life Sciences,1,12227347,4,Male,93,3,2,Research Scientist,2,Single,4293,14383,3,Y,No,25,3,2,80,0,7,5,2,1,5,1,9
9,37,No,Travel_Frequently,656,Research & Development,5,3,Medical,1,2572772,2,Male,37,3,2,Sales Executive,4,Married,3858,21606,0,Y,No,22,3,1,80,0,6,3,3,2,1,1,0
