Unnamed: 0,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,41,No,Travel_Rarely,616,Sales,21,2,Marketing,1,4,Male,100,2,2,Laboratory Technician,2,Married,2482,25861,8,Y,No,12,4,4,80,0,0,4,3,12,8,0,4
1,18,No,Travel_Rarely,102,Research & Development,7,4,Life Sciences,1,3,Female,60,3,1,Sales Executive,4,Married,2356,2094,1,Y,Yes,13,4,1,80,0,2,4,2,11,3,1,10
2,56,Yes,Travel_Rarely,1132,Research & Development,8,5,Medical,1,3,Male,89,4,4,Sales Executive,2,Single,17001,16794,2,Y,Yes,11,3,2,80,0,5,3,3,17,2,1,2
3,18,No,Travel_Rarely,647,Sales,5,2,Life Sciences,1,2,Male,34,3,1,Laboratory Technician,3,Single,3426,15963,2,Y,No,18,3,4,80,3,0,4,3,9,0,0,2
4,26,No,Travel_Rarely,744,Human Resources,8,2,Medical,1,2,Female,43,2,1,Laboratory Technician,3,Divorced,2518,21980,1,Y,No,19,3,1,80,2,5,2,3,21,2,0,5
5,54,No,Travel_Rarely,1114,Research & Development,24,3,Technical Degree,1,3,Female,93,3,1,Laboratory Technician,3,Single,3636,4323,5,Y,Yes,13,3,4,80,0,0,2,3,9,4,1,5
6,25,No,Non-Travel,493,Sales,14,4,Life Sciences,1,2,Male,43,4,1,Healthcare Representative,4,Married,1180,2094,1,Y,No,13,3,3,80,1,6,1,3,2,2,1,16
7,18,No,Non-Travel,161,Sales,18,4,Life Sciences,1,1,Male,64,3,3,Laboratory Technician,1,Divorced,4627,16738,3,Y,No,14,3,3,80,1,9,1,2,2,4,0,2
8,23,Yes,Travel_Frequently,400,Research & Development,8,3,Other,1,1,Male,38,3,1,Sales Executive,4,Single,5075,6627,0,Y,No,15,3,2,80,1,3,3,3,6,1,0,2
9,40,No,Travel_Frequently,1085,Research & Development,8,3,Medical,1,4,Male,90,4,1,Laboratory Technician,3,Married,2649,22951,5,Y,No,15,3,3,80,2,10,3,2,8,3,9,4
10,21,No,Travel_Rarely,716,Sales,5,4,Life Sciences,1,3,Male,64,2,2,Sales Executive,3,Divorced,3385,4835,0,Y,Yes,21,3,4,80,0,0,2,3,8,0,0,2
11,48,No,Travel_Rarely,342,Sales,11,4,Medical,1,1,Male,61,3,1,Human Resources,3,Divorced,4247,18790,3,Y,Yes,14,3,3,80,1,5,5,3,5,1,1,2
12,44,Yes,Travel_Rarely,914,Research & Development,1,3,Marketing,1,3,Male,82,2,2,Sales Executive,2,Married,3841,2094,5,Y,No,12,3,3,80,2,1,5,3,11,7,10,0
13,38,No,Travel_Frequently,460,Research & Development,19,4,Marketing,1,4,Male,67,3,3,Healthcare Representative,3,Single,5053,3451,1,Y,No,13,4,3,80,1,3,3,2,10,2,9,7
14,37,Yes,Non-Travel,103,Research & Development,14,1,Medical,1,2,Female,100,3,1,Manufacturing Director,1,Married,8805,15164,8,Y,No,13,4,4,80,0,0,2,3,4,18,0,4
15,30,No,Travel_Rarely,292,Human Resources,15,3,Technical Degree,1,4,Male,91,2,5,Manufacturing Director,2,Married,9092,2094,1,Y,No,23,4,3,80,0,7,5,3,1,5,6,5
16,35,Yes,Travel_Rarely,102,Sales,24,3,Life Sciences,1,1,Male,48,2,1,Sales Representative,1,Married,7571,6729,1,Y,No,11,4,3,80,1,8,3,3,10,2,7,0
17,18,No,Non-Travel,102,Sales,4,3,Medical,1,1,Male,77,3,1,Healthcare Representative,3,Divorced,5865,16162,8,Y,No,11,4,3,80,0,0,4,2,9,6,2,6
18,24,Yes,Travel_Rarely,700,Research & Development,19,2,Medical,1,3,Male,30,2,3,Healthcare Representative,2,Single,3111,2094,9,Y,No,11,3,3,80,0,0,5,3,1,0,0,5
