Unnamed: 0,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,36,No,Travel_Frequently,1147,Human Resources,25,5,Human Resources,1,3,Male,85,2,3,Sales Executive,4,Married,8533,16815,0,Y,No,15,3,2,80,1,9,3,3,3,2,0,2
1,34,No,Travel_Rarely,1216,Human Resources,7,5,Human Resources,1,2,Male,70,4,2,Manufacturing Director,4,Divorced,6591,18524,6,Y,No,13,3,2,80,1,7,6,2,6,4,1,2
2,42,No,Travel_Rarely,1097,Human Resources,3,5,Technical Degree,1,4,Male,86,3,5,Research Director,2,Single,18651,11683,5,Y,No,14,3,2,80,0,23,4,1,18,10,3,11
3,40,No,Travel_Rarely,1006,Human Resources,16,5,Marketing,1,4,Female,60,3,5,Manager,4,Married,18941,15853,1,Y,No,23,4,3,80,1,22,2,3,20,6,3,8
4,39,No,Travel_Rarely,527,Research & Development,24,5,Technical Degree,1,3,Male,73,3,1,Research Scientist,3,Married,3615,19227,3,Y,Yes,15,3,4,80,1,8,3,2,3,2,1,2
5,27,Yes,Travel_Frequently,589,Sales,8,5,Life Sciences,1,3,Female,60,2,1,Sales Executive,2,Single,3609,17758,5,Y,Yes,12,3,3,80,0,6,3,3,4,2,2,2
6,34,No,Non-Travel,368,Human Resources,11,1,Life Sciences,1,4,Female,43,2,2,Sales Executive,1,Single,7092,22974,3,Y,No,15,3,3,80,0,9,2,3,1,0,0,0
7,35,No,Travel_Rarely,1110,Human Resources,3,5,Human Resources,1,3,Female,56,1,2,Manufacturing Director,3,Married,4573,13409,0,Y,No,17,3,1,80,1,7,1,2,7,5,0,7
8,29,No,Travel_Rarely,680,Human Resources,2,5,Human Resources,1,1,Female,67,3,2,Sales Executive,2,Married,5157,16977,1,Y,No,14,3,4,80,2,6,3,3,6,4,1,3
9,46,Yes,Travel_Rarely,461,Human Resources,7,5,Human Resources,1,4,Male,61,3,5,Research Director,4,Married,19087,11121,0,Y,Yes,14,3,3,80,1,27,2,3,23,13,12,10
10,45,No,Travel_Rarely,731,Human Resources,2,5,Human Resources,1,1,Male,64,2,4,Manager,4,Married,17399,8188,0,Y,No,17,3,1,80,2,22,5,3,19,10,4,9
11,46,No,Travel_Rarely,633,Research & Development,9,5,Human Resources,1,2,Male,65,3,1,Laboratory Technician,2,Married,3423,20249,9,Y,No,21,4,1,80,1,10,3,3,4,3,2,2
12,45,No,Travel_Rarely,1122,Human Resources,10,5,Human Resources,1,1,Female,93,2,2,Sales Executive,3,Married,5581,7394,8,Y,No,14,3,1,80,1,7,5,3,3,0,0,2
13,43,No,Travel_Rarely,936,Research & Development,10,5,Human Resources,1,3,Male,59,4,2,Research Scientist,3,Married,5248,21787,7,Y,No,17,3,3,80,2,10,6,3,6,4,1,4
14,52,No,Travel_Rarely,898,Human Resources,2,3,Other,1,3,Male,59,3,4,Manufacturing Director,1,Single,13575,18393,6,Y,No,18,3,2,80,0,26,3,3,18,7,5,8
15,30,No,Travel_Rarely,813,Research & Development,16,5,Human Resources,1,2,Female,53,2,2,Sales Executive,2,Married,4588,24186,1,Y,Yes,12,3,1,80,2,10,6,3,10,8,1,8
16,35,No,Travel_Rarely,1141,Research & Development,18,5,Life Sciences,1,2,Female,76,3,1,Research Scientist,4,Single,2733,3893,0,Y,No,15,3,4,80,0,6,3,2,5,3,1,3
17,34,No,Travel_Rarely,804,Research & Development,2,5,Human Resources,1,4,Male,47,4,1,Laboratory Technician,4,Divorced,2819,8087,3,Y,No,12,3,3,80,0,10,2,2,7,7,0,7
18,38,No,Travel_Rarely,925,Human Resources,3,5,Human Resources,1,4,Female,68,3,5,Research Director,2,Divorced,19186,15798,1,Y,No,22,4,4,80,2,21,6,4,19,8,6,9
19,41,No,Non-Travel,637,Research & Development,3,5,Medical,1,4,Male,87,4,1,Research Scientist,3,Married,2769,4411,2,Y,Yes,15,3,2,80,0,6,3,2,1,0,0,0
20,53,No,Travel_Rarely,712,Human Resources,5,2,Medical,1,2,Male,89,4,4,Research Director,1,Married,15947,12262,2,Y,Yes,15,3,1,80,1,34,4,3,10,5,1,8
21,50,No,Travel_Rarely,572,Human Resources,9,5,Human Resources,1,2,Female,73,3,5,Research Director,1,Married,19363,15695,4,Y,No,16,3,3,80,1,25,5,3,3,2,2,2
22,45,No,Travel_Rarely,971,Human Resources,1,5,Medical,1,2,Male,60,4,3,Sales Executive,3,Single,8536,19757,0,Y,No,12,3,4,80,0,10,2,3,5,3,1,3
23,42,Yes,Travel_Rarely,600,Human Resources,10,4,Life Sciences,1,4,Male,53,3,4,Sales Executive,1,Single,13505,17505,2,Y,No,12,3,2,80,0,20,1,3,11,5,2,7
24,22,No,Travel_Rarely,473,Research & Development,5,5,Technical Degree,1,4,Female,48,3,1,Research Scientist,3,Single,3124,25723,1,Y,No,11,3,3,80,0,3,2,3,3,2,2,2
25,33,No,Travel_Rarely,490,Research & Development,3,4,Life Sciences,1,4,Male,56,2,1,Research Scientist,1,Single,3523,20417,2,Y,Yes,13,3,1,80,0,6,2,2,1,0,0,0
26,38,No,Travel_Rarely,525,Human Resources,2,5,Medical,1,3,Female,65,1,3,Sales Executive,4,Single,8519,22159,2,Y,No,16,3,2,80,0,12,1,3,5,3,0,3
27,38,No,Travel_Rarely,1178,Human Resources,19,5,Medical,1,3,Female,46,3,3,Healthcare Representative,3,Single,9986,19133,3,Y,No,14,3,3,80,0,22,3,3,8,7,8,7
28,39,No,Travel_Rarely,1335,Research & Development,2,5,Human Resources,1,1,Female,46,2,2,Healthcare Representative,2,Divorced,6167,19723,2,Y,No,12,3,2,80,1,16,1,3,5,2,0,3
29,38,No,Travel_Rarely,975,Human Resources,23,5,Human Resources,1,3,Female,61,3,2,Manufacturing Director,4,Married,5876,20401,0,Y,No,12,3,1,80,1,9,0,3,5,4,1,2
30,35,No,Travel_Frequently,630,Human Resources,9,3,Human Resources,1,3,Female,84,3,3,Sales Executive,1,Divorced,9599,7837,0,Y,No,12,3,2,80,1,11,1,2,9,7,3,2
31,40,No,Travel_Rarely,1291,Human Resources,3,5,Human Resources,1,4,Female,74,2,4,Manager,3,Married,16130,6527,1,Y,Yes,16,3,2,80,2,20,2,3,17,7,5,7
32,35,No,Travel_Rarely,624,Sales,7,5,Human Resources,1,3,Female,79,3,1,Sales Executive,4,Married,4623,13655,4,Y,Yes,12,3,3,80,0,14,4,2,10,7,2,9
33,41,No,Travel_Rarely,671,Research & Development,3,4,Human Resources,1,1,Male,50,2,1,Research Scientist,1,Divorced,2678,20209,1,Y,No,21,4,2,80,2,6,2,2,5,4,1,3
34,47,No,Travel_Rarely,217,Human Resources,25,4,Marketing,1,1,Male,91,2,2,Sales Executive,1,Single,5294,10916,0,Y,No,15,3,1,80,0,10,0,3,8,7,7,7
35,41,No,Travel_Rarely,1037,Research & Development,2,5,Human Resources,1,1,Male,54,3,1,Sales Executive,2,Married,10832,9464,3,Y,No,19,3,1,80,1,17,0,3,5,3,1,1
36,37,Yes,Travel_Rarely,650,Human Resources,9,5,Human Resources,1,4,Female,81,3,2,Sales Executive,4,Divorced,5124,17780,0,Y,Yes,17,3,3,80,3,22,3,3,7,6,0,4
37,27,No,Travel_Rarely,811,Research & Development,2,5,Human Resources,1,4,Male,61,2,1,Research Scientist,2,Divorced,2312,16982,0,Y,No,12,3,4,80,0,5,2,2,4,2,1,2
38,36,No,Travel_Rarely,615,Human Resources,5,4,Human Resources,1,4,Male,61,3,3,Sales Executive,2,Divorced,8939,22368,1,Y,Yes,13,3,4,80,1,9,0,3,9,7,0,7
39,33,No,Travel_Frequently,953,Human Resources,6,5,Marketing,1,1,Female,88,3,2,Sales Executive,4,Single,5696,7830,3,Y,No,12,3,4,80,0,8,2,3,5,2,1,3
40,47,No,Travel_Rarely,895,Human Resources,25,5,Human Resources,1,2,Female,80,2,4,Sales Executive,4,Married,13231,16050,4,Y,Yes,22,4,2,80,1,26,2,3,4,2,1,2
41,30,No,Travel_Rarely,239,Human Resources,15,5,Other,1,4,Female,73,4,2,Laboratory Technician,3,Married,4763,14591,4,Y,Yes,17,3,4,80,1,8,2,3,4,2,0,3
42,21,Yes,Travel_Frequently,410,Research & Development,7,5,Life Sciences,1,3,Female,58,3,1,Laboratory Technician,3,Single,2461,18055,1,Y,Yes,23,4,4,80,0,1,4,1,2,1,1,0
43,35,No,Non-Travel,1086,Human Resources,20,5,Human Resources,1,1,Male,46,2,2,Healthcare Representative,3,Divorced,5158,15920,1,Y,Yes,14,3,3,80,1,10,2,3,9,4,1,2
44,41,Yes,Travel_Rarely,579,Research & Development,22,2,Human Resources,1,2,Male,91,3,1,Research Scientist,2,Divorced,2544,10155,5,Y,No,13,3,1,80,1,10,2,2,3,2,1,2
45,38,No,Travel_Rarely,1369,Human Resources,7,5,Marketing,1,2,Female,93,3,2,Sales Executive,3,Single,5609,11208,4,Y,No,13,3,3,80,0,10,3,3,4,3,2,3
46,40,No,Non-Travel,1098,Human Resources,14,5,Human Resources,1,3,Male,65,2,4,Manager,4,Married,16991,15119,0,Y,No,22,4,4,80,1,21,2,2,16,9,9,8
47,34,No,Travel_Rarely,499,Sales,16,4,Medical,1,1,Female,92,3,1,Sales Executive,1,Single,3696,10212,0,Y,No,13,3,2,80,0,6,2,2,3,2,0,2
48,27,No,Travel_Rarely,1231,Research & Development,1,5,Human Resources,1,4,Male,60,3,1,Laboratory Technician,2,Divorced,3085,7741,1,Y,No,16,3,3,80,1,3,2,3,3,2,0,2
49,50,No,Travel_Rarely,625,Sales,2,3,Human Resources,1,2,Male,78,4,1,Sales Representative,1,Married,3508,13931,7,Y,No,18,3,3,80,1,17,3,3,3,1,0,1
50,28,No,Travel_Frequently,784,Sales,9,5,Marketing,1,4,Female,47,2,1,Manager,3,Single,11525,20804,1,Y,Yes,11,3,3,80,0,7,3,3,6,4,0,2
51,46,No,Travel_Rarely,1205,Human Resources,1,5,Life Sciences,1,3,Male,60,2,5,Research Director,4,Single,19339,13657,0,Y,No,13,3,3,80,0,22,2,3,5,2,1,3
52,34,No,Travel_Rarely,758,Human Resources,1,5,Human Resources,1,1,Male,61,2,2,Sales Executive,3,Married,6442,9875,1,Y,No,13,3,3,80,1,10,3,3,11,8,7,7
53,32,No,Travel_Frequently,658,Human Resources,10,3,Medical,1,1,Male,92,1,3,Research Scientist,1,Married,8554,15292,0,Y,No,14,3,4,80,0,11,2,2,7,6,1,4
54,39,No,Travel_Rarely,1116,Human Resources,2,3,Human Resources,1,4,Female,82,3,2,Manufacturing Director,1,Married,7634,10821,2,Y,Yes,17,3,1,80,1,14,2,3,3,2,0,2
55,36,No,Travel_Frequently,535,Human Resources,6,5,Human Resources,1,4,Male,57,2,2,Research Scientist,3,Married,4976,19994,6,Y,No,13,3,3,80,1,11,2,2,2,0,0,0
56,30,No,Travel_Rarely,456,Research & Development,7,5,Human Resources,1,1,Male,57,3,1,Research Scientist,3,Married,3220,11681,6,Y,Yes,13,3,2,80,1,10,2,2,3,3,0,2
57,31,No,Travel_Rarely,486,Research & Development,7,5,Human Resources,1,4,Male,47,3,2,Research Scientist,3,Married,4700,12626,1,Y,No,16,3,2,80,1,10,3,1,9,8,1,8
58,41,No,Travel_Frequently,590,Human Resources,20,5,Human Resources,1,3,Female,70,3,2,Sales Executive,3,Married,4476,14072,2,Y,No,15,3,3,80,1,15,6,3,3,2,2,2
59,45,No,Travel_Rarely,916,Human Resources,3,5,Marketing,1,4,Male,62,3,2,Sales Executive,3,Single,6361,14211,9,Y,No,12,3,3,80,0,15,3,4,5,3,0,4
60,33,No,Travel_Rarely,230,Sales,5,3,Human Resources,1,2,Female,77,4,1,Sales Executive,2,Divorced,4301,11341,1,Y,Yes,15,3,3,80,3,7,3,2,6,3,1,4
61,40,No,Travel_Rarely,552,Research & Development,7,5,Technical Degree,1,4,Female,88,2,2,Research Scientist,3,Single,4746,17777,0,Y,Yes,12,3,2,80,0,9,3,2,3,2,2,2
62,32,No,Travel_Rarely,1024,Research & Development,8,3,Medical,1,2,Female,86,3,1,Laboratory Technician,2,Married,2990,21521,2,Y,No,13,3,1,80,1,7,5,3,4,3,1,2
