,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,36,No,Travel_Rarely,1295,Sales,5,4,Life Sciences,1,9495477,2,Male,31,2,4,Research Scientist,3,Married,11498,10918,1,Y,No,13,3,1,80,0,15,1,3,20,3,4,4
1,31,No,Travel_Rarely,512,Research & Development,2,3,Medical,1,16402638,3,Female,88,2,3,Sales Executive,2,Single,12294,12894,1,Y,No,22,3,3,80,2,13,5,3,27,6,3,5
2,41,No,Travel_Rarely,955,Research & Development,6,3,Life Sciences,1,10704509,3,Male,42,3,2,Laboratory Technician,4,Single,2516,12634,1,Y,No,23,3,2,80,1,10,4,3,10,0,0,1
3,32,Yes,Travel_Rarely,292,Sales,2,4,Medical,1,16065069,4,Female,30,3,1,Laboratory Technician,4,Married,1225,23139,0,Y,Yes,24,3,3,80,1,4,2,2,2,0,0,0
4,35,Yes,Travel_Frequently,295,Sales,7,3,Life Sciences,1,7069501,3,Male,55,2,1,Sales Executive,1,Single,2176,5985,0,Y,No,12,3,3,80,0,6,2,2,3,0,3,2
5,48,No,Travel_Rarely,191,Research & Development,3,4,Medical,1,10107295,4,Female,47,2,5,Sales Executive,1,Single,8683,2632,9,Y,No,13,3,3,80,0,11,1,3,0,0,1,1
6,50,No,Travel_Rarely,1371,Research & Development,3,4,Life Sciences,1,7973523,4,Female,39,3,1,Manufacturing Director,3,Married,8086,8932,3,Y,No,13,3,3,80,0,21,6,3,19,9,12,1
7,50,No,Travel_Frequently,1358,Research & Development,10,4,Life Sciences,1,6751000,2,Male,93,3,1,Healthcare Representative,3,Married,3602,6122,3,Y,Yes,20,3,4,80,0,3,3,3,0,0,1,0
8,36,No,Travel_Rarely,1392,Sales,14,4,Medical,1,12227347,1,Female,49,3,4,Human Resources,4,Single,7461,11631,1,Y,No,12,3,3,80,3,21,2,3,8,0,5,0
9,30,No,Travel_Frequently,403,Research & Development,23,4,Life Sciences,1,2572772,2,Female,77,3,5,Sales Executive,4,Divorced,6758,7230,0,Y,Yes,15,3,4,80,1,13,5,2,8,0,0,1
10,43,No,Travel_Rarely,291,Human Resources,5,2,Life Sciences,1,1899692,2,Male,71,1,2,Sales Representative,4,Divorced,7241,22216,6,Y,Yes,15,3,4,80,2,10,2,4,6,1,0,3
11,44,No,Travel_Rarely,748,Research & Development,7,3,Technical Degree,1,3809100,3,Male,79,3,5,Manufacturing Director,2,Married,9918,26298,1,Y,No,22,3,3,80,1,17,2,3,6,1,0,4
12,46,No,Travel_Rarely,1062,Sales,25,4,Technical Degree,1,3573101,1,Male,80,3,1,Research Scientist,2,Divorced,2622,9409,1,Y,No,20,3,1,80,1,6,6,2,9,2,9,6
13,32,No,Non-Travel,776,Research & Development,16,3,Technical Degree,1,14346009,3,Male,100,2,1,Sales Executive,3,Married,2490,26868,1,Y,No,12,3,4,80,1,5,3,3,0,0,0,1
