Unnamed: 0,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,40,No,Travel_Rarely,540,Research & Development,5,2,Medical,1,4,Male,61,2,1,Research Scientist,3,Divorced,15379,10347,1,Y,Yes,12,3,4,80,1,15,3,3,24,2,1,4
1,36,No,Travel_Rarely,566,Research & Development,14,3,Medical,1,2,Male,90,3,1,Sales Executive,2,Married,15834,13440,2,Y,No,12,3,3,80,0,18,3,2,19,8,6,3
2,25,No,Travel_Rarely,452,Sales,18,2,Life Sciences,1,2,Male,49,2,1,Sales Executive,4,Single,12140,15102,7,Y,No,19,3,4,80,0,11,3,3,2,2,0,0
3,18,No,Travel_Frequently,745,Research & Development,1,4,Life Sciences,1,2,Female,50,3,1,Sales Representative,1,Married,3269,6987,1,Y,Yes,15,4,3,80,0,1,3,1,0,0,0,0
4,32,No,Travel_Rarely,548,Sales,11,2,Medical,1,1,Female,47,3,2,Manufacturing Director,3,Married,2012,2934,8,Y,No,12,3,3,80,1,5,0,2,3,0,0,1
5,60,No,Travel_Rarely,866,Research & Development,4,4,Life Sciences,1,3,Male,30,3,5,Laboratory Technician,3,Married,7668,4068,0,Y,No,22,3,3,80,0,10,3,3,1,0,1,0
6,44,No,Travel_Rarely,962,Sales,1,2,Life Sciences,1,4,Male,45,2,1,Research Scientist,2,Married,16101,12348,2,Y,No,14,3,2,80,1,25,2,1,24,3,12,0
7,40,No,Travel_Frequently,1405,Research & Development,1,2,Medical,1,1,Male,71,1,3,Research Director,3,Married,3589,17148,2,Y,Yes,17,3,4,80,1,2,2,3,1,0,0,0
8,35,No,Travel_Rarely,1090,Research & Development,2,4,Other,1,1,Male,36,3,1,Sales Representative,2,Divorced,9172,7390,6,Y,No,15,3,4,80,3,21,5,3,10,1,4,0
9,29,No,Travel_Rarely,563,Research & Development,8,3,Medical,1,4,Female,49,2,1,Research Scientist,3,Married,7602,26052,1,Y,No,13,4,3,80,0,13,2,3,4,1,0,2
10,40,No,Travel_Rarely,466,Research & Development,25,3,Marketing,1,3,Female,98,3,3,Manufacturing Director,3,Single,10177,4904,4,Y,No,25,3,3,80,1,12,4,2,6,5,3,1
11,41,No,Travel_Rarely,1271,Sales,23,3,Life Sciences,1,3,Male,54,3,3,Sales Executive,2,Single,13398,20647,3,Y,Yes,12,3,2,80,0,19,2,4,4,3,0,5
12,44,No,Travel_Frequently,600,Sales,29,3,Marketing,1,1,Female,31,2,2,Sales Executive,1,Single,3588,13181,6,Y,No,17,3,1,80,0,8,2,2,5,6,13,1
13,48,No,Travel_Rarely,1111,Sales,11,5,Medical,1,1,Female,100,3,2,Sales Executive,4,Single,1085,11455,7,Y,Yes,20,3,4,80,0,10,5,4,1,0,0,0
14,34,No,Travel_Rarely,1285,Research & Development,27,4,Life Sciences,1,1,Male,53,3,1,Research Scientist,4,Single,1078,23012,1,Y,No,24,3,3,80,1,4,2,3,2,3,1,1
15,36,No,Travel_Rarely,778,Research & Development,20,3,Life Sciences,1,3,Male,94,3,2,Sales Executive,4,Married,1009,12032,0,Y,Yes,21,3,2,80,2,2,3,3,2,1,0,0
16,37,No,Travel_Rarely,482,Research & Development,14,3,Medical,1,1,Male,43,3,3,Human Resources,2,Married,18937,10113,5,Y,No,14,3,1,80,1,26,3,3,28,14,9,6
17,33,No,Travel_Frequently,1329,Sales,1,2,Medical,1,4,Female,84,3,3,Sales Executive,3,Married,2269,26422,1,Y,No,12,3,3,80,1,4,4,1,1,0,1,0
18,24,No,Non-Travel,1176,Sales,1,4,Medical,1,1,Female,38,4,2,Sales Executive,2,Single,3742,22467,0,Y,No,17,3,4,80,1,5,3,3,11,8,2,7
19,30,No,Travel_Rarely,125,Research & Development,7,3,Other,1,3,Female,69,2,1,Laboratory Technician,4,Married,2779,22839,1,Y,No,20,3,1,80,1,6,4,3,10,9,7,1
20,27,No,Travel_Frequently,121,Sales,5,3,Medical,1,3,Female,31,3,2,Laboratory Technician,3,Married,4118,11442,8,Y,No,17,3,1,80,3,3,3,2,6,1,8,0
21,56,No,Travel_Rarely,339,Human Resources,4,4,Life Sciences,1,4,Female,89,3,3,Sales Representative,3,Single,17684,22159,0,Y,No,12,3,1,80,0,37,5,2,15,0,1,2
