,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,26,No,Travel_Frequently,1399,Research & Development,6,3,Medical,1,47,3,Male,75,2,1,Research Scientist,3,Divorced,2933,21974,1,Y,Yes,18,3,4,80,1,0,2,2,2,2,0,0
1,45,No,Travel_Rarely,794,Research & Development,7,3,Life Sciences,1,1000,3,Male,84,1,5,Research Director,4,Married,18492,14645,3,Y,No,13,3,2,80,1,39,2,3,8,8,0,8
2,41,Yes,Travel_Rarely,1284,Sales,2,3,Human Resources,1,1021,1,Female,95,4,5,Manager,2,Single,15378,5804,9,Y,Yes,19,3,1,80,0,19,2,3,20,7,1,11
3,58,No,Travel_Rarely,1043,Sales,1,4,Medical,1,471,4,Female,67,3,5,Manager,4,Divorced,17068,20974,3,Y,No,11,3,3,80,1,25,3,1,5,0,0,8
4,39,No,Travel_Rarely,338,Research & Development,2,5,Human Resources,1,891,3,Female,41,3,4,Manager,4,Married,18322,10026,1,Y,Yes,11,3,3,80,1,30,3,1,37,14,11,0
5,36,No,Travel_Rarely,354,Sales,9,4,Medical,1,218,3,Male,83,3,2,Sales Executive,4,Married,5781,25921,4,Y,No,14,3,2,80,1,5,4,4,5,4,0,1
6,49,No,Travel_Rarely,414,Sales,10,4,Medical,1,455,4,Male,41,3,4,Sales Executive,3,Single,17879,22751,0,Y,No,13,3,3,80,0,27,4,1,20,7,2,9
7,34,No,Travel_Rarely,1381,Research & Development,16,3,Life Sciences,1,837,4,Male,72,3,3,Healthcare Representative,3,Married,7660,18186,4,Y,Yes,12,3,3,80,0,9,2,3,6,10,0,1
8,29,No,Travel_Rarely,1146,Research & Development,4,3,Medical,1,5,4,Male,87,3,1,Research Scientist,4,Married,1775,3280,1,Y,No,21,4,4,80,1,0,3,1,8,2,0,3
9,56,No,Travel_Rarely,962,Research & Development,18,2,Life Sciences,1,1668,4,Female,50,2,3,Research Director,1,Divorced,16525,22292,9,Y,No,19,3,3,80,3,25,3,3,13,15,1,7
