,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,21,Yes,Travel_Rarely,911,Research & Development,3,4,Medical,1,1956,1,Male,30,3,1,Sales Representative,4,Married,5885,20200,6,Y,Yes,13,3,2,80,3,2,3,1,1,0,2,3
1,58,No,Travel_Rarely,1073,Research & Development,6,2,Medical,1,563,1,Male,94,3,5,Research Director,1,Married,16499,12660,4,Y,No,11,3,3,80,1,28,1,2,4,2,1,4
2,50,No,Travel_Rarely,105,Sales,1,3,Life Sciences,1,1514,3,Female,33,3,4,Manager,2,Married,12827,11594,6,Y,No,11,3,4,80,1,28,2,4,22,16,8,1
3,36,No,Travel_Rarely,1287,Research & Development,27,3,Life Sciences,1,555,2,Female,85,4,3,Manager,2,Divorced,9577,18145,6,Y,No,18,3,2,80,1,10,0,2,6,8,4,4
4,21,No,Travel_Rarely,1473,Research & Development,3,3,Life Sciences,1,1368,3,Male,73,3,1,Research Scientist,4,Married,2478,2360,1,Y,No,11,3,3,80,1,4,4,1,3,3,0,3
5,41,No,Travel_Rarely,1234,Sales,1,2,Human Resources,1,298,2,Female,72,3,2,Sales Executive,1,Divorced,3541,6925,9,Y,Yes,23,4,3,80,1,10,2,2,3,3,1,2
6,32,No,Travel_Rarely,995,Research & Development,1,1,Life Sciences,1,290,1,Female,38,3,1,Laboratory Technician,4,Divorced,1499,4383,7,Y,No,23,4,1,80,1,4,2,3,1,2,0,1
7,29,No,Travel_Rarely,291,Research & Development,2,3,Medical,1,1343,4,Female,47,3,1,Laboratory Technician,2,Single,2860,16929,1,Y,No,18,3,4,80,0,2,3,2,2,2,1,0
8,28,Yes,Travel_Rarely,1406,Research & Development,20,3,Medical,1,1230,1,Male,39,3,1,Sales Representative,3,Divorced,3269,15041,1,Y,No,19,4,3,80,1,4,5,2,2,1,0,0
9,26,No,Travel_Rarely,1384,Sales,3,3,Medical,1,1816,2,Female,84,3,1,Sales Representative,2,Married,2970,4589,1,Y,No,20,3,4,80,1,1,3,3,1,0,0,0
10,55,Yes,Travel_Rarely,414,Research & Development,3,3,Medical,1,822,4,Male,85,3,5,Manager,1,Married,18945,21881,9,Y,Yes,13,3,4,80,1,39,2,3,4,1,2,3
