Unnamed: 0,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,35,Yes,Travel_Rarely,376,Sales,14,3,Marketing,1,1,Female,75,3,2,Sales Executive,1,Single,6025,21979,6,Y,No,18,3,3,80,0,8,3,3,2,2,0,4
1,24,No,Travel_Rarely,641,Research & Development,27,4,Medical,1,4,Female,69,2,1,Research Scientist,1,Single,4675,12268,1,Y,No,14,3,2,80,0,1,3,4,8,4,0,2
2,38,No,Travel_Rarely,1483,Research & Development,2,4,Marketing,1,1,Male,84,2,2,Healthcare Representative,4,Single,5976,14186,3,Y,No,21,4,2,80,0,10,1,3,3,1,0,1
3,18,No,Travel_Rarely,475,Research & Development,2,1,Medical,1,1,Male,43,2,1,Research Scientist,4,Single,4839,4776,0,Y,No,12,3,4,80,0,2,2,3,1,5,2,1
4,26,No,Non-Travel,809,Research & Development,2,5,Life Sciences,1,3,Male,97,2,3,Manufacturing Director,3,Single,12434,23019,1,Y,No,20,4,3,80,0,16,2,3,10,10,6,10
5,24,Yes,Travel_Frequently,890,Sales,4,3,Human Resources,1,4,Female,55,3,1,Laboratory Technician,4,Single,2779,13801,1,Y,Yes,13,3,2,80,0,0,3,3,3,2,0,2
6,39,No,Travel_Rarely,917,Sales,2,1,Life Sciences,1,1,Male,41,1,3,Sales Executive,3,Single,7942,7301,0,Y,No,15,3,4,80,0,18,3,3,8,7,0,5
7,49,No,Travel_Rarely,337,Sales,4,3,Life Sciences,1,3,Female,34,2,2,Sales Executive,4,Single,6165,13783,8,Y,No,18,3,4,80,0,9,2,3,5,0,0,6
8,39,No,Travel_Rarely,505,Sales,1,4,Life Sciences,1,4,Male,57,4,4,Manager,1,Single,17518,6111,1,Y,No,15,3,2,80,0,34,5,4,39,1,0,17
9,20,No,Travel_Rarely,213,Research & Development,16,2,Medical,1,3,Female,87,3,1,Research Scientist,4,Married,4166,5067,9,Y,Yes,20,4,3,80,1,8,5,3,1,2,0,4
10,33,No,Travel_Rarely,1082,Research & Development,9,4,Life Sciences,1,2,Male,81,1,2,Research Scientist,4,Single,6990,15285,1,Y,No,14,3,2,80,0,9,3,3,35,12,11,10
11,39,No,Travel_Rarely,1138,Sales,22,4,Technical Degree,1,3,Male,80,2,3,Sales Executive,3,Divorced,7984,3141,0,Y,Yes,13,3,2,80,3,9,2,3,6,8,2,7
12,35,No,Travel_Frequently,414,Sales,8,1,Medical,1,4,Male,43,4,2,Sales Executive,4,Divorced,4452,22034,0,Y,No,16,3,4,80,2,17,2,4,5,9,0,5
13,25,No,Non-Travel,149,Human Resources,2,1,Life Sciences,1,3,Male,51,3,1,Laboratory Technician,4,Divorced,2144,12803,1,Y,No,19,3,2,80,1,8,2,3,2,2,2,4
14,44,No,Travel_Frequently,472,Research & Development,14,4,Medical,1,1,Male,38,2,2,Laboratory Technician,3,Single,6970,10729,6,Y,No,14,3,4,80,0,18,4,3,1,0,0,1
15,35,No,Travel_Rarely,1244,Sales,6,4,Medical,1,2,Male,92,3,2,Sales Executive,3,Single,4978,24270,1,Y,No,18,3,1,80,0,17,1,3,13,10,14,6
16,21,Yes,Travel_Rarely,1301,Sales,22,4,Medical,1,2,Male,34,3,2,Sales Executive,1,Divorced,3928,12518,7,Y,No,17,3,3,80,0,15,2,1,0,0,2,3
17,26,No,Travel_Rarely,1279,Research & Development,11,3,Life Sciences,1,4,Male,58,3,1,Research Scientist,4,Single,2662,19677,9,Y,No,17,3,4,80,0,6,1,3,3,2,1,2
18,34,No,Travel_Rarely,369,Research & Development,2,3,Technical Degree,1,3,Female,73,1,3,Manufacturing Director,1,Divorced,12690,7561,2,Y,Yes,22,4,3,80,1,10,2,3,7,9,7,6
19,36,No,Travel_Rarely,1484,Sales,3,1,Life Sciences,1,2,Female,75,3,2,Sales Executive,3,Married,5072,3765,1,Y,No,22,4,1,80,0,6,3,2,7,3,2,2
20,54,No,Travel_Rarely,413,Research & Development,4,2,Life Sciences,1,3,Female,38,2,4,Healthcare Representative,3,Married,16537,10706,6,Y,Yes,18,3,2,80,1,22,3,3,12,14,1,13
