Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Non-Travel,419,Sales,17,2,Medical,1,1,Female,49,4,1,Sales Representative,4,Married,2298,26271,6,Y,No,21,4,4,80,0,14,1970-01-01,3,22,2,11,12
51,No,Non-Travel,1227,Human Resources,12,2,Human Resources,1,3,Female,75,3,2,Human Resources,1,Divorced,16142,21693,9,Y,No,18,4,3,80,1,22,1970-01-01,3,1,2,3,2
53,Yes,Travel_Frequently,495,Human Resources,9,4,Marketing,1,3,Female,65,1,2,Healthcare Representative,2,Married,8946,22368,3,Y,Yes,16,3,1,80,0,31,1970-01-01,2,29,3,14,9
29,No,Travel_Rarely,1104,Human Resources,14,3,Human Resources,1,3,Male,61,1,1,Sales Executive,4,Divorced,14713,9714,5,Y,No,19,3,3,80,1,0,1970-01-01,4,27,8,4,11
44,No,Travel_Rarely,133,Sales,28,4,Other,1,2,Female,34,3,5,Sales Executive,4,Married,9387,25452,4,Y,No,19,3,4,80,3,39,1970-01-01,3,34,8,4,0
24,No,Non-Travel,620,Sales,25,4,Life Sciences,1,1,Male,44,1,3,Research Director,4,Married,18206,8469,2,Y,No,13,3,2,80,0,12,1970-01-01,3,6,16,1,13
56,Yes,Travel_Frequently,352,Research & Development,18,3,Technical Degree,1,3,Male,49,2,2,Sales Representative,2,Single,10491,14565,6,Y,Yes,25,3,1,80,0,11,1970-01-01,1,39,2,4,9
40,Yes,Travel_Frequently,1394,Research & Development,1,4,Marketing,1,3,Female,89,3,3,Human Resources,4,Married,1132,26159,4,Y,No,13,4,2,80,1,17,1970-01-01,3,34,0,10,1
29,Yes,Travel_Frequently,1144,Human Resources,24,2,Medical,1,1,Male,63,4,5,Human Resources,3,Single,7062,9823,2,Y,Yes,24,4,2,80,0,6,1970-01-01,3,18,2,8,0
45,No,Travel_Frequently,683,Sales,2,1,Other,1,1,Female,93,3,1,Research Scientist,3,Divorced,8683,25129,0,Y,Yes,23,4,4,80,1,9,1970-01-01,4,23,14,10,11
39,Yes,Travel_Frequently,559,Research & Development,12,1,Life Sciences,1,3,Male,86,1,3,Manufacturing Director,1,Married,15638,10272,6,Y,No,25,4,3,80,2,8,1970-01-01,4,31,12,1,5
37,No,Travel_Frequently,1213,Human Resources,28,1,Human Resources,1,4,Female,33,3,4,Healthcare Representative,3,Divorced,3465,16165,8,Y,No,18,3,2,80,2,29,1970-01-01,4,21,9,3,10
31,Yes,Travel_Frequently,308,Sales,28,4,Other,1,4,Male,39,4,1,Sales Executive,1,Single,7860,21528,0,Y,Yes,13,3,2,80,1,0,1970-01-01,2,17,2,4,15
