,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,27,No,Travel_Rarely,1431,Research & Development,7,4,Life Sciences,1,13859660,4,Male,36,3,2,Research Scientist,3,Married,4153,2094,1,Y,No,12,3,4,80,0,9,2,3,4,7,0,7
1,33,No,Travel_Rarely,1472,Research & Development,2,1,Medical,1,10827474,2,Male,53,3,1,Research Scientist,4,Married,2869,9619,1,Y,No,12,3,3,80,0,3,2,2,3,3,1,4
2,27,No,Travel_Rarely,208,Research & Development,1,3,Life Sciences,1,1622532,4,Male,48,3,2,Manufacturing Director,4,Single,4850,22356,1,Y,No,12,3,3,80,0,8,2,3,5,3,1,3
3,28,No,Travel_Rarely,1499,Research & Development,2,3,Medical,1,3071196,3,Male,96,3,1,Research Scientist,2,Single,3063,6638,1,Y,No,19,3,3,80,0,2,3,3,1,2,0,2
4,25,No,Travel_Rarely,318,Sales,8,3,Life Sciences,1,13477013,4,Male,39,3,2,Sales Executive,3,Single,4778,23392,1,Y,No,12,3,4,80,0,6,2,3,4,0,0,0
5,41,No,Travel_Rarely,1251,Research & Development,9,4,Life Sciences,1,5500864,4,Male,41,3,2,Healthcare Representative,4,Single,4906,2650,1,Y,No,14,3,4,80,0,11,2,3,25,7,7,9
6,26,Yes,Travel_Rarely,407,Sales,5,3,Life Sciences,1,8739423,4,Male,82,3,1,Sales Representative,4,Single,2251,24371,1,Y,No,11,3,3,80,0,5,2,3,0,1,0,0
7,33,No,Travel_Rarely,1366,Sales,7,4,Life Sciences,1,13474416,4,Male,91,3,2,Sales Executive,3,Married,5643,23337,1,Y,No,15,3,1,80,0,9,2,3,9,7,7,8
8,56,No,Travel_Rarely,1378,Sales,8,4,Life Sciences,1,5601941,4,Male,40,3,3,Sales Executive,4,Married,9188,22009,3,Y,No,15,3,3,80,0,23,2,3,4,0,0,0
9,34,No,Travel_Rarely,1251,Research & Development,1,4,Life Sciences,1,11208626,3,Male,44,3,2,Manufacturing Director,4,Single,6212,6521,3,Y,No,21,4,3,80,0,9,3,3,6,4,1,4
10,30,No,Travel_Rarely,516,Research & Development,2,3,Life Sciences,1,14618130,4,Male,42,3,1,Research Scientist,3,Single,3344,23572,1,Y,No,11,3,4,80,0,7,2,3,3,2,0,0
11,60,No,Travel_Rarely,244,Sales,8,3,Life Sciences,1,9367605,3,Male,81,3,3,Sales Executive,4,Married,10923,8698,1,Y,No,11,3,4,80,1,17,2,3,19,8,4,8
12,35,No,Travel_Rarely,410,Sales,6,3,Life Sciences,1,8484551,3,Female,75,3,3,Sales Executive,4,Married,11719,19078,3,Y,No,14,3,3,80,1,14,2,3,0,0,0,0
13,23,No,Travel_Rarely,1104,Research & Development,6,3,Medical,1,430584,3,Male,98,3,1,Research Scientist,4,Single,2593,3925,1,Y,No,11,3,3,80,0,2,2,3,4,4,1,2
14,36,No,Travel_Rarely,102,Research & Development,1,3,Life Sciences,1,7083096,4,Male,72,3,2,Manufacturing Director,4,Single,5049,24739,1,Y,No,15,3,3,80,0,9,2,3,8,9,11,11
15,30,Yes,Travel_Rarely,1205,Research & Development,10,3,Medical,1,9750392,4,Male,62,3,1,Research Scientist,4,Single,2530,23706,1,Y,No,21,3,3,80,0,2,2,3,5,3,0,3
16,31,No,Travel_Rarely,1215,Research & Development,2,4,Life Sciences,1,2482635,3,Male,55,3,1,Research Scientist,3,Single,5940,2472,1,Y,No,13,3,4,80,0,11,3,3,5,4,3,9
17,29,No,Travel_Rarely,1485,Research & Development,7,3,Life Sciences,1,221424,3,Male,71,3,1,Research Scientist,4,Married,3195,2734,1,Y,No,21,3,2,80,1,4,2,3,1,2,2,2
18,30,No,Travel_Rarely,1173,Research & Development,7,3,Life Sciences,1,14833524,4,Male,42,3,2,Research Scientist,4,Single,4443,25615,1,Y,No,11,3,4,80,0,9,2,3,7,4,1,8
19,50,No,Travel_Rarely,506,Research & Development,7,3,Life Sciences,1,6129504,4,Female,85,3,3,Manufacturing Director,4,Married,12972,23537,1,Y,No,11,3,3,80,1,13,3,3,11,8,4,13
20,32,Yes,Travel_Rarely,1405,Research & Development,9,3,Medical,1,8767128,3,Male,37,3,1,Research Scientist,2,Married,2010,8612,1,Y,Yes,22,3,3,80,0,3,3,2,4,2,0,2
21,31,No,Travel_Rarely,546,Research & Development,3,3,Life Sciences,1,6750555,3,Male,75,3,1,Research Scientist,3,Married,1822,4858,1,Y,No,11,3,3,80,1,1,2,3,2,2,0,2
22,46,No,Travel_Rarely,1196,Research & Development,7,3,Life Sciences,1,12448620,4,Male,40,3,2,Laboratory Technician,3,Married,3882,6154,1,Y,No,23,3,3,80,0,10,3,3,10,8,7,7
23,31,No,Travel_Rarely,1499,Research & Development,9,3,Life Sciences,1,11099529,2,Male,87,3,1,Research Scientist,3,Single,2754,3185,1,Y,No,16,3,1,80,0,5,3,3,10,7,1,7
24,18,No,Travel_Rarely,1359,Research & Development,6,3,Medical,1,1354782,3,Male,95,3,1,Research Scientist,4,Single,1384,25125,1,Y,No,12,3,3,80,0,4,2,3,4,0,0,0
25,30,No,Travel_Rarely,1467,Sales,10,3,Medical,1,2583537,2,Male,46,3,1,Sales Representative,4,Married,3074,6580,1,Y,No,20,3,3,80,0,5,3,3,4,4,1,3
26,40,No,Travel_Rarely,1207,Research & Development,9,3,Life Sciences,1,7731120,3,Male,84,3,1,Research Scientist,4,Married,2825,5378,1,Y,No,24,3,2,80,1,3,3,3,4,2,0,2
27,35,No,Travel_Rarely,1499,Research & Development,2,4,Life Sciences,1,6994235,3,Male,76,3,2,Healthcare Representative,4,Married,4019,3824,3,Y,No,23,4,2,80,1,8,2,3,5,4,0,4
28,52,No,Travel_Rarely,125,Research & Development,7,3,Life Sciences,1,6238402,3,Male,78,3,4,Research Director,4,Single,12817,20517,1,Y,No,12,3,4,80,0,21,2,3,21,15,14,15
29,25,No,Travel_Rarely,1248,Sales,5,3,Life Sciences,1,9024545,4,Male,48,3,2,Sales Executive,3,Married,4793,22592,1,Y,No,11,3,3,80,1,10,2,3,8,7,0,7
30,37,No,Travel_Rarely,1405,Sales,3,2,Life Sciences,1,10839086,3,Male,84,3,2,Sales Executive,4,Married,5364,24254,1,Y,No,20,4,1,80,1,10,3,3,11,7,0,6
31,53,No,Travel_Rarely,1004,Research & Development,2,3,Life Sciences,1,7377454,4,Male,36,3,4,Manager,4,Married,17167,19360,3,Y,No,22,3,4,80,0,28,2,3,4,9,4,4
