,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,26,No,Travel_Rarely,331,Sales,20,4,Life Sciences,1,9495477,3,Male,95,3,2,Sales Executive,3,Single,6459,22273,1,Y,No,14,3,4,80,0,9,3,3,6,4,0,8
1,32,No,Travel_Rarely,337,Research & Development,21,3,Life Sciences,1,16402638,3,Male,41,3,1,Research Scientist,4,Single,2706,24388,0,Y,No,22,4,1,80,0,4,3,3,4,2,1,4
2,26,No,Travel_Rarely,1412,Research & Development,2,3,Life Sciences,1,10704509,3,Male,83,3,1,Research Scientist,3,Married,2564,22759,1,Y,No,15,3,4,80,1,15,2,3,2,0,0,0
3,25,No,Travel_Rarely,502,Research & Development,1,3,Medical,1,16065069,3,Male,86,3,1,Laboratory Technician,1,Married,3125,8328,1,Y,No,13,3,2,80,0,6,3,3,5,3,1,4
4,39,Yes,Travel_Rarely,1456,Sales,2,3,Marketing,1,7069501,3,Male,53,3,4,Sales Executive,2,Married,13375,23816,4,Y,Yes,17,3,3,80,0,17,3,3,0,0,0,1
5,32,No,Travel_Rarely,392,Research & Development,1,3,Life Sciences,1,10107295,1,Male,95,3,1,Research Scientist,3,Single,2817,22721,0,Y,No,11,3,3,80,0,3,3,3,1,2,1,2
6,57,No,Travel_Rarely,1296,Sales,2,4,Life Sciences,1,7973523,1,Male,53,3,5,Manager,3,Single,17415,23686,2,Y,No,12,3,3,80,0,36,2,3,26,2,2,0
7,30,No,Travel_Rarely,620,Research & Development,7,3,Life Sciences,1,6751000,3,Male,100,3,2,Laboratory Technician,3,Single,4647,24655,1,Y,No,12,3,1,80,0,8,3,3,5,3,0,7
8,35,No,Travel_Rarely,1496,Research & Development,7,4,Life Sciences,1,12227347,1,Male,87,3,1,Research Scientist,3,Single,1552,23089,3,Y,No,16,3,3,80,0,4,3,3,0,1,0,0
9,51,No,Travel_Rarely,1266,Sales,1,4,Life Sciences,1,2572772,4,Male,30,3,3,Sales Executive,4,Single,7666,22979,2,Y,No,13,3,3,80,0,18,2,3,2,1,0,0
10,53,No,Travel_Rarely,1407,Research & Development,1,4,Life Sciences,1,1899692,3,Male,39,3,2,Healthcare Representative,4,Married,5229,20106,2,Y,No,15,3,4,80,1,16,2,3,2,2,0,2
11,50,No,Travel_Rarely,1462,Sales,2,4,Marketing,1,3809100,1,Male,35,3,3,Sales Executive,4,Married,11564,21924,2,Y,No,12,3,3,80,1,15,2,3,5,1,0,0
12,33,No,Travel_Rarely,1315,Research & Development,2,4,Life Sciences,1,3573101,4,Male,42,3,1,Research Scientist,1,Married,4124,21975,2,Y,No,14,3,2,80,1,9,2,3,3,0,0,0
13,30,No,Travel_Rarely,655,Research & Development,1,4,Life Sciences,1,14346009,4,Male,80,3,2,Research Scientist,3,Married,4959,24521,2,Y,No,15,3,4,80,0,5,2,3,6,2,0,2
14,34,No,Travel_Rarely,560,Research & Development,10,3,Life Sciences,1,12532822,3,Male,90,3,1,Laboratory Technician,3,Married,2571,5818,1,Y,No,12,3,1,80,1,6,3,3,5,3,0,3
15,33,No,Travel_Rarely,116,Research & Development,10,4,Life Sciences,1,10154545,1,Male,99,3,1,Research Scientist,4,Single,2990,21365,1,Y,No,14,3,3,80,0,9,2,3,4,2,0,3
16,48,No,Travel_Rarely,1056,Research & Development,1,4,Life Sciences,1,10597068,4,Male,37,3,2,Healthcare Representative,4,Married,5134,23009,2,Y,No,14,3,3,80,0,10,2,3,7,2,0,2
17,49,No,Travel_Rarely,271,Research & Development,2,3,Medical,1,3181125,3,Male,33,3,1,Human Resources,4,Married,2996,7378,2,Y,No,13,3,4,80,0,14,2,3,1,2,2,2
18,36,No,Travel_Rarely,1179,Research & Development,3,3,Life Sciences,1,14936855,4,Male,48,3,2,Healthcare Representative,4,Married,8080,24395,3,Y,No,18,4,3,80,1,8,2,3,1,0,0,0
19,50,No,Travel_Rarely,1192,Sales,1,4,Life Sciences,1,13674702,4,Male,53,3,2,Sales Executive,4,Single,10642,23066,2,Y,No,12,3,3,80,0,12,2,3,1,2,2,2
20,30,No,Travel_Rarely,1477,Research & Development,5,4,Life Sciences,1,5704972,4,Male,87,3,2,Laboratory Technician,3,Single,4249,19524,1,Y,No,13,3,2,80,0,6,3,3,5,4,0,4
21,27,No,Travel_Rarely,1286,Sales,7,3,Marketing,1,2557903,4,Male,39,3,1,Sales Representative,4,Single,3887,20817,1,Y,No,13,3,3,80,0,4,2,3,1,2,2,0
22,38,No,Travel_Rarely,1348,Research & Development,3,3,Medical,1,1235304,3,Male,45,3,2,Laboratory Technician,3,Married,4920,3380,1,Y,No,12,3,1,80,1,9,3,3,8,6,6,7
23,28,No,Travel_Rarely,1113,Research & Development,2,3,Medical,1,14246208,3,Male,42,3,1,Laboratory Technician,3,Married,3087,21136,1,Y,No,12,3,3,80,1,2,3,3,5,4,0,3
24,19,No,Travel_Rarely,675,Research & Development,5,3,Life Sciences,1,8522429,3,Male,93,3,2,Laboratory Technician,3,Married,5508,18672,1,Y,No,13,3,1,80,2,10,3,3,10,6,0,8
25,28,No,Travel_Rarely,786,Research & Development,9,3,Life Sciences,1,12270894,4,Male,99,3,1,Research Scientist,3,Single,2876,24646,3,Y,No,12,3,3,80,0,7,2,3,5,2,0,2
26,58,No,Travel_Rarely,512,Sales,1,4,Life Sciences,1,6983994,4,Male,39,3,4,Manager,3,Single,10222,25080,3,Y,No,13,3,3,80,0,18,2,3,15,7,9,9
27,33,Yes,Travel_Rarely,407,Sales,3,3,Life Sciences,1,16198395,3,Male,57,3,1,Sales Representative,4,Single,1498,19282,1,Y,No,25,4,4,80,0,0,3,3,0,0,0,0
28,34,No,Travel_Rarely,1316,Research & Development,7,4,Life Sciences,1,8430209,1,Male,95,3,2,Research Scientist,3,Single,6332,23970,4,Y,No,13,3,4,80,0,3,3,3,6,2,0,2
29,25,No,Travel_Rarely,653,Sales,2,3,Life Sciences,1,2468450,4,Male,100,3,2,Sales Executive,3,Married,4625,21395,1,Y,No,12,3,1,80,0,11,3,3,7,4,0,4
30,46,No,Travel_Rarely,1195,Research & Development,2,3,Life Sciences,1,5498992,4,Male,40,3,1,Research Scientist,3,Married,4668,4286,1,Y,No,14,3,3,80,1,11,2,3,7,2,1,3
31,26,No,Travel_Rarely,803,Research & Development,1,3,Life Sciences,1,1374396,3,Male,41,3,1,Laboratory Technician,3,Married,1830,20650,1,Y,No,14,3,4,80,1,3,2,3,2,0,0,0
32,31,No,Travel_Rarely,231,Research & Development,7,3,Life Sciences,1,12982686,4,Male,94,3,2,Healthcare Representative,3,Married,5327,23351,1,Y,No,13,3,3,80,0,19,2,3,10,7,6,8
33,35,No,Travel_Rarely,660,Sales,7,3,Marketing,1,2954816,3,Female,85,3,3,Sales Executive,3,Married,12933,4650,1,Y,No,11,3,3,80,1,15,3,3,18,7,6,6
34,22,No,Travel_Rarely,1496,Research & Development,2,3,Medical,1,9750913,3,Male,47,3,1,Laboratory Technician,3,Married,2151,6155,1,Y,No,14,3,3,80,1,9,2,3,5,2,0,2
35,32,Yes,Travel_Rarely,835,Sales,3,3,Life Sciences,1,15829700,4,Male,89,3,2,Sales Executive,4,Single,4376,24031,3,Y,No,14,3,3,80,0,6,2,3,1,0,0,0
36,53,No,Travel_Rarely,668,Research & Development,6,3,Medical,1,7835859,4,Male,55,3,3,Sales Executive,4,Single,11147,20404,1,Y,No,14,3,3,80,0,10,2,3,11,7,6,7
37,33,No,Travel_Rarely,511,Sales,9,3,Medical,1,450598,3,Male,48,3,2,Sales Executive,3,Married,4988,3536,1,Y,No,11,3,1,80,1,10,3,3,19,7,6,8
38,25,No,Travel_Rarely,1236,Research & Development,2,3,Life Sciences,1,6563883,3,Male,38,3,1,Research Scientist,4,Married,2396,23104,1,Y,No,14,3,4,80,1,4,2,3,2,2,0,2
39,31,No,Travel_Rarely,459,Research & Development,5,3,Life Sciences,1,4648146,4,Male,49,3,2,Manufacturing Director,4,Married,3680,25775,1,Y,No,11,3,4,80,0,12,2,3,11,7,6,9
40,53,No,Travel_Rarely,1438,Research & Development,4,4,Medical,1,3864251,4,Male,43,3,4,Research Director,3,Married,15720,6295,2,Y,No,12,3,3,80,1,18,2,3,4,2,2,2
41,27,No,Travel_Rarely,682,Sales,3,4,Life Sciences,1,135579,1,Male,35,3,2,Sales Executive,4,Single,6256,21563,1,Y,No,12,3,4,80,0,11,2,3,9,7,10,7
42,56,No,Travel_Rarely,1496,Sales,2,3,Life Sciences,1,716328,3,Male,48,3,3,Sales Executive,3,Married,10734,23212,4,Y,No,20,3,3,80,1,22,3,3,2,2,0,2
43,36,No,Travel_Rarely,577,Sales,1,4,Life Sciences,1,9164856,3,Male,86,3,2,Sales Executive,1,Married,6967,22505,1,Y,No,14,3,4,80,1,10,2,3,9,7,0,7
44,29,No,Travel_Rarely,1192,Research & Development,1,3,Life Sciences,1,5232908,3,Male,97,3,2,Laboratory Technician,1,Married,4641,26999,1,Y,No,14,3,1,80,1,7,2,3,12,4,0,3
45,24,No,Travel_Rarely,972,Research & Development,2,3,Life Sciences,1,12365145,4,Male,98,3,1,Research Scientist,3,Single,1735,23176,1,Y,No,14,3,4,80,0,1,3,3,1,0,0,0
46,29,No,Travel_Rarely,937,Sales,9,3,Life Sciences,1,3175343,3,Female,45,3,2,Sales Executive,3,Married,5333,22116,1,Y,No,12,3,3,80,1,11,3,3,8,4,0,8
47,35,No,Travel_Rarely,1278,Research & Development,1,4,Life Sciences,1,12779945,4,Male,30,3,2,Healthcare Representative,4,Married,3342,21288,1,Y,No,13,3,3,80,1,13,2,3,7,7,0,0
48,27,No,Travel_Rarely,430,Research & Development,2,1,Medical,1,11424412,3,Male,51,2,1,Research Scientist,4,Single,1148,24617,1,Y,No,12,3,3,80,0,4,2,3,5,4,1,0
49,30,No,Travel_Rarely,579,Sales,3,3,Life Sciences,1,363902,3,Female,34,3,2,Sales Executive,4,Married,3692,24256,1,Y,No,13,3,4,80,1,7,2,3,11,7,0,8
50,26,No,Travel_Rarely,1164,Research & Development,10,3,Medical,1,9110371,3,Male,84,3,1,Laboratory Technician,3,Married,4389,24156,1,Y,No,13,3,1,80,1,8,3,3,3,3,0,3
51,53,No,Travel_Rarely,1215,Research & Development,1,4,Life Sciences,1,15015388,3,Male,43,3,2,Manufacturing Director,4,Married,5006,25170,2,Y,No,14,3,4,80,1,21,2,3,10,11,11,8
52,22,No,Travel_Rarely,672,Research & Development,2,1,Medical,1,13035356,1,Male,89,3,1,Research Scientist,3,Single,3068,21897,1,Y,No,11,3,3,80,0,4,3,3,6,2,1,2
53,26,Yes,Travel_Rarely,343,Sales,2,3,Life Sciences,1,13976584,3,Female,50,3,1,Sales Representative,3,Single,1817,20764,1,Y,No,13,3,4,80,0,1,3,3,2,0,0,1
54,32,No,Travel_Rarely,1188,Research & Development,2,3,Life Sciences,1,16709153,4,Male,44,3,1,Research Scientist,4,Single,2422,2951,1,Y,No,14,3,3,80,0,0,2,3,0,0,0,0
55,51,No,Travel_Rarely,671,Sales,2,3,Life Sciences,1,11027338,3,Male,42,3,2,Sales Executive,4,Married,5467,21013,1,Y,No,13,3,4,80,0,8,2,3,11,7,0,7
56,31,No,Travel_Rarely,603,Sales,2,3,Life Sciences,1,14332324,3,Male,44,3,1,Sales Representative,3,Married,2450,24091,0,Y,No,23,3,4,80,1,5,3,3,3,2,2,2
57,50,No,Travel_Rarely,1092,Research & Development,2,4,Life Sciences,1,1502829,4,Male,38,3,4,Manager,1,Married,15281,21461,2,Y,No,13,3,3,80,1,37,2,3,6,4,1,2
58,44,No,Travel_Rarely,500,Research & Development,4,3,Life Sciences,1,9312758,2,Male,53,3,3,Sales Executive,3,Married,6948,25742,1,Y,No,13,3,4,80,0,11,2,3,8,7,6,7
59,44,No,Travel_Rarely,1339,Research & Development,2,2,Life Sciences,1,10229233,1,Male,87,3,1,Research Scientist,3,Married,3349,22492,0,Y,No,13,3,4,80,1,9,2,3,5,2,2,2
60,52,No,Travel_Rarely,1289,Research & Development,11,3,Medical,1,3556922,4,Male,46,3,2,Healthcare Representative,1,Married,7752,21974,2,Y,No,15,3,2,80,1,11,3,3,5,4,0,3
61,40,No,Travel_Rarely,1382,Research & Development,11,3,Medical,1,3028668,3,Male,83,3,2,Healthcare Representative,3,Married,4861,23510,1,Y,No,13,3,1,80,1,10,3,3,8,3,0,8
62,39,No,Travel_Rarely,757,Sales,6,4,Life Sciences,1,412056,2,Male,97,3,2,Sales Executive,3,Married,5155,22905,1,Y,No,13,3,4,80,0,11,3,3,6,3,0,7
63,22,No,Travel_Rarely,395,Research & Development,2,3,Medical,1,9832840,3,Male,51,3,1,Research Scientist,3,Married,2760,4600,1,Y,No,14,3,3,80,1,0,2,3,5,2,0,2
64,33,Yes,Travel_Rarely,259,Research & Development,3,3,Life Sciences,1,7651945,3,Male,91,3,1,Research Scientist,3,Single,3083,2094,1,Y,No,14,3,3,80,0,4,3,3,1,0,0,0
65,28,No,Travel_Rarely,1164,Research & Development,3,3,Life Sciences,1,2927237,3,Male,50,3,2,Healthcare Representative,4,Married,7029,23786,1,Y,No,20,4,1,80,1,10,3,3,10,7,7,9
66,27,No,Travel_Rarely,221,Research & Development,2,3,Life Sciences,1,2843213,4,Male,90,3,1,Research Scientist,4,Single,3261,22902,1,Y,No,14,3,3,80,0,2,2,3,2,1,0,0
67,33,No,Travel_Rarely,1224,Research & Development,1,3,Medical,1,3478744,3,Male,45,3,2,Manufacturing Director,4,Married,7202,6648,1,Y,No,13,3,3,80,1,9,2,3,9,7,6,7
