Unnamed: 0,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,29,No,Travel_Rarely,212,Sales,7,3,Marketing,1,3,Male,37,3,3,Sales Executive,4,Single,8625,19961,1,Y,No,12,3,4,80,0,11,2,3,7,7,6,8
1,53,No,Travel_Rarely,1499,Research & Development,3,3,Life Sciences,1,4,Male,47,3,2,Laboratory Technician,3,Divorced,5159,22221,4,Y,No,14,3,3,80,1,10,2,3,8,7,1,7
2,40,No,Travel_Rarely,1298,Research & Development,2,4,Life Sciences,1,3,Male,51,3,2,Healthcare Representative,3,Married,5054,4182,2,Y,No,14,3,4,80,1,10,2,3,5,2,1,2
3,28,No,Travel_Rarely,1474,Research & Development,8,3,Life Sciences,1,3,Male,78,3,1,Research Scientist,4,Married,2754,24726,1,Y,No,20,4,3,80,0,2,2,3,1,0,0,0
4,35,Yes,Travel_Rarely,1362,Sales,7,4,Marketing,1,3,Male,47,3,2,Sales Representative,4,Married,3093,4628,1,Y,Yes,18,3,3,80,0,10,2,3,5,2,0,3
5,57,No,Travel_Rarely,1195,Research & Development,9,3,Medical,1,3,Male,74,3,3,Research Director,4,Married,10483,21485,3,Y,No,11,3,3,80,1,30,2,3,19,7,0,0
6,34,No,Travel_Rarely,1499,Research & Development,5,3,Medical,1,2,Male,87,3,2,Research Scientist,4,Married,5891,6360,1,Y,No,11,3,3,80,1,9,2,3,4,5,0,4
7,28,No,Travel_Rarely,706,Sales,7,1,Life Sciences,1,3,Male,77,3,2,Sales Representative,4,Single,2881,24228,1,Y,No,12,3,3,80,0,4,2,3,0,1,0,1
8,34,No,Travel_Rarely,1334,Sales,8,4,Medical,1,3,Male,80,3,1,Sales Representative,4,Married,2591,9434,1,Y,No,11,3,3,80,1,5,2,3,3,0,0,0
9,54,No,Travel_Rarely,839,Research & Development,3,3,Life Sciences,1,4,Male,38,3,3,Research Director,4,Single,13892,25326,3,Y,No,13,3,3,80,0,22,2,3,10,7,3,8
10,35,No,Travel_Rarely,351,Research & Development,8,3,Life Sciences,1,4,Male,91,3,2,Manufacturing Director,4,Married,5430,23427,1,Y,No,11,3,4,80,1,11,2,3,12,7,7,8
11,32,Yes,Travel_Rarely,1320,Sales,9,3,Life Sciences,1,3,Male,78,3,1,Sales Representative,2,Married,2039,26999,1,Y,No,19,3,4,80,0,0,3,3,1,0,0,2
12,49,No,Travel_Rarely,1499,Research & Development,1,4,Life Sciences,1,4,Male,34,3,3,Manufacturing Director,4,Married,6558,2094,2,Y,No,12,3,3,80,0,10,2,3,4,2,0,2
13,34,No,Travel_Rarely,1189,Sales,7,3,Life Sciences,1,3,Male,83,3,2,Sales Executive,4,Married,5506,4156,1,Y,No,15,3,1,80,1,8,3,3,4,4,0,3
14,39,No,Travel_Rarely,1085,Sales,6,4,Life Sciences,1,3,Male,38,3,2,Sales Executive,4,Single,4997,5924,1,Y,No,23,3,4,80,0,9,2,3,8,9,7,7
15,37,No,Travel_Rarely,1200,Research & Development,4,4,Life Sciences,1,4,Male,49,3,2,Sales Executive,3,Married,5465,5119,2,Y,No,11,3,4,80,0,8,3,3,6,3,1,3
