,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,14.727,No,Travel_Frequently,801.015,Research & Development,-4.858,3,Life Sciences,1,1374.15,4,Female,41.808,3,1,Sales Representative,2,Divorced,4669.328,7643.747,1,Y,No,18.106,3,2,80,1,-0.003,3,3,1.973,-1.173,-0.284,-1.15
1,25.457,No,Travel_Rarely,1052.123,Research & Development,3.38,4,Medical,1,776.791,4,Male,57.016,3,1,Research Scientist,4,Married,7643.009,1928.003,3,Y,Yes,12.99,3,2,80,0,2.421,2,2,2.777,0.536,-0.868,0.227
2,41.857,No,Non-Travel,694.881,Research & Development,8.694,3,Life Sciences,1,1409.098,1,Male,53.945,3,2,Healthcare Representative,2,Divorced,-1393.226,19624.734,3,Y,No,16.741,3,1,80,3,5.548,4,2,1.2,-0.355,-0.363,2.5
3,41.949,No,Travel_Rarely,1545.306,Human Resources,4.887,3,Other,1,1797.37,4,Female,85.91,1,3,Healthcare Representative,2,Divorced,6279.151,3577.885,5,Y,No,22.798,4,2,80,1,13.108,2,3,9.938,8.338,1.449,1.829
4,31.648,No,Travel_Frequently,1765.386,Research & Development,3.757,3,Life Sciences,1,336.504,2,Female,76.516,2,1,Research Scientist,3,Married,1913.857,10541.664,1,Y,Yes,10.952,3,4,80,1,8.078,6,2,11.965,5.698,6.073,4.298
5,53.217,Yes,Travel_Frequently,624.321,Research & Development,9.34,3,Medical,1,974.468,4,Female,62.418,4,2,Healthcare Representative,2,Married,11871.007,24230.807,4,Y,No,19.234,4,4,80,1,19.596,3,3,6.945,5.498,3.546,0.51
6,36.692,No,Travel_Rarely,1179.172,Research & Development,-5.357,2,Life Sciences,1,1349.489,2,Female,33.492,3,1,Laboratory Technician,3,Married,-2017.48,-2087.289,0,Y,Yes,17.98,4,2,80,1,-1.762,3,3,3.136,0.435,0.218,-3.567
7,33.241,No,Travel_Rarely,1325.672,Sales,16.625,3,Life Sciences,1,1163.933,2,Female,84.062,3,2,Human Resources,4,Married,9111.845,23373.094,1,Y,Yes,14.151,3,3,80,1,13.689,2,3,17.783,10.706,5.187,9.777
8,37.645,No,Travel_Rarely,-116.506,Sales,6.48,5,Life Sciences,1,804.688,3,Male,51.065,3,2,Sales Executive,1,Divorced,4585.66,16843.066,1,Y,No,10.835,3,2,80,3,6.108,3,2,2.045,3.237,2.147,3.502
9,35.794,Yes,Travel_Rarely,288.077,Research & Development,21.437,2,Life Sciences,1,763.183,1,Male,63.967,4,1,Sales Executive,4,Married,3916.364,17671.51,8,Y,No,12.278,3,4,80,0,7.317,6,3,5.479,3.386,3.699,5.497
10,54.522,No,Travel_Rarely,1296.144,Research & Development,11.448,3,Life Sciences,1,1506.33,3,Female,81.924,3,2,Manufacturing Director,1,Married,10263.646,8573.622,3,Y,Yes,17.513,3,2,80,1,19.172,0,3,10.511,5.391,1.233,5.817
11,48.787,Yes,Travel_Rarely,964.31,Research & Development,-5.013,2,Marketing,1,1549.885,3,Male,90.847,2,2,Manager,2,Married,11110.663,11955.604,4,Y,Yes,12.489,3,2,80,3,16.846,3,2,7.13,2.114,-0.247,-0.654
12,50.129,No,Travel_Rarely,829.24,Sales,7.698,3,Medical,1,1025.452,4,Female,65.718,3,1,Research Scientist,2,Married,7897.868,6994.912,6,Y,Yes,14.383,4,1,80,3,16.623,3,2,14.129,7.311,6.886,5.999
13,31.381,No,Travel_Rarely,763.568,Sales,9.158,3,Life Sciences,1,699.805,4,Female,35.876,4,1,Research Scientist,4,Single,-2252.559,10503.196,4,Y,Yes,15.861,3,2,80,3,-3.099,4,3,-0.042,3.593,-3.122,0.3
14,29.22,Yes,Travel_Rarely,1303.148,Human Resources,9.712,3,Medical,1,1255.761,2,Female,75.533,2,1,Research Scientist,3,Divorced,5515.986,12079.612,1,Y,No,10.01,3,1,80,1,4.495,4,2,4.996,2.356,2.077,3.35
15,34.578,No,Travel_Frequently,787.086,Research & Development,0.158,5,Life Sciences,1,736.601,3,Female,19.47,2,2,Research Scientist,3,Single,2855.374,5220.314,5,Y,No,23.336,4,2,80,0,16.331,5,3,17.453,12.777,3.767,9.775
16,46.547,No,Travel_Rarely,819.03,Research & Development,-0.594,3,Life Sciences,1,723.993,3,Male,49.75,3,2,Sales Executive,1,Married,14640.299,11726.809,9,Y,No,17.204,3,4,80,1,17.369,6,3,10.424,8.596,2.467,8.769
17,55.072,No,Travel_Frequently,944.856,Research & Development,-7.592,5,Medical,1,775.385,1,Female,70.827,3,5,Healthcare Representative,3,Divorced,7766.187,8297.694,1,Y,Yes,10.357,3,4,80,2,20.997,5,3,13.436,5.014,3.151,5.77
18,31.303,No,Travel_Rarely,826.677,Research & Development,5.527,2,Marketing,1,1178.864,4,Male,9.602,2,2,Research Scientist,4,Single,11604.153,10120.021,1,Y,No,16.538,4,2,80,2,14.393,3,3,16.162,11.361,8.347,14.061
19,33.499,No,Travel_Rarely,658.659,Research & Development,9.357,4,Medical,1,1648.774,1,Male,42.177,3,1,Sales Executive,4,Divorced,1518.139,26152.805,9,Y,No,11.523,3,2,80,2,4.492,3,2,4.921,5.934,3.495,3.883
20,38.102,No,Travel_Rarely,933.399,Research & Development,16.559,2,Life Sciences,1,1316.768,4,Male,61.529,3,2,Sales Executive,4,Divorced,4427.181,14150.905,1,Y,No,17.315,4,4,80,0,1.519,6,3,4.603,0.501,-0.363,-1.957
21,38.819,No,Travel_Frequently,1206.871,Sales,4.78,3,Marketing,1,345.496,3,Male,87.271,1,3,Sales Executive,2,Single,10560.197,14615.401,0,Y,No,15.742,3,3,80,0,19.446,2,3,-0.178,-1.415,2.751,0.473
22,29.24,Yes,Travel_Frequently,1180.32,Human Resources,7.543,2,Other,1,391.504,3,Female,38.715,2,3,Manufacturing Director,4,Divorced,7265.078,18590.406,1,Y,No,13.885,3,4,80,0,8.756,3,4,13.259,7.634,3.056,5.421
