,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,48.34,No,Non-Travel,1346.58,Research & Development,8.538,2,Marketing,1,2102.046,1,Male,0.534,2,2,Laboratory Technician,1,Single,9389.73,22445.922,7,Y,No,10.913,3,2,80,2,18.19,1,2,6.073,7.763,7.619,10.86
1,24.598,Yes,Travel_Frequently,807.312,Sales,5.002,4,Life Sciences,1,738.398,4,Female,108.533,3,2,Sales Executive,2,Divorced,3806.449,16302.71,1,Y,Yes,16.203,3,3,80,1,11.539,3,3,17.374,9.986,9.699,4.132
2,42.304,No,Travel_Rarely,-207.81,Sales,-1.159,4,Medical,1,859.131,3,Female,73.703,3,2,Research Director,4,Single,8901.307,10497.309,0,Y,No,12.161,3,4,80,0,17.016,0,2,4.384,5.002,-0.099,7.189
3,42.832,Yes,Travel_Frequently,1334.743,Research & Development,8.439,3,Technical Degree,1,1115.88,4,Male,55.728,3,4,Laboratory Technician,1,Married,1226.413,19374.896,8,Y,No,6.943,3,1,80,0,10.331,2,4,8.308,0.818,-0.163,3.643
4,33.104,No,Travel_Frequently,683.582,Sales,0.08,3,Marketing,1,1090.108,3,Female,40.606,3,2,Sales Executive,3,Married,2645.416,10546.475,4,Y,No,13.52,3,3,80,1,5.993,3,1,2.918,1.946,-3.051,4.313
5,42.038,No,Travel_Rarely,523.364,Sales,-5.913,4,Medical,1,105.748,4,Male,48.394,3,3,Sales Executive,3,Single,4419.442,10292.704,9,Y,No,15.016,3,2,80,0,10.05,2,3,5.157,2.57,-1.266,1.848
6,38.826,No,Travel_Rarely,1624.032,Research & Development,15.275,4,Life Sciences,1,749.045,3,Female,74.659,3,1,Manufacturing Director,3,Married,6653.624,12334.514,3,Y,Yes,13.337,3,2,80,2,20.371,2,3,6.435,3.546,3.021,3.417
7,32.913,No,Travel_Frequently,401.766,Research & Development,18.151,3,Medical,1,1783.496,1,Male,72.494,3,4,Manufacturing Director,3,Divorced,9825.451,12414.634,1,Y,No,10.908,3,1,80,1,13.896,4,4,20.812,14.568,7.846,12.241
8,53.639,No,Travel_Rarely,748.396,Research & Development,0.234,3,Life Sciences,1,1696.297,3,Male,61.155,3,5,Laboratory Technician,1,Single,17042.514,-2487.854,2,Y,No,13.685,3,4,80,0,37.755,6,4,24.77,8.269,6.164,11.652
9,38.991,Yes,Travel_Rarely,800.531,Research & Development,7.553,3,Medical,1,1696.128,4,Female,55.227,3,1,Sales Executive,1,Married,6779.322,17211.238,2,Y,Yes,14.856,3,1,80,0,9.238,2,2,-0.988,0.173,-2.845,-0.574
10,38.178,No,Travel_Rarely,1146.153,Research & Development,5.328,5,Life Sciences,1,956.866,4,Female,30.926,3,2,Sales Executive,1,Divorced,8696.347,24934.441,0,Y,Yes,16.184,3,4,80,1,17.111,3,3,5.02,5.097,3.083,-0.519
11,35.431,No,Non-Travel,424.014,Research & Development,5.622,2,Life Sciences,1,937.899,4,Male,66.197,4,5,Human Resources,4,Married,11029.779,34095.477,6,Y,No,16.888,3,3,80,2,21.792,2,2,12.733,4.527,6.83,3.674
12,45.888,No,Travel_Frequently,1361.662,Research & Development,5.305,1,Marketing,1,1092.579,3,Male,59.664,3,1,Laboratory Technician,2,Divorced,11135.519,3899.665,7,Y,No,10.738,3,2,80,1,3.792,4,3,-4.865,-2.653,1.074,-1.75
13,35.412,No,Travel_Rarely,300.025,Sales,5.583,4,Medical,1,2305.322,2,Male,73.792,3,2,Sales Executive,2,Married,11899.402,13717.053,1,Y,No,20.206,3,3,80,2,16.022,5,3,10.928,6.315,2.643,6.111
14,46.647,No,Travel_Frequently,544.468,Sales,6.223,5,Marketing,1,1423.359,1,Female,72.883,3,5,Research Director,1,Single,16307.174,436.373,1,Y,No,16.565,3,2,80,1,31.423,2,3,13.125,12.788,7.013,7.701
15,42.627,Yes,Travel_Rarely,41.548,Research & Development,9.942,3,Medical,1,1308.551,3,Female,62.685,2,1,Research Scientist,4,Single,3428.06,14137.511,2,Y,No,17.658,4,3,80,0,15.911,3,3,3.756,1.248,2.579,-1.196
16,37.211,No,Travel_Rarely,578.384,Research & Development,-1.524,4,Marketing,1,1971.513,4,Male,49.938,2,1,Manager,4,Married,-685.882,2583.184,3,Y,No,21.075,4,4,80,0,5.601,6,3,-0.851,2.228,0.646,0.571
17,22.981,No,Travel_Rarely,521.078,Research & Development,2.346,2,Technical Degree,1,1036.213,3,Male,82.766,3,2,Sales Executive,2,Single,1753.762,8728.11,3,Y,No,20.047,4,1,80,0,4.602,3,3,8.45,8.047,1.284,5.285
18,46.515,No,Travel_Rarely,883.602,Research & Development,16.315,2,Human Resources,1,1648.739,2,Male,82.809,3,2,Laboratory Technician,3,Divorced,1504.406,17142.105,1,Y,No,13.697,3,2,80,0,9.411,2,4,-1.818,3.763,-1.449,1.502
19,58.217,No,Travel_Rarely,690.386,Research & Development,-8.956,2,Human Resources,1,-302.144,2,Male,68.318,1,2,Healthcare Representative,2,Married,25096.02,40158.766,2,Y,Yes,9.362,4,1,80,1,24.203,6,4,5.707,8.479,-1.263,-4.336
20,31.812,No,Travel_Rarely,209.123,Research & Development,5.484,3,Marketing,1,587.392,4,Female,11.426,3,2,Research Scientist,4,Single,1704.795,7938.665,0,Y,No,15.505,3,4,80,1,8.947,2,3,8.274,8.061,3.079,9.892
21,36.907,No,Travel_Frequently,1046.778,Sales,-10.355,4,Medical,1,1273.136,2,Female,69.953,3,2,Sales Executive,1,Married,6979.297,10978.573,1,Y,No,10.079,3,4,80,0,8.79,5,3,4.231,7.257,2.261,6.111
22,44.277,Yes,Travel_Frequently,548.951,Research & Development,19.634,3,Marketing,1,2808.518,1,Female,86.913,3,2,Laboratory Technician,4,Divorced,7067.336,13247.549,3,Y,Yes,17.153,4,3,80,1,13.57,6,3,21.147,6.935,-1.096,3.085
23,26.431,No,Travel_Rarely,113.822,Human Resources,4.163,3,Life Sciences,1,96.449,2,Male,96.788,3,4,Research Scientist,1,Married,5103.281,7151.494,3,Y,Yes,5.081,3,3,80,0,15.586,2,1,7.377,5.766,-0.345,5.441
24,23.686,No,Non-Travel,114.821,Research & Development,11.195,5,Medical,1,1853.468,4,Male,96.857,2,4,Manufacturing Director,2,Single,12306.332,28986.285,7,Y,No,26.841,4,4,80,1,-1.243,1,2,9.404,3.023,-3.046,6.514
25,45.715,No,Travel_Rarely,745.937,Human Resources,-1.671,3,Life Sciences,1,928.794,3,Male,73.808,2,4,Manager,2,Married,5443.448,18972.172,2,Y,Yes,13.249,3,3,80,0,6.138,2,4,-4.179,-0.954,-2.77,-2.826
26,37.982,Yes,Travel_Rarely,1116.38,Research & Development,8.06,2,Medical,1,321.259,4,Male,61.065,3,1,Manager,1,Divorced,-526.211,7227.2,0,Y,No,11.513,3,3,80,0,5.351,3,2,4.099,2.313,-3.817,3.338
27,37.088,No,Travel_Rarely,778.261,Research & Development,-4.305,2,Medical,1,724.771,1,Male,62.434,2,2,Healthcare Representative,1,Divorced,10748.977,21387.66,5,Y,No,14.04,3,2,80,1,15.18,3,3,0.855,2.602,-2.828,0.614
28,18.174,Yes,Travel_Frequently,561.528,Research & Development,23.722,3,Life Sciences,1,1502.134,3,Male,56.553,3,1,Research Scientist,2,Single,-8039.969,16455.512,1,Y,Yes,21.591,4,2,80,1,-6.847,0,3,5.242,6.573,-1.912,0.749
29,19.123,No,Travel_Rarely,829.634,Sales,7.223,2,Marketing,1,906.424,3,Male,51.769,2,5,Healthcare Representative,3,Single,5220.163,20859.793,1,Y,No,20.576,4,4,80,0,9.206,0,3,14.401,10.119,4.286,8.416
30,35.754,No,Travel_Frequently,653.919,Research & Development,9.317,2,Life Sciences,1,1296.134,4,Female,70.264,3,2,Research Scientist,1,Married,6396.432,19731.123,3,Y,Yes,18.099,4,3,80,1,19.98,3,2,10.293,7.314,4.309,7.722
31,42.428,No,Travel_Frequently,552.894,Research & Development,1.202,4,Medical,1,1024.586,4,Female,58.785,3,1,Research Scientist,4,Single,2755.409,-351.163,2,Y,No,16.532,3,2,80,0,7.167,3,3,6.135,2.92,-0.223,3.735
32,14.489,No,Travel_Rarely,397.59,Research & Development,17.525,3,Human Resources,1,1087.428,4,Male,117.117,3,2,Research Scientist,4,Single,-514.22,13080.573,1,Y,No,12.975,3,3,80,0,3.621,0,3,2.361,4.646,3.65,5.098
33,42.056,No,Travel_Frequently,388.703,Research & Development,3.765,3,Life Sciences,1,1319.0,4,Male,93.68,3,1,Laboratory Technician,1,Married,4954.406,7855.632,6,Y,Yes,7.693,3,3,80,1,8.829,3,3,-0.965,-1.146,2.313,-0.186
34,43.466,Yes,Travel_Frequently,608.464,Sales,16.017,4,Life Sciences,1,1763.111,2,Female,30.148,3,1,Research Director,1,Single,-1404.401,25397.15,2,Y,Yes,10.605,3,4,80,2,13.316,0,1,27.243,9.804,11.854,11.733
35,23.133,No,Travel_Rarely,282.086,Sales,2.298,1,Life Sciences,1,1513.528,4,Female,85.623,3,2,Research Scientist,3,Single,1321.914,13675.656,0,Y,No,14.269,3,3,80,0,-3.302,4,2,0.987,0.149,2.136,-2.311
36,36.637,No,Travel_Rarely,725.87,Research & Development,4.779,2,Technical Degree,1,1097.546,1,Male,53.604,3,1,Laboratory Technician,3,Divorced,1750.0,8570.717,3,Y,No,14.572,3,1,80,2,11.961,6,3,7.173,1.951,0.741,5.419
37,52.77,No,Travel_Rarely,821.43,Sales,32.764,4,Marketing,1,1428.157,4,Male,42.475,4,3,Research Scientist,3,Married,8456.545,16251.014,0,Y,No,24.868,4,1,80,3,28.918,3,3,22.819,13.246,4.595,12.01
38,22.782,Yes,Travel_Rarely,493.157,Research & Development,28.071,1,Life Sciences,1,702.173,3,Male,105.591,3,1,Research Scientist,1,Single,-100.541,24070.367,1,Y,No,13.03,3,2,80,0,0.529,3,3,4.421,4.365,-2.744,7.185
