Unnamed: 0,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,30,No,Travel_Rarely,1189,Research & Development,9,2,Life Sciences,1,1,Female,39,4,1,Laboratory Technician,1,Divorced,4064,3289,1,Y,No,17,4,3,80,2,6,3,3,5,0,0,0
1,18,Yes,Travel_Rarely,102,Sales,29,2,Medical,1,1,Male,100,1,2,Sales Executive,1,Married,1009,2094,7,Y,Yes,25,3,1,80,0,40,2,1,0,0,0,0
2,60,Yes,Travel_Rarely,1499,Sales,29,1,Medical,1,1,Female,30,3,2,Research Scientist,3,Married,1009,26999,3,Y,Yes,25,3,2,80,1,40,3,1,0,0,0,0
3,32,No,Travel_Rarely,1314,Sales,10,2,Medical,1,1,Male,50,3,1,Sales Representative,3,Single,2906,5751,1,Y,No,22,4,4,80,0,5,2,3,6,2,3,2
4,60,No,Travel_Rarely,102,Research & Development,29,4,Life Sciences,1,3,Male,30,4,5,Manager,4,Divorced,19999,2094,2,Y,No,11,3,4,80,1,40,3,2,40,18,15,17
5,60,No,Travel_Rarely,1499,Research & Development,29,3,Medical,1,4,Male,30,3,2,Manufacturing Director,4,Divorced,19999,2094,2,Y,No,11,3,3,80,1,40,2,2,0,0,15,0
6,60,No,Travel_Rarely,1499,Sales,1,4,Life Sciences,1,1,Male,100,3,4,Manager,4,Divorced,19999,2094,2,Y,No,11,3,3,80,1,40,2,2,32,0,15,0
7,60,Yes,Travel_Rarely,102,Sales,29,1,Medical,1,4,Male,100,3,2,Manufacturing Director,3,Married,1009,2094,7,Y,Yes,11,3,2,80,1,40,3,1,0,0,0,0
8,60,Yes,Travel_Rarely,102,Research & Development,29,4,Medical,1,1,Male,30,3,2,Manufacturing Director,3,Married,19999,2094,3,Y,No,11,3,2,80,1,40,3,1,0,0,0,0
9,32,No,Non-Travel,313,Sales,8,2,Life Sciences,1,3,Female,79,3,2,Sales Executive,1,Married,5113,19639,1,Y,No,13,3,2,80,2,8,2,2,7,4,11,7
10,60,Yes,Travel_Frequently,102,Research & Development,29,3,Medical,1,4,Male,30,3,2,Manufacturing Director,4,Divorced,19999,2094,2,Y,No,11,3,2,80,1,40,2,3,0,0,0,0
11,60,Yes,Travel_Rarely,102,Sales,29,1,Medical,1,1,Female,100,3,2,Manufacturing Director,3,Married,1009,2094,3,Y,Yes,11,3,2,80,1,40,3,1,0,0,0,0
12,60,No,Non-Travel,1499,Research & Development,1,4,Medical,1,3,Female,100,3,3,Healthcare Representative,4,Married,19999,26999,1,Y,No,25,4,1,80,1,40,3,1,40,18,0,17
13,60,Yes,Travel_Rarely,102,Research & Development,1,4,Medical,1,4,Female,30,3,3,Healthcare Representative,4,Married,1009,2094,1,Y,No,11,3,4,80,1,40,3,2,40,18,15,17
14,18,Yes,Travel_Rarely,102,Sales,29,4,Medical,1,1,Male,100,3,2,Sales Executive,1,Married,1009,2094,7,Y,Yes,11,3,1,80,0,40,2,1,0,0,0,0
15,18,Yes,Non-Travel,1499,Sales,29,3,Medical,1,4,Female,100,4,2,Research Scientist,3,Divorced,19999,2094,4,Y,No,11,3,1,80,1,40,2,2,0,0,0,0
16,60,No,Travel_Rarely,102,Research & Development,29,4,Life Sciences,1,4,Male,30,3,4,Manufacturing Director,4,Divorced,19999,2094,2,Y,No,11,3,4,80,1,40,2,2,40,0,15,0
17,60,Yes,Travel_Rarely,102,Research & Development,29,4,Medical,1,4,Female,30,4,4,Research Director,4,Single,1009,2094,2,Y,No,11,3,3,80,0,40,3,3,40,18,15,17
18,60,Yes,Travel_Rarely,1498,Sales,29,1,Medical,1,1,Female,30,1,1,Laboratory Technician,3,Married,1009,26999,3,Y,No,25,4,2,80,1,40,3,1,0,0,0,0
19,18,Yes,Travel_Rarely,102,Sales,29,1,Medical,1,1,Male,100,1,1,Sales Executive,1,Married,1009,2094,7,Y,Yes,11,3,1,80,0,40,2,1,0,0,0,0
20,41,No,Travel_Rarely,1149,Research & Development,1,3,Medical,1,3,Female,61,3,4,Healthcare Representative,4,Divorced,10457,14223,6,Y,No,16,3,2,80,1,18,2,2,6,5,2,2
21,60,Yes,Travel_Rarely,1499,Sales,29,1,Medical,1,1,Female,100,3,2,Research Scientist,3,Married,1009,26999,3,Y,Yes,11,4,2,80,1,40,3,1,0,0,0,0
22,60,Yes,Travel_Rarely,102,Sales,29,1,Medical,1,4,Male,100,3,2,Research Scientist,3,Married,1009,2094,7,Y,Yes,11,3,2,80,1,40,3,1,0,0,0,0
23,59,Yes,Travel_Frequently,102,Research & Development,29,1,Medical,1,4,Female,88,3,3,Manufacturing Director,4,Single,6978,2094,3,Y,No,11,3,2,80,1,40,3,2,40,18,15,17
24,18,Yes,Travel_Rarely,102,Sales,29,4,Medical,1,1,Male,99,3,2,Sales Executive,1,Married,1009,2094,7,Y,Yes,11,3,1,80,1,40,2,1,0,0,0,0
25,60,Yes,Travel_Rarely,102,Sales,29,1,Medical,1,4,Male,100,3,2,Manufacturing Director,3,Married,1009,2154,7,Y,Yes,11,3,2,80,1,40,3,1,0,0,0,0
26,28,No,Travel_Rarely,1259,Research & Development,1,4,Medical,1,3,Female,56,4,1,Research Scientist,3,Divorced,2526,10641,1,Y,No,13,3,3,80,3,6,3,2,4,3,5,3
27,60,Yes,Travel_Rarely,1499,Sales,29,1,Medical,1,1,Female,100,3,2,Manufacturing Director,3,Married,1009,26999,3,Y,No,11,3,2,80,1,40,3,1,0,0,0,0
28,60,Yes,Travel_Rarely,102,Research & Development,29,4,Medical,1,4,Female,30,4,3,Healthcare Representative,4,Married,1009,2094,1,Y,No,11,3,4,80,0,40,3,2,40,18,15,17
29,60,No,Travel_Rarely,102,Research & Development,29,3,Medical,1,1,Male,30,3,3,Manufacturing Director,3,Single,1009,26999,1,Y,Yes,25,4,2,80,0,40,2,3,40,0,0,0
30,60,Yes,Travel_Rarely,102,Research & Development,29,4,Medical,1,4,Female,30,3,3,Healthcare Representative,4,Married,1009,2094,1,Y,No,11,3,4,80,1,40,3,2,40,18,15,17
31,60,Yes,Travel_Rarely,102,Research & Development,29,3,Medical,1,4,Male,30,3,2,Manufacturing Director,4,Divorced,19999,2094,2,Y,No,11,3,4,80,1,40,2,2,0,0,15,0
32,18,Yes,Travel_Rarely,102,Research & Development,29,1,Medical,1,1,Male,100,3,3,Laboratory Technician,3,Single,1009,26999,1,Y,Yes,25,3,2,80,1,40,0,3,40,0,0,17
33,30,No,Travel_Rarely,645,Sales,15,3,Technical Degree,1,3,Female,57,2,2,Sales Executive,3,Divorced,6697,23599,1,Y,Yes,11,3,4,80,2,9,2,3,8,6,0,7
34,60,Yes,Travel_Rarely,102,Sales,29,1,Medical,1,4,Male,100,3,2,Laboratory Technician,3,Married,1009,2094,3,Y,Yes,11,3,2,80,1,40,3,1,0,0,0,0
35,60,No,Travel_Rarely,102,Research & Development,29,4,Life Sciences,1,3,Male,30,3,4,Manager,4,Divorced,19999,2094,1,Y,No,11,3,4,80,1,40,3,2,40,18,15,17
36,60,Yes,Travel_Rarely,102,Research & Development,29,4,Medical,1,4,Female,30,4,4,Healthcare Representative,4,Single,1009,2094,1,Y,No,25,4,4,80,0,40,3,3,40,18,15,17
