,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,36.083,Yes,Travel_Frequently,367.392,Research & Development,0.983,4,Other,1,1889.378,1,Male,80.27,3,2,Manufacturing Director,3,Single,5514.435,25956.165,4,Y,Yes,13.016,3,4,80,0,5.114,6,3,1.507,3.884,2.188,2.07
1,42.021,No,Travel_Rarely,220.588,Sales,14.598,4,Marketing,1,1985.614,4,Male,64.557,3,3,Sales Executive,1,Single,2002.028,20642.003,6,Y,No,10.234,3,2,80,1,15.145,2,3,0.806,7.27,2.964,1.752
2,42.6,Yes,Travel_Rarely,1282.705,Research & Development,22.345,2,Medical,1,615.334,4,Male,98.197,3,2,Sales Executive,4,Married,9687.573,22252.272,4,Y,Yes,14.829,3,2,80,0,11.943,5,3,3.881,1.014,-0.364,1.252
3,39.668,Yes,Travel_Frequently,-213.365,Research & Development,28.356,2,Life Sciences,1,14.324,3,Male,74.102,3,1,Sales Executive,1,Single,5236.162,9138.855,4,Y,No,17.86,4,4,80,1,10.924,1,1,3.122,3.145,3.02,1.716
4,36.38,Yes,Travel_Rarely,523.661,Sales,10.324,3,Medical,1,1159.921,3,Male,60.584,3,2,Healthcare Representative,1,Married,10805.13,17819.214,4,Y,No,17.282,3,3,80,0,10.286,2,3,4.455,-0.405,2.963,5.799
5,26.917,No,Travel_Rarely,623.293,Sales,7.009,2,Other,1,1205.317,4,Female,27.706,2,1,Laboratory Technician,4,Single,2275.984,24364.161,3,Y,Yes,15.434,3,4,80,0,7.33,2,3,-1.364,4.915,-1.381,1.191
6,37.403,Yes,Travel_Rarely,1290.476,Research & Development,21.11,3,Marketing,1,953.487,1,Male,79.188,3,2,Healthcare Representative,3,Single,6167.994,14550.672,1,Y,Yes,13.0,3,4,80,1,9.379,6,1,6.68,2.921,-5.243,0.189
7,27.093,No,Travel_Rarely,1221.617,Research & Development,-1.114,2,Life Sciences,1,683.336,3,Male,58.215,4,2,Healthcare Representative,1,Single,6184.666,11339.873,0,Y,No,21.429,3,1,80,0,17.929,2,2,7.196,11.513,1.858,6.33
8,51.905,No,Travel_Rarely,1262.955,Sales,24.289,4,Medical,1,621.043,4,Male,78.631,3,1,Sales Executive,4,Married,1927.04,14848.349,3,Y,No,18.623,3,3,80,0,17.648,1,4,14.128,9.423,-2.147,-0.014
9,41.601,No,Travel_Rarely,842.588,Research & Development,1.816,2,Medical,1,378.762,3,Male,46.095,3,1,Human Resources,1,Single,8327.89,10695.262,0,Y,No,12.218,4,1,80,0,14.49,2,4,21.337,6.512,2.847,5.672
