,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,37.842,No,Travel_Rarely,1058.399,Research & Development,5.722,2,Medical,1,698.22,3,Female,86.244,4,1,Human Resources,4,Divorced,2808.103,19409.291,1,Y,No,11.125,3,1,80,0,12.016,4,3,8.895,0.08,7.198,-1.724
1,27.803,No,Travel_Rarely,1288.581,Research & Development,10.837,2,Other,1,1645.236,3,Male,46.94,3,1,Sales Representative,2,Married,2524.226,15136.682,0,Y,No,17.842,4,1,80,0,4.588,3,4,1.14,1.454,1.495,1.324
2,33.345,No,Travel_Frequently,859.911,Research & Development,5.43,4,Medical,1,1753.421,3,Female,83.818,2,1,Sales Representative,2,Single,1863.217,14225.524,1,Y,No,12.304,3,3,80,0,9.16,3,1,0.011,-4.498,0.013,0.0
3,43.11,No,Non-Travel,692.354,Research & Development,4.897,3,Other,1,482.115,3,Female,44.628,3,2,Research Scientist,4,Divorced,3671.59,8280.369,4,Y,No,14.165,3,3,80,3,15.4,2,3,8.875,9.228,6.325,4.73
4,37.601,No,Travel_Rarely,-76.38,Research & Development,15.531,4,Other,1,1236.912,4,Male,46.402,3,2,Manufacturing Director,2,Married,9762.419,9959.099,3,Y,Yes,18.298,3,4,80,1,19.745,3,4,4.317,0.376,-0.354,2.945
5,59.893,No,Travel_Rarely,384.021,Sales,14.182,2,Medical,1,963.362,1,Male,70.024,3,4,Manager,2,Married,14595.801,17535.656,4,Y,No,14.356,3,4,80,1,22.643,3,3,19.145,0.339,2.709,11.852
6,41.271,No,Travel_Rarely,1105.248,Research & Development,6.699,5,Medical,1,1940.565,1,Male,86.331,4,1,Manager,2,Married,5445.694,-3111.619,1,Y,No,12.615,3,1,80,1,17.157,3,3,6.209,3.54,-0.877,3.114
7,37.142,No,Travel_Frequently,1812.888,Research & Development,10.575,5,Life Sciences,1,414.601,2,Male,53.872,3,2,Manufacturing Director,4,Single,6874.301,22530.465,1,Y,No,12.059,3,3,80,0,12.314,3,3,12.171,1.605,8.073,3.67
8,23.481,No,Travel_Rarely,1096.888,Research & Development,8.354,1,Life Sciences,1,639.166,3,Female,44.102,2,2,Manufacturing Director,1,Divorced,2246.899,21001.879,1,Y,No,17.158,3,2,80,3,2.5,6,3,0.956,-0.371,-1.085,1.945
9,37.011,No,Travel_Rarely,981.604,Research & Development,13.228,3,Life Sciences,1,1145.477,4,Male,87.915,3,2,Manager,4,Married,13916.55,28501.629,1,Y,No,20.334,4,3,80,2,15.206,1,2,14.512,9.149,11.837,14.001
10,36.461,No,Travel_Frequently,1247.024,Sales,3.443,4,Life Sciences,1,828.756,2,Male,44.301,3,1,Sales Executive,4,Divorced,1230.368,20316.089,4,Y,No,11.724,4,4,80,3,12.705,6,4,1.765,1.933,2.753,3.965
11,28.553,No,Travel_Rarely,408.36,Sales,15.813,2,Life Sciences,1,1219.263,4,Female,85.227,2,1,Sales Executive,4,Single,4576.732,18062.49,0,Y,Yes,12.654,3,3,80,1,8.032,5,2,8.763,5.622,1.301,8.443
