,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,35.0,No,Travel_Rarely,1065.0,Research & Development,17.0,3,Life Sciences,1,4,Female,68.0,3,2,Laboratory Technician,4,Single,5011.0,8983.0,4,Y,Yes,13.0,3,4,80,0,9.0,2,3,2.0,2.0,2.0,2.0
1,26.0,Yes,Travel_Rarely,1302.0,Sales,9.0,4,Marketing,1,3,Male,76.0,3,1,Sales Representative,1,Single,5623.0,8658.0,3,Y,No,16.0,3,3,80,0,7.0,3,3,3.0,1.0,3.0,3.0
2,32.0,No,Travel_Frequently,1044.0,Sales,19.0,4,Medical,1,3,Male,55.0,1,1,Sales Representative,3,Single,4633.0,5652.0,1,Y,No,19.0,4,2,80,2,9.0,2,3,11.0,7.0,2.0,5.0
3,38.0,No,Travel_Rarely,555.0,Research & Development,26.0,3,Life Sciences,1,4,Female,70.0,3,3,Research Director,2,Divorced,7291.0,18462.0,4,Y,No,16.0,3,3,80,2,7.0,2,4,11.0,5.0,1.0,13.0
4,44.0,No,Travel_Rarely,877.0,Research & Development,16.0,2,Technical Degree,1,2,Male,76.0,4,4,Manufacturing Director,4,Single,11301.0,14689.0,1,Y,Yes,13.0,3,4,80,1,21.0,4,2,0.0,6.0,2.0,7.0
5,36.0,No,Travel_Rarely,1162.0,Research & Development,9.0,3,Medical,1,4,Male,90.0,3,3,Sales Executive,4,Divorced,12330.0,19007.0,1,Y,No,13.0,3,4,80,1,28.0,4,3,25.0,6.0,0.0,7.0
6,20.0,No,Travel_Frequently,189.0,Research & Development,13.0,2,Other,1,1,Female,33.0,2,2,Manufacturing Director,3,Divorced,4913.0,19171.0,4,Y,No,12.0,3,3,80,0,5.0,3,4,1.0,0.0,2.0,1.0
7,32.0,No,Travel_Rarely,784.0,Research & Development,7.0,2,Life Sciences,1,4,Female,83.0,2,1,Research Scientist,4,Divorced,3018.0,16388.0,0,Y,No,11.0,3,3,80,2,14.0,3,2,7.0,3.0,6.0,0.0
8,49.0,No,Travel_Rarely,678.0,Sales,6.0,3,Medical,1,3,Female,32.0,3,4,Manager,3,Single,9074.0,22556.0,4,Y,No,18.0,3,3,80,0,6.0,2,4,8.0,8.0,7.0,8.0
9,49.0,No,Travel_Rarely,911.0,Research & Development,3.0,3,Life Sciences,1,2,Female,45.0,2,1,Manufacturing Director,1,Married,4540.0,18249.0,9,Y,Yes,13.0,3,4,80,1,3.0,2,4,2.0,0.0,1.0,2.0
10,39.0,No,Travel_Rarely,470.0,Sales,2.0,4,Life Sciences,1,4,Female,41.0,3,2,Manufacturing Director,3,Single,6229.0,17087.0,6,Y,No,15.0,3,1,80,0,17.0,1,3,3.0,3.0,2.0,3.0
11,34.0,No,Travel_Rarely,998.0,Sales,2.0,3,Technical Degree,1,4,Male,56.0,3,2,Research Director,4,Single,5081.0,4623.0,1,Y,No,19.0,3,3,80,0,14.0,5,3,2.0,6.0,4.0,5.0
12,49.0,No,Travel_Rarely,983.0,Research & Development,5.0,4,Medical,1,2,Male,69.0,3,3,Sales Executive,2,Married,8417.0,11217.0,6,Y,No,12.0,3,4,80,1,21.0,1,3,2.0,5.0,1.0,2.0
13,20.0,No,Travel_Rarely,1095.0,Research & Development,10.0,3,Medical,1,3,Female,92.0,3,1,Laboratory Technician,4,Single,2462.0,11396.0,2,Y,No,14.0,3,3,80,0,4.0,3,2,2.0,0.0,1.0,1.0
14,32.0,No,Non-Travel,1101.0,Research & Development,4.0,1,Medical,1,3,Male,53.0,3,3,Research Director,3,Married,12246.0,10325.0,0,Y,Yes,21.0,3,4,80,0,13.0,2,2,18.0,6.0,1.0,4.0
15,45.0,No,Travel_Rarely,444.0,Research & Development,11.0,2,Life Sciences,1,4,Male,85.0,4,5,Research Director,1,Divorced,16493.0,14546.0,7,Y,Yes,15.0,3,4,80,0,24.0,3,3,8.0,5.0,2.0,6.0
16,29.0,No,Travel_Frequently,1164.0,Sales,5.0,2,Medical,1,1,Male,59.0,2,1,Laboratory Technician,3,Married,2993.0,16416.0,0,Y,Yes,17.0,3,4,80,0,6.0,1,3,5.0,1.0,1.0,2.0
17,44.0,Yes,Travel_Rarely,1075.0,Sales,4.0,1,Marketing,1,4,Female,94.0,3,2,Sales Executive,1,Divorced,1535.0,9403.0,2,Y,No,13.0,4,3,80,0,8.0,1,3,3.0,2.0,1.0,2.0
18,26.0,No,Travel_Rarely,144.0,Research & Development,4.0,3,Life Sciences,1,2,Male,35.0,3,2,Human Resources,2,Married,5168.0,22303.0,1,Y,No,17.0,3,3,80,1,4.0,3,3,2.0,2.0,0.0,2.0
19,34.0,No,Travel_Rarely,322.0,Sales,9.0,3,Medical,1,3,Male,32.0,3,3,Manager,4,Married,7293.0,24750.0,0,Y,No,16.0,4,4,80,0,15.0,4,3,12.0,10.0,4.0,6.0
20,34.0,No,Travel_Rarely,404.0,Human Resources,21.0,1,Human Resources,1,3,Female,72.0,3,2,Human Resources,4,Married,15488.0,6007.0,1,Y,No,17.0,3,4,80,0,8.0,2,3,14.0,1.0,4.0,1.0
