,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,49,Yes,Travel_Rarely,852,Sales,29,2,Medical,1,13859660,1,Female,45,2,1,Sales Executive,3,Married,7680,13297,1,Y,No,15,3,1,80,0,0,3,4,0,0,0,5
1,38,Yes,Travel_Frequently,511,Research & Development,4,2,Medical,1,10827474,3,Male,30,1,2,Healthcare Representative,3,Married,18233,13084,1,Y,No,11,3,3,80,0,0,3,2,4,0,1,6
2,38,No,Travel_Rarely,1249,Human Resources,9,3,Medical,1,1622532,1,Female,35,2,1,Laboratory Technician,2,Single,16157,15473,2,Y,No,14,3,4,80,1,0,3,3,2,4,0,7
3,46,No,Travel_Rarely,1499,Sales,11,1,Life Sciences,1,3071196,3,Female,97,3,2,Sales Executive,4,Divorced,2519,2094,1,Y,No,12,3,1,80,0,13,2,3,1,12,1,8
4,22,No,Travel_Rarely,887,Sales,9,3,Medical,1,13477013,3,Female,36,3,1,Sales Executive,1,Single,1844,15707,1,Y,No,21,3,3,80,0,1,1,2,25,2,1,7
5,32,No,Travel_Rarely,1377,Sales,12,2,Technical Degree,1,5500864,1,Male,43,3,3,Manager,3,Single,5027,13405,0,Y,No,11,3,3,80,0,2,3,1,4,1,0,6
6,30,Yes,Travel_Rarely,973,Research & Development,26,4,Marketing,1,8739423,2,Female,30,2,2,Research Director,1,Single,19999,16799,0,Y,No,20,3,3,80,1,12,3,2,11,6,1,2
7,46,Yes,Travel_Frequently,1499,Sales,14,4,Life Sciences,1,13474416,4,Female,96,3,1,Human Resources,3,Single,2107,2094,1,Y,No,11,3,4,80,3,21,1,3,5,0,0,2
8,48,No,Travel_Rarely,1437,Research & Development,10,4,Medical,1,5601941,4,Male,79,2,2,Sales Representative,2,Single,19096,3996,1,Y,No,13,3,1,80,0,7,2,3,4,0,1,5
9,44,No,Travel_Frequently,539,Human Resources,15,4,Medical,1,11208626,3,Male,91,2,2,Sales Executive,3,Single,1487,22181,6,Y,Yes,13,3,1,80,3,2,2,3,5,1,0,4
10,42,No,Travel_Frequently,1499,Research & Development,19,2,Life Sciences,1,14618130,4,Female,30,3,2,Research Scientist,4,Married,2654,2434,0,Y,Yes,13,3,3,80,1,6,1,3,3,1,2,6
11,39,Yes,Travel_Frequently,1386,Research & Development,24,4,Medical,1,9367605,1,Male,76,3,5,Sales Executive,4,Single,7458,20392,1,Y,No,17,3,2,80,3,0,4,2,4,0,1,16
12,40,Yes,Travel_Rarely,1499,Sales,15,3,Medical,1,8484551,4,Female,54,2,4,Sales Executive,4,Single,9031,10224,4,Y,No,12,3,2,80,0,2,3,3,4,1,0,2
13,60,No,Travel_Rarely,1318,Sales,18,4,Medical,1,430584,4,Female,74,4,2,Human Resources,2,Single,5933,25213,8,Y,No,18,4,4,80,1,4,5,3,7,1,10,3
14,30,No,Travel_Rarely,1211,Research & Development,28,1,Other,1,7083096,4,Male,44,2,4,Sales Executive,4,Divorced,16534,10970,1,Y,No,14,3,1,80,1,0,2,2,9,0,1,3
15,18,No,Travel_Frequently,1030,Research & Development,16,3,Medical,1,9750392,3,Male,46,3,1,Manager,3,Married,16449,18150,0,Y,Yes,13,3,4,80,2,0,1,3,0,2,10,7
16,40,No,Travel_Frequently,1301,Sales,9,3,Life Sciences,1,2482635,2,Female,39,4,1,Sales Representative,2,Divorced,2842,10877,8,Y,No,11,3,1,80,1,5,3,2,5,1,0,10
17,22,No,Travel_Rarely,729,Sales,29,3,Medical,1,221424,2,Female,89,1,3,Sales Executive,1,Divorced,2957,20890,9,Y,No,11,3,2,80,1,1,2,2,13,1,1,2
18,43,Yes,Travel_Frequently,1499,Research & Development,5,4,Life Sciences,1,14833524,4,Male,45,1,1,Healthcare Representative,1,Single,3115,25895,1,Y,No,11,3,2,80,1,3,5,3,4,0,2,9
19,45,Yes,Travel_Frequently,387,Sales,26,3,Technical Degree,1,6129504,2,Female,57,2,2,Sales Executive,4,Single,2992,4792,6,Y,No,11,3,1,80,0,0,3,3,0,0,0,8
20,24,No,Travel_Rarely,1416,Sales,4,1,Life Sciences,1,8767128,4,Male,61,3,1,Sales Executive,4,Single,3806,2094,1,Y,Yes,11,3,1,80,0,0,3,3,16,0,0,7
