,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,51,No,Travel_Rarely,963,Human Resources,29,4,Medical,1,592,3,Female,83,4,2,Healthcare Representative,3,Single,16290,13217,0,Y,No,11,4,3,80,0,2,0,2,4,3,1,0
1,50,No,Travel_Rarely,389,Human Resources,2,2,Medical,1,899,1,Female,77,4,1,Laboratory Technician,2,Single,2948,10177,5,Y,No,19,4,3,80,3,17,4,4,0,6,1,5
2,38,No,Travel_Frequently,291,Sales,15,2,Life Sciences,1,1641,2,Female,65,3,5,Sales Executive,3,Single,1352,12190,0,Y,Yes,24,4,3,80,1,8,1,2,6,7,0,1
3,32,No,Travel_Rarely,564,Research & Development,13,2,Life Sciences,1,746,2,Female,65,1,5,Laboratory Technician,4,Single,2549,22122,0,Y,Yes,15,3,2,80,3,2,6,2,10,2,1,5
4,20,No,Travel_Frequently,1426,Sales,9,4,Medical,1,1912,4,Male,79,2,4,Sales Representative,4,Divorced,5467,13438,1,Y,Yes,15,4,1,80,3,13,4,2,25,13,1,7
5,35,Yes,Travel_Rarely,680,Sales,2,3,Life Sciences,1,1025,4,Male,35,3,2,Laboratory Technician,1,Divorced,1346,18697,1,Y,No,13,4,1,80,0,6,1,2,4,3,2,1
6,53,No,Travel_Rarely,879,Sales,28,3,Life Sciences,1,550,4,Male,60,2,2,Research Scientist,1,Single,4673,21372,1,Y,No,14,3,1,80,0,5,0,3,8,1,2,1
7,27,No,Travel_Rarely,1142,Human Resources,8,5,Medical,1,1457,4,Female,44,3,5,Laboratory Technician,4,Married,2163,5574,0,Y,Yes,14,4,2,80,1,3,6,2,8,2,2,5
8,44,No,Travel_Rarely,1091,Sales,4,4,Medical,1,1719,4,Female,63,1,3,Research Director,2,Divorced,18352,2234,0,Y,Yes,14,4,3,80,3,34,0,1,22,3,2,10
9,33,No,Travel_Rarely,405,Research & Development,1,1,Life Sciences,1,1679,2,Female,53,3,5,Manager,3,Married,16318,25151,3,Y,No,11,3,3,80,2,19,6,1,4,8,2,0
10,50,No,Travel_Rarely,1344,Research & Development,18,3,Medical,1,1766,1,Female,39,2,3,Manufacturing Director,1,Single,8623,4978,4,Y,No,13,4,3,80,0,9,1,3,5,1,0,1
11,23,No,Non-Travel,1311,Sales,1,5,Marketing,1,1655,4,Male,49,2,1,Research Scientist,1,Divorced,4145,12353,1,Y,Yes,11,3,4,80,0,4,5,1,9,0,0,3
12,20,No,Travel_Rarely,1202,Human Resources,5,2,Marketing,1,988,3,Male,60,1,1,Human Resources,1,Divorced,1528,25378,1,Y,Yes,18,4,1,80,0,3,6,3,3,7,5,5
13,44,No,Travel_Rarely,471,Sales,1,5,Medical,1,381,2,Male,63,3,3,Laboratory Technician,3,Divorced,2947,18457,1,Y,No,16,4,1,80,3,5,2,3,5,4,2,1
14,32,No,Travel_Rarely,1121,Sales,2,1,Human Resources,1,1299,4,Female,100,2,2,Healthcare Representative,2,Married,15202,12973,3,Y,No,19,3,3,80,0,24,4,4,0,2,1,5
15,43,No,Travel_Rarely,592,Sales,2,3,Life Sciences,1,1410,4,Female,42,4,2,Sales Representative,1,Married,2452,15798,9,Y,No,14,3,2,80,1,38,4,2,7,5,9,7
16,38,No,Non-Travel,682,Sales,2,5,Medical,1,1868,1,Male,91,2,5,Manufacturing Director,4,Single,2774,25505,2,Y,No,12,4,4,80,1,33,5,4,5,1,1,7
17,40,No,Travel_Rarely,627,Human Resources,2,2,Medical,1,1269,1,Female,31,2,5,Manager,2,Divorced,7436,15447,5,Y,No,14,4,1,80,2,16,3,1,30,12,5,0
18,56,No,Travel_Rarely,1175,Human Resources,1,2,Life Sciences,1,1550,3,Female,37,2,5,Manufacturing Director,1,Divorced,15465,19831,1,Y,Yes,14,3,2,80,0,9,1,1,3,1,0,7
19,34,Yes,Non-Travel,180,Human Resources,1,1,Life Sciences,1,49,1,Male,98,3,3,Research Scientist,4,Single,4104,11984,9,Y,Yes,13,3,3,80,0,6,4,2,0,6,1,1
20,38,No,Travel_Rarely,189,Research & Development,18,4,Life Sciences,1,1247,2,Female,80,4,2,Human Resources,4,Divorced,2629,20306,1,Y,No,14,4,1,80,3,5,1,2,9,1,1,4
21,45,No,Travel_Rarely,1268,Research & Development,15,5,Life Sciences,1,908,1,Female,81,3,2,Healthcare Representative,3,Married,4003,8092,7,Y,No,11,3,3,80,2,12,3,3,2,5,0,5
22,37,Yes,Travel_Rarely,167,Sales,5,1,Technical Degree,1,355,2,Female,71,3,4,Research Scientist,4,Divorced,3285,14073,0,Y,No,14,3,3,80,0,3,0,3,1,8,2,3
23,59,No,Travel_Frequently,925,Sales,29,4,Medical,1,192,1,Female,82,3,3,Sales Executive,3,Divorced,2652,3882,1,Y,Yes,14,4,3,80,2,11,1,2,4,1,0,4
24,18,No,Travel_Rarely,930,Sales,17,4,Medical,1,1995,3,Male,31,1,3,Human Resources,1,Single,5626,20518,0,Y,Yes,13,3,2,80,0,2,4,2,6,2,2,1
25,27,No,Travel_Rarely,422,Human Resources,28,3,Marketing,1,2029,2,Male,47,4,5,Sales Executive,1,Divorced,2416,11072,0,Y,No,12,4,3,80,0,12,6,1,10,0,1,12
26,45,No,Travel_Rarely,1027,Human Resources,1,5,Medical,1,515,1,Female,93,3,5,Research Scientist,2,Divorced,3167,9416,9,Y,Yes,14,4,4,80,2,5,6,2,0,2,1,3
