,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,31,No,Travel_Rarely,1364,Human Resources,8,3,Medical,1,13859660,3,Male,30,3,1,Human Resources,2,Married,3123,6902,0,Y,No,12,3,3,80,1,10,3,3,6,2,0,0
1,55,No,Travel_Rarely,1309,Sales,9,3,Life Sciences,1,10827474,3,Female,77,3,3,Sales Executive,4,Married,11349,21309,3,Y,No,11,3,3,80,1,12,2,3,4,4,1,3
2,54,No,Travel_Rarely,1340,Research & Development,12,3,Life Sciences,1,1622532,3,Female,85,3,3,Healthcare Representative,3,Divorced,10479,24692,1,Y,No,13,3,3,80,1,30,3,3,17,8,3,8
3,38,No,Travel_Rarely,1380,Sales,9,3,Life Sciences,1,3071196,3,Female,71,3,3,Sales Executive,4,Married,12051,25681,3,Y,No,12,3,3,80,1,10,3,3,6,7,0,4
4,31,No,Travel_Rarely,1405,Research & Development,5,3,Medical,1,13477013,3,Male,84,3,1,Research Scientist,2,Married,2237,26952,1,Y,No,20,3,3,80,0,10,3,3,6,3,1,4
5,52,No,Travel_Rarely,1381,Sales,7,4,Life Sciences,1,5500864,4,Male,68,3,3,Sales Executive,3,Married,10621,20968,1,Y,No,13,3,4,80,1,10,3,3,12,7,6,7
6,32,No,Travel_Rarely,1499,Research & Development,9,3,Life Sciences,1,8739423,4,Male,94,3,1,Laboratory Technician,3,Married,2954,23829,1,Y,No,11,3,3,80,1,9,2,3,12,8,0,8
7,52,No,Travel_Rarely,428,Research & Development,10,3,Life Sciences,1,13474416,3,Female,62,3,4,Research Director,2,Married,9302,21992,1,Y,No,13,3,4,80,0,40,3,3,12,9,14,7
8,32,No,Travel_Rarely,1244,Research & Development,2,3,Medical,1,5601941,3,Male,53,3,1,Research Scientist,4,Single,3952,24047,0,Y,No,18,3,3,80,0,5,2,3,5,5,1,4
9,39,No,Travel_Rarely,1453,Research & Development,2,3,Life Sciences,1,11208626,3,Male,47,3,2,Manufacturing Director,4,Married,4807,4201,3,Y,No,18,3,3,80,1,5,2,3,7,3,1,3
