,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,36.402,No,Travel_Rarely,934.57,Sales,3.382,3.149,Life Sciences,0.617,-34.69,3.068,Male,49.354,2.531,3.274,Sales Executive,2.642,Married,7771.608,6634.968,4.031,Y,Yes,15.334,3.706,1.259,80.266,0.749,11.188,2.297,2.447,8.824,6.97,-0.086,4.871
1,40.178,No,Travel_Frequently,301.037,Sales,8.294,2.898,Life Sciences,0.92,2340.631,3.598,Male,51.418,3.446,2.448,Manufacturing Director,2.947,Married,978.816,18370.16,4.866,Y,Yes,14.827,3.115,3.653,79.622,1.349,16.503,2.631,3.356,16.162,12.414,7.078,9.062
2,35.817,No,Travel_Rarely,502.253,Sales,11.636,3.379,Life Sciences,0.702,1763.974,1.736,Female,41.636,3.171,1.737,Sales Executive,4.484,Married,3142.952,18603.068,2.965,Y,No,16.048,3.34,2.312,79.979,1.338,6.394,0.978,2.385,5.297,4.446,2.598,1.68
3,34.679,No,Travel_Rarely,1082.549,Research & Development,11.036,2.76,Marketing,1.182,797.524,3.402,Female,49.804,3.096,1.784,Sales Executive,3.808,Married,7406.906,10898.201,0.652,Y,No,15.137,3.256,3.065,79.945,0.525,11.168,5.623,2.511,12.693,4.723,3.01,5.801
4,35.247,No,Travel_Rarely,970.026,Research & Development,3.077,1.87,Technical Degree,0.884,1662.53,4.775,Female,25.825,2.166,2.62,Manufacturing Director,2.477,Single,6479.938,20232.76,4.09,Y,No,16.751,2.983,2.015,79.96,0.459,2.933,2.7,2.283,3.929,3.293,2.739,3.391
5,34.295,No,Travel_Frequently,854.699,Research & Development,0.647,1.03,Medical,0.524,791.977,3.541,Female,42.77,3.432,0.966,Research Director,2.676,Married,3054.551,18804.277,0.074,Y,Yes,17.472,3.214,3.21,80.246,1.355,6.843,2.132,3.915,4.97,6.819,0.896,5.466
6,32.525,No,Travel_Rarely,885.359,Research & Development,3.849,2.007,Technical Degree,0.711,1343.963,4.568,Female,68.938,3.31,1.482,Research Scientist,1.095,Divorced,1984.388,5959.816,7.287,Y,No,15.572,3.069,2.251,80.026,2.48,0.315,2.336,2.391,4.5,5.704,-0.545,2.327
7,35.556,No,Travel_Rarely,904.625,Sales,2.663,3.348,Technical Degree,1.252,892.223,2.677,Male,69.182,2.359,2.516,Sales Executive,3.841,Divorced,7472.328,14187.884,0.932,Y,No,9.777,2.789,2.824,80.044,0.459,6.197,2.754,3.159,5.568,6.537,-0.345,2.686
8,49.949,No,Travel_Rarely,1303.426,Sales,2.909,4.102,Life Sciences,0.903,116.929,1.957,Male,81.174,2.638,3.023,Laboratory Technician,1.002,Single,15047.053,-834.419,7.89,Y,No,14.281,3.074,1.807,79.866,-0.567,22.256,1.077,1.673,4.939,4.653,1.62,5.543
9,41.543,No,Travel_Rarely,1108.808,Research & Development,9.529,3.1,Marketing,0.977,544.569,1.668,Male,86.091,2.132,1.606,Research Scientist,2.35,Married,6217.375,5503.16,3.37,Y,No,15.947,3.101,4.103,80.244,1.71,9.507,2.907,3.492,5.823,7.25,1.379,2.221
10,38.338,No,Travel_Rarely,1506.817,Research & Development,14.696,3.035,Medical,1.212,1246.124,2.432,Female,94.173,2.246,2.169,Sales Executive,4.051,Single,8211.434,25261.04,2.349,Y,No,16.556,2.954,1.485,80.325,-0.072,20.079,3.552,3.783,9.445,5.426,0.466,7.314
11,24.054,No,Travel_Rarely,1002.661,Sales,2.562,3.037,Medical,1.038,964.499,2.506,Female,87.187,3.039,2.306,Sales Executive,3.925,Single,6998.026,12447.288,3.656,Y,No,12.479,2.813,2.586,79.351,0.26,4.238,3.226,3.425,2.763,0.11,0.267,-1.884
12,41.22,No,Travel_Frequently,983.208,Research & Development,9.892,3.036,Marketing,1.055,1300.641,0.825,Female,31.752,2.35,1.14,Laboratory Technician,3.186,Single,3245.986,9205.833,1.531,Y,No,15.443,3.322,1.759,80.214,0.946,12.187,2.2,2.83,-1.047,-0.36,-0.37,1.054
13,39.325,No,Travel_Rarely,1415.248,Research & Development,10.893,3.661,Medical,0.615,1008.478,2.461,Female,92.074,2.023,2.879,Research Director,3.5,Married,11330.975,15753.191,5.645,Y,No,17.178,2.7,0.907,79.775,1.287,16.241,2.537,2.725,4.411,4.272,1.31,2.981
14,25.53,Yes,Travel_Rarely,712.85,Research & Development,12.998,3.29,Technical Degree,1.543,915.418,2.006,Female,52.646,1.955,2.13,Healthcare Representative,3.522,Divorced,8445.586,15161.588,3.665,Y,No,16.525,2.758,3.612,80.161,1.399,6.602,0.65,1.096,6.816,5.592,3.912,6.679
15,32.61,No,Travel_Rarely,646.286,Research & Development,11.992,2.117,Life Sciences,0.717,618.169,2.738,Female,38.681,1.767,4.074,Human Resources,2.234,Single,13101.426,6327.916,0.237,Y,Yes,15.478,2.976,1.628,80.175,1.456,19.762,4.908,4.017,12.42,6.256,5.566,6.739
16,38.871,No,Travel_Rarely,842.967,Sales,20.199,2.944,Life Sciences,1.757,837.14,2.192,Female,72.326,1.785,2.239,Sales Executive,4.259,Single,6961.034,18901.36,2.017,Y,Yes,11.2,3.104,3.867,80.401,1.989,8.738,1.883,2.557,6.535,4.16,0.472,6.814
17,39.474,No,Travel_Rarely,472.493,Research & Development,16.433,3.921,Marketing,1.638,2434.354,3.032,Male,56.262,3.696,1.547,Manufacturing Director,1.581,Divorced,4435.617,17594.77,1.163,Y,No,14.693,3.349,3.712,80.316,1.146,14.394,1.358,4.272,7.461,5.704,3.213,2.927
18,38.132,No,Travel_Frequently,686.43,Research & Development,10.899,1.582,Human Resources,0.386,882.626,1.697,Male,63.356,3.151,2.037,Manager,4.154,Married,8180.573,20119.672,0.867,Y,Yes,14.751,3.308,2.493,80.141,2.032,19.204,2.393,2.877,18.71,8.775,12.819,13.706
19,41.821,No,Travel_Rarely,126.808,Sales,12.911,3.512,Life Sciences,1.075,363.793,2.902,Male,75.538,2.298,2.312,Sales Executive,3.22,Divorced,7692.095,16965.074,6.377,Y,No,20.324,3.92,3.805,79.712,0.687,11.206,2.085,1.903,6.672,4.684,3.694,3.246
20,31.145,No,Travel_Frequently,406.988,Research & Development,-8.57,3.818,Medical,0.991,1659.04,3.805,Female,73.394,2.843,1.13,Laboratory Technician,2.996,Divorced,325.245,11593.951,4.333,Y,Yes,12.965,2.845,2.438,80.136,1.211,6.694,3.478,1.675,5.812,0.867,0.415,0.472
21,29.396,No,Travel_Rarely,877.445,Research & Development,36.749,1.053,Marketing,0.983,950.004,3.078,Male,83.784,3.1,1.678,Healthcare Representative,1.208,Divorced,651.661,17058.97,4.844,Y,No,22.601,4.027,2.822,80.136,0.504,9.156,2.594,2.119,3.281,4.379,0.922,2.697
22,38.225,No,Travel_Rarely,1143.432,Research & Development,12.989,2.791,Human Resources,0.714,1391.378,3.094,Female,62.772,4.2,2.022,Research Scientist,2.755,Single,3276.766,21774.465,2.365,Y,No,13.806,2.925,2.395,80.396,-0.05,7.752,1.594,2.398,5.172,3.943,1.957,2.784
23,39.361,Yes,Travel_Rarely,527.054,Research & Development,16.461,3.871,Life Sciences,0.701,1951.878,2.596,Female,70.245,2.729,2.294,Manager,3.039,Single,8437.484,24891.5,3.08,Y,No,10.4,2.901,3.027,80.354,0.764,6.945,2.887,2.061,-0.21,-2.743,-1.219,-2.071
24,43.23,No,Travel_Rarely,997.012,Research & Development,11.84,4.873,Life Sciences,0.92,955.609,5.228,Male,94.772,3.175,2.673,Sales Executive,3.395,Married,9623.304,13168.96,2.756,Y,No,14.131,2.892,2.435,79.764,0.973,21.398,2.335,3.353,11.263,12.52,1.573,8.825
25,36.525,No,Travel_Rarely,589.396,Sales,12.341,2.517,Life Sciences,0.762,1220.011,3.107,Male,81.589,3.846,1.536,Sales Executive,0.624,Married,985.879,11682.949,1.626,Y,Yes,10.065,3.071,2.556,79.833,1.419,7.877,2.354,2.408,1.098,1.513,0.595,3.355
26,37.425,No,Non-Travel,950.808,Sales,13.67,3.013,Life Sciences,0.864,1213.875,3.05,Male,60.496,3.047,2.089,Research Director,5.731,Married,5927.386,8611.557,1.946,Y,Yes,16.88,3.003,2.157,79.893,1.115,10.056,2.594,2.97,13.203,8.012,3.33,9.826
27,27.088,No,Travel_Rarely,809.522,Research & Development,4.769,1.615,Technical Degree,0.83,1744.238,3.25,Female,78.628,2.773,0.879,Research Scientist,3.137,Single,2596.543,5548.087,4.446,Y,No,13.387,2.824,3.278,80.177,1.358,2.392,0.544,2.539,-1.132,-0.849,0.056,-0.984
28,29.701,No,Travel_Rarely,940.48,Sales,30.042,2.348,Other,1.71,1027.308,2.549,Female,40.607,2.796,3.751,Research Director,1.978,Divorced,12011.129,11109.248,3.697,Y,Yes,16.65,2.815,3.537,80.891,0.585,9.874,4.335,3.57,9.289,4.294,0.629,0.391
29,32.764,No,Travel_Rarely,567.4,Research & Development,6.097,2.753,Medical,1.026,338.614,1.558,Female,93.05,3.157,1.939,Human Resources,2.455,Single,6616.156,14723.757,7.091,Y,No,14.802,3.051,3.582,80.355,-0.267,5.897,1.342,2.291,2.906,2.943,-1.651,4.083
30,35.881,No,Travel_Rarely,849.737,Sales,9.644,2.93,Medical,1.183,625.945,0.382,Male,78.013,2.877,1.741,Research Scientist,2.902,Married,3363.13,14432.837,1.515,Y,Yes,22.068,3.454,1.473,79.986,-0.104,-1.696,3.182,3.367,-0.986,2.862,-1.95,-0.919
31,36.104,No,Travel_Rarely,757.638,Research & Development,0.799,2.659,Medical,0.853,1710.05,0.324,Male,69.273,2.553,1.018,Sales Executive,1.797,Married,2701.442,10357.472,0.521,Y,Yes,13.681,2.979,0.949,79.894,1.367,12.247,2.827,3.455,2.079,1.966,-1.804,0.571
32,35.421,No,Travel_Frequently,840.088,Research & Development,9.138,3.612,Marketing,0.461,1817.024,3.177,Female,57.64,2.417,2.038,Sales Executive,3.477,Single,5454.823,3830.784,5.141,Y,No,17.099,3.709,3.253,79.856,1.451,9.983,1.203,2.762,2.189,0.808,0.702,2.33
33,50.697,Yes,Travel_Rarely,766.391,Research & Development,10.36,3.353,Medical,1.181,2088.16,3.851,Female,72.983,2.383,2.965,Healthcare Representative,1.668,Married,7619.091,13620.271,2.709,Y,Yes,17.076,3.585,1.425,80.293,1.052,12.151,4.356,1.948,9.47,4.67,6.807,6.445
34,43.557,Yes,Travel_Frequently,-5.531,Sales,9.515,3.371,Life Sciences,0.857,574.221,2.235,Male,88.233,4.177,1.981,Healthcare Representative,3.409,Married,5516.98,18402.973,4.649,Y,No,16.199,3.304,3.701,80.255,1.794,12.154,1.615,1.655,4.044,3.015,1.41,2.638
35,48.296,No,Non-Travel,358.826,Research & Development,-2.462,3.423,Marketing,1.077,614.186,3.619,Male,82.042,3.603,0.936,Healthcare Representative,4.058,Married,3002.424,18842.559,4.542,Y,Yes,16.794,3.177,2.564,79.257,0.869,18.893,1.006,2.847,9.038,6.032,-1.488,5.754
36,35.911,Yes,Non-Travel,566.292,Sales,7.704,2.541,Marketing,0.938,936.069,-1.081,Female,48.572,3.263,3.131,Sales Executive,3.82,Married,13910.857,17907.377,-2.088,Y,Yes,14.757,3.293,2.707,79.891,0.933,9.111,3.382,3.286,6.493,2.533,-1.592,2.305
37,51.12,No,Travel_Rarely,549.69,Human Resources,10.788,3.251,Technical Degree,1.175,1677.997,2.965,Male,74.343,2.788,3.78,Manager,3.266,Divorced,12412.894,22534.805,4.869,Y,No,11.663,3.019,0.96,79.597,1.587,20.154,3.396,3.239,6.751,1.012,1.953,2.456
38,40.354,Yes,Travel_Rarely,852.219,Sales,14.905,2.813,Life Sciences,0.941,1495.577,1.905,Female,93.137,2.724,1.83,Sales Executive,2.025,Single,8309.716,18147.615,4.122,Y,No,17.775,3.156,2.913,80.363,0.89,8.252,4.487,1.535,3.417,2.103,1.567,1.689
39,44.924,Yes,Travel_Rarely,668.321,Research & Development,10.571,1.498,Marketing,1.223,110.404,2.779,Female,66.952,1.495,3.246,Sales Executive,3.269,Married,11642.014,1421.37,2.882,Y,Yes,18.402,3.321,2.918,80.515,0.343,15.547,2.717,2.204,0.044,4.134,-2.083,0.71
40,44.11,No,Travel_Rarely,1300.008,Sales,4.271,2.644,Life Sciences,1.042,680.946,1.161,Male,66.596,3.613,2.031,Laboratory Technician,2.526,Married,2733.024,5222.5,3.934,Y,Yes,19.258,3.561,2.498,79.754,1.051,21.537,2.419,2.693,9.915,5.938,3.328,8.033
41,52.549,No,Travel_Rarely,1046.65,Sales,17.497,1.36,Marketing,0.518,1539.715,2.795,Male,62.858,3.812,4.354,Manager,2.198,Single,19237.572,4073.474,6.68,Y,Yes,18.752,3.47,4.336,79.963,1.076,31.224,1.096,3.115,9.547,4.144,1.804,1.464
42,44.876,No,Travel_Rarely,1075.136,Sales,7.397,1.45,Medical,0.509,680.756,1.934,Male,85.938,2.612,5.027,Sales Executive,3.682,Divorced,17190.764,3299.36,4.764,Y,No,11.232,2.95,3.797,80.078,1.249,27.765,3.694,3.273,21.089,10.619,5.162,4.341
43,42.607,No,Travel_Rarely,836.25,Sales,15.273,4.465,Marketing,0.941,2047.456,4.436,Male,90.492,3.125,3.85,Sales Executive,3.2,Single,13494.275,24878.18,7.496,Y,No,17.429,3.238,2.743,79.799,-0.564,17.615,2.501,3.343,5.973,6.715,6.267,3.576
44,33.282,No,Travel_Rarely,774.875,Research & Development,-1.601,3.088,Life Sciences,1.128,171.305,2.972,Male,63.342,0.886,1.739,Sales Representative,1.654,Married,1909.659,14333.423,3.204,Y,No,15.495,3.552,3.381,80.262,0.229,9.057,1.384,2.638,6.98,3.155,0.514,3.077
