,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,27.678,Yes,Travel_Frequently,1339.899,Research & Development,24.048,4.815,Medical,1.0,1388.067,3.07,Male,85.034,4.039,1.384,Laboratory Technician,2.192,Single,3706.933,20457.929,4.751,Y,Yes,7.337,3.052,4.406,80.0,1.395,6.062,1.235,2.186,4.013,6.22,3.249,2.393
1,40.753,No,Travel_Rarely,528.484,Research & Development,13.892,3.499,Human Resources,1.0,1805.07,3.312,Male,57.907,3.102,2.69,Research Scientist,1.401,Married,8447.438,12642.921,5.761,Y,No,11.343,3.159,4.351,80.0,2.168,8.384,3.225,3.25,1.898,4.775,8.647,4.041
2,27.592,No,Travel_Rarely,421.866,Sales,12.89,3.511,Life Sciences,1.0,2079.19,1.809,Male,89.49,3.583,2.0,Sales Executive,3.779,Divorced,5083.044,17221.292,0.193,Y,No,26.675,3.118,3.458,80.0,-0.128,11.193,2.441,3.183,6.805,6.004,5.678,5.613
3,47.389,No,Travel_Rarely,814.986,Research & Development,17.174,4.633,Medical,1.0,29.109,2.704,Male,78.175,3.551,1.026,Laboratory Technician,3.933,Married,1839.643,12529.06,2.365,Y,Yes,14.996,2.801,4.737,80.0,1.638,11.939,2.715,2.477,0.647,1.679,0.433,0.507
4,26.07,No,Travel_Rarely,1792.909,Research & Development,14.183,3.194,Life Sciences,1.0,964.416,3.039,Male,56.081,2.236,2.0,Manufacturing Director,3.765,Divorced,4306.394,22665.209,2.258,Y,No,13.577,3.0,3.042,80.0,1.28,11.071,3.362,4.006,-0.158,-0.128,1.094,5.688
5,37.912,No,Travel_Frequently,1081.857,Research & Development,6.029,2.26,Life Sciences,1.0,1801.966,4.014,Male,73.221,3.537,0.463,Healthcare Representative,3.361,Single,11141.924,21186.17,4.282,Y,Yes,12.56,3.0,2.521,80.0,1.038,5.421,4.095,2.593,4.385,0.348,-0.193,4.661
6,52.431,No,Travel_Rarely,933.919,Research & Development,15.857,3.32,Medical,1.0,124.367,4.0,Male,72.236,1.897,3.421,Manufacturing Director,4.768,Divorced,9826.559,26178.398,4.156,Y,No,20.033,4.05,3.591,80.0,0.474,17.584,1.932,2.352,3.244,7.035,1.552,9.356
7,42.533,No,Travel_Rarely,1295.764,Research & Development,-4.086,3.218,Medical,1.0,372.273,1.054,Male,69.289,1.818,3.466,Manager,4.275,Single,6034.255,11029.135,2.26,Y,No,16.949,2.4,0.903,80.0,0.422,13.476,2.0,2.918,21.749,6.213,-0.666,15.158
8,37.409,No,Travel_Frequently,473.917,Research & Development,19.172,2.561,Life Sciences,1.0,935.952,3.227,Female,84.867,3.083,2.579,Manufacturing Director,2.837,Married,6773.523,15358.809,1.427,Y,No,12.842,3.338,4.017,80.0,-0.135,10.679,4.058,1.836,9.028,2.755,2.088,4.138
9,42.616,No,Travel_Rarely,750.865,Research & Development,9.529,3.594,Medical,1.0,301.728,2.749,Female,65.189,2.5,5.058,Manager,0.706,Married,12118.512,27320.182,2.635,Y,Yes,13.383,3.294,4.063,80.0,0.782,29.691,4.477,2.94,-1.842,7.746,3.776,-0.585
