RESOURCE,MANAGER,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,target
20294,23200,118006,117940,117941,117885,117913,119184,117888,1
40621,8435,117961,118225,124449,122129,303717,270488,122131,1
25643,26312,118550,138799,120539,118321,117906,290919,118322,1
55554,1448,117943,117903,120171,120618,117906,290919,117908,1
13878,77950,118212,118150,117941,118568,126079,19721,118570,1
73485,131441,117961,117927,119598,119433,120319,118331,118730,1
23815,15683,117961,117962,120304,118054,130802,118704,118399,1
42093,8686,117961,117962,118933,118863,310997,118331,120814,1
1020,50690,117961,117927,122215,118777,117906,290919,117908,1
43629,1755,117961,117944,118840,120812,117906,290919,117908,1
73485,13441,117961,118225,122870,118207,120316,4673,118209,1
917,2991,117961,117927,118821,118054,251247,270488,120008,1
15798,17835,117961,118225,120356,118451,141500,118295,118454,1
80631,5158,118212,118291,118597,118293,132668,308574,118296,1
45790,117445,118315,119091,118535,118321,117906,290919,118687,1
691,2983,117961,117877,118700,118321,117906,290919,118639,1
