RESOURCE,MANAGER,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,target
81350,64709,117961,118316,120171,128764,251247,118398,120649,1
25993,46705,117961,118386,120764,118747,182753,118453,119851,1
79299,22853,117961,118343,118403,118995,268307,118424,119951,1
19712,46459,118256,118574,117945,259173,127423,292795,118943,0
32270,50690,117961,118300,119488,118422,119601,19721,118525,1
79948,17578,117961,117962,118450,128764,137422,118612,120774,1
30999,6227,117961,118225,118437,120773,118959,290919,120774,1
75327,71401,91261,119256,129526,119849,118097,19721,118997,1
42388,23224,118315,118076,120663,118777,311441,118398,119194,1
79299,26321,117961,118343,118437,118321,117906,292795,118322,1
15019,2149,118602,119091,118450,117885,268307,290919,118322,1
80631,49823,117916,118343,123125,118293,120316,117887,118779,1
80746,15009,117902,118603,118597,118293,117906,19721,118779,1
25993,2174,117961,118225,119223,119949,120324,290919,122850,1
75305,15009,117961,118300,127168,118321,279443,290919,118322,1
32642,62541,118256,118170,135245,119192,130913,117887,119194,1
