RESOURCE,MANAGER,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,target
73485,13871,117961,118300,118514,118321,117906,290919,118322,1
20272,71160,117910,117911,117941,117885,117913,117887,117888,1
20220,5588,118256,118257,117945,259173,130913,292795,118943,1
27348,5114,117961,118300,119890,118422,300136,118424,118425,1
42388,15887,117961,118052,120356,120357,310997,118424,120359,1
80631,5158,118290,118291,118597,118293,118294,118295,118296,1
18589,26312,138798,138799,120539,118321,117906,290919,118322,1
20294,11529,117929,117940,117941,117885,117913,117887,117888,1
35381,26321,117961,118327,118320,117905,117906,290919,117908,1
16985,6257,117961,118343,120722,117905,240983,290919,117908,1
42323,84891,120342,120343,118631,118321,125684,290919,118322,1
74042,1483,117961,117962,118840,118641,306399,118643,118644,1
33616,8234,117961,118300,118783,118321,117906,290919,118322,1
74174,71401,91261,118026,118202,117905,117906,290919,117908,1
101917,2068,117980,118076,131868,119192,276422,119184,119194,1
6977,49823,117961,118300,127168,118321,240983,290919,118322,1
79992,60790,117961,118052,118867,118523,310608,118331,118525,1
15019,117445,119062,119091,118535,118321,117906,290919,118322,1
74982,18310,118216,118217,118846,179731,123998,117887,117973,1
81350,2908,117961,118343,118979,118834,133686,118424,118836,1
79969,15435,117961,118343,122299,119949,121350,290919,119951,1
25993,131441,117961,118343,119598,119433,133686,118424,119435,1
39397,16098,117961,118327,120171,120647,240979,118398,120649,1
6676,14928,117961,118446,120317,118321,117906,290919,118322,1
1020,1140,118212,118213,118352,118321,117906,290919,118322,1
78422,18236,117961,118052,120304,307024,129630,118331,118332,1
691,2983,117961,118343,118700,118321,117906,290919,118322,1
20293,48656,117926,117927,117884,117879,117886,19721,117880,1
40391,70297,117961,118327,118744,118321,117906,290919,118322,1
15022,46705,118658,118659,123606,126184,295130,118762,126186,1
917,6285,117961,118300,132427,118321,117906,290919,118322,1
