city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
city_75,0.8571456370702021,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,50-99,Pvt Ltd,>4,25,0
city_73,0.8842765277918005,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,1,99,0
city_144,0.8966907977572637,Male,Has relevent experience,no_enrollment,Masters,Business Degree,<1,50-99,Pvt Ltd,1,1,0
city_103,0.920000000016907,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Pvt Ltd,>4,66,1
city_61,0.6978330995355994,Female,Has relevent experience,no_enrollment,Graduate,STEM,<1,50-99,Pvt Ltd,1,136,0
city_100,0.8237576281325264,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,100-500,Pvt Ltd,1,21,0
city_105,0.6138307185234144,Female,No relevent experience,no_enrollment,Masters,STEM,7,10000+,Pvt Ltd,1,139,0
city_78,0.4702594196892488,Male,Has relevent experience,Full time course,Graduate,STEM,7,500-999,Pvt Ltd,1,75,1
city_114,0.6433685111087696,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,500-999,Early Stage Startup,1,30,0
city_103,0.9199829015378571,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Early Stage Startup,1,17,0
city_114,0.9250760065858453,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,>4,80,0
city_107,0.6909785733736991,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,50-99,Other,>4,68,0
city_73,0.9282115130428599,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,3,5,1
city_55,0.5700992980454989,Male,Has relevent experience,no_enrollment,Graduate,STEM,8,10/49,NGO,1,42,1
city_103,0.9200034769959125,Male,No relevent experience,no_enrollment,Graduate,STEM,<1,100-500,Other,1,18,1
city_103,0.920000000021432,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,50-99,Pvt Ltd,3,52,0
city_152,0.8688584469547168,Other,No relevent experience,no_enrollment,Graduate,Business Degree,20,100-500,Pvt Ltd,>4,237,0
city_103,0.9199937268528123,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,2,20,0
city_104,0.884851630315861,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,2,73,0
city_146,0.7962866138689013,Other,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,264,1
city_103,0.9199975166756098,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Pvt Ltd,4,130,0
city_94,0.9317252453568998,Male,Has relevent experience,Part time course,Phd,STEM,15,100-500,Pvt Ltd,4,45,0
city_162,0.8820472661365164,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,50-99,Public Sector,3,3,1
city_159,0.875633546991574,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,100-500,Pvt Ltd,2,7,0
city_173,0.9186347589354014,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,3,272,0
city_123,0.8761618393136288,Male,Has relevent experience,Part time course,Masters,STEM,4,100-500,Pvt Ltd,1,42,0
city_83,0.8792522469720734,Male,Has relevent experience,Full time course,Graduate,STEM,6,<10,Pvt Ltd,>4,13,0
city_103,0.9196299967844369,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,3,232,<NA>
city_10,0.9170196585371382,Male,No relevent experience,no_enrollment,Graduate,STEM,11,100-500,Public Sector,>4,123,0
city_94,0.890416309546307,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,1,83,0
city_116,0.8259754399331003,Male,Has relevent experience,Full time course,Masters,STEM,10,100-500,Pvt Ltd,4,25,0
city_14,0.880364863088284,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,92,1
city_33,0.8951487567843486,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,4,54,1
city_21,0.6239999999846985,Male,Has relevent experience,no_enrollment,Masters,STEM,14,1000-4999,Pvt Ltd,4,26,1
city_100,0.69799999999904,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,<10,Pvt Ltd,4,1,0
city_13,0.9470214269047122,Male,Has relevent experience,no_enrollment,Masters,STEM,15,50-99,Pvt Ltd,>4,17,0
city_40,0.8001602490894455,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,10/49,Pvt Ltd,1,86,0
city_43,0.9239901892807103,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,<10,Pvt Ltd,2,66,0
city_41,0.878480128474945,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Funded Startup,>4,100,0
city_106,0.4918570078556264,Male,No relevent experience,no_enrollment,Graduate,STEM,3,10000+,Pvt Ltd,never,74,1
city_91,0.714724407173647,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,10/49,NGO,1,170,0
city_21,0.6239999999727028,Male,Has relevent experience,Full time course,Graduate,STEM,4,10/49,Pvt Ltd,1,14,1
city_103,0.9200054648955478,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,2,95,1
city_103,0.9199555582913161,Male,No relevent experience,Full time course,Graduate,STEM,5,1000-4999,Funded Startup,4,1,0
city_103,0.9199741616966163,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10/49,Early Stage Startup,3,104,<NA>
city_117,0.850963157486099,Male,Has relevent experience,no_enrollment,Masters,STEM,12,1000-4999,Pvt Ltd,>4,50,0
city_140,0.9085503622912858,Male,Has relevent experience,no_enrollment,Masters,STEM,7,<10,Pvt Ltd,2,108,0
city_42,0.9204825114786181,Male,No relevent experience,Full time course,Masters,No Major,8,10000+,Other,3,289,0
