Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
49,No,Travel_Frequently,990,Human Resources,22,3,Other,1,1,Female,76,3,5,Laboratory Technician,2,Married,3784,7731,2,Y,No,12,3,3,80,3,34,1970-01-01,2,40,6,2,3
36,No,Travel_Frequently,548,Human Resources,21,5,Life Sciences,1,2,Male,37,1,5,Human Resources,1,Divorced,9987,16540,1,Y,Yes,13,4,4,80,3,18,1970-01-01,1,14,7,11,8
37,No,Travel_Rarely,184,Research & Development,11,2,Medical,1,1,Male,56,1,2,Laboratory Technician,2,Single,10899,25966,0,Y,No,25,4,3,80,1,4,1970-01-01,4,1,5,15,5
28,No,Travel_Frequently,1203,Human Resources,19,3,Other,1,2,Female,85,4,4,Human Resources,4,Divorced,14942,22374,4,Y,Yes,22,4,2,80,2,5,1970-01-01,4,11,11,9,15
58,No,Non-Travel,1024,Sales,26,2,Human Resources,1,4,Male,91,3,3,Manager,3,Divorced,6505,22509,9,Y,Yes,16,4,2,80,0,37,1970-01-01,1,19,16,1,3
19,Yes,Travel_Rarely,616,Human Resources,3,2,Life Sciences,1,2,Female,55,3,3,Sales Executive,3,Married,13850,18731,3,Y,Yes,14,4,3,80,2,5,1970-01-01,2,35,10,4,7
47,No,Travel_Frequently,1410,Human Resources,3,4,Technical Degree,1,3,Male,51,4,4,Human Resources,3,Single,4432,19996,9,Y,No,13,4,1,80,2,33,1970-01-01,1,28,1,3,11
54,No,Non-Travel,1013,Research & Development,6,4,Medical,1,3,Female,76,4,5,Research Scientist,3,Married,17393,24395,9,Y,No,15,3,3,80,3,9,1970-01-01,3,28,0,1,5
22,No,Travel_Frequently,875,Research & Development,26,2,Marketing,1,2,Male,88,4,5,Sales Executive,1,Divorced,10711,11279,4,Y,Yes,22,4,1,80,2,16,1970-01-01,3,0,17,13,17
27,No,Non-Travel,1136,Research & Development,11,3,Technical Degree,1,3,Female,58,1,3,Healthcare Representative,4,Divorced,5417,13046,4,Y,No,15,4,4,80,1,31,1970-01-01,1,36,16,1,9
56,Yes,Travel_Rarely,264,Sales,21,3,Technical Degree,1,4,Female,86,1,1,Healthcare Representative,3,Divorced,14359,21383,7,Y,Yes,18,3,3,80,0,9,1970-01-01,3,33,9,0,2
56,Yes,Travel_Frequently,172,Human Resources,6,4,Technical Degree,1,4,Female,64,4,2,Research Director,2,Married,2081,12046,5,Y,No,19,3,2,80,1,15,1970-01-01,4,12,7,15,12
53,Yes,Non-Travel,1258,Sales,14,4,Technical Degree,1,4,Female,57,4,5,Healthcare Representative,4,Married,3437,18242,9,Y,No,22,4,4,80,3,23,1970-01-01,2,25,14,12,2
31,No,Non-Travel,1195,Human Resources,28,5,Human Resources,1,1,Female,60,2,1,Healthcare Representative,3,Married,17746,11405,7,Y,Yes,25,4,3,80,2,10,1970-01-01,4,9,16,3,6
42,Yes,Travel_Rarely,1160,Research & Development,11,1,Other,1,4,Male,34,1,1,Sales Representative,2,Married,8383,22793,6,Y,No,21,4,4,80,1,26,1970-01-01,3,37,0,8,0
57,No,Non-Travel,888,Sales,3,1,Other,1,3,Male,37,3,4,Sales Executive,3,Single,17892,9332,0,Y,Yes,19,3,1,80,1,2,1970-01-01,4,27,11,11,1
21,Yes,Non-Travel,508,Sales,6,3,Medical,1,4,Male,100,1,3,Sales Executive,3,Single,6225,4326,2,Y,Yes,15,4,3,80,2,20,1970-01-01,2,40,13,9,4
55,Yes,Travel_Rarely,1040,Sales,6,2,Technical Degree,1,4,Male,84,4,3,Research Director,4,Single,17559,8540,4,Y,No,12,3,2,80,2,4,1970-01-01,2,33,1,0,17
26,Yes,Travel_Rarely,252,Human Resources,5,5,Technical Degree,1,1,Male,71,4,4,Human Resources,3,Married,15566,9316,7,Y,Yes,12,3,1,80,2,13,1970-01-01,4,12,9,2,17
29,Yes,Non-Travel,1046,Human Resources,28,1,Technical Degree,1,3,Male,75,4,3,Sales Representative,3,Single,15815,6265,1,Y,No,13,4,2,80,1,10,1970-01-01,1,1,13,5,10
19,Yes,Travel_Frequently,720,Sales,25,3,Other,1,4,Female,49,1,1,Human Resources,4,Divorced,10033,14924,9,Y,No,19,3,1,80,1,19,1970-01-01,1,29,9,1,17
60,Yes,Travel_Rarely,1092,Research & Development,20,5,Marketing,1,4,Male,38,1,3,Laboratory Technician,2,Divorced,17639,5299,6,Y,No,14,3,3,80,2,3,1970-01-01,3,13,18,1,3
