StartDate,ExitDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
13-Oct-21,18-Apr-22,Area Sales Manager,TNS,Active,Part-Time,Zone C,Temporary,Resignation,Your very trip successful memory to while out.,Sales,Aerial,09-01-1954,CA,Groundman,Male,20497,Hispanic,Widowed,Fully Meets,2
21-Oct-20,06-Jul-23,Area Sales Manager,SVG,Active,Contract,Zone B,Full-Time,Unk,Summer personal bag.,Sales,General - Con,06-11-1990,CO,Technician,Male,91244,Black,Single,Fully Meets,4
29-Jun-20,05-Jul-23,Area Sales Manager,BPC,Active,Contract,Zone B,Full-Time,Unk,Summer personal bag.,Sales,Field Operations,30-09-1962,TX,Operator,Male,52971,White,Widowed,Fully Meets,5
24-Feb-21,05-Jul-23,Area Sales Manager,BPC,Active,Part-Time,Zone C,Full-Time,Unk,Summer personal bag.,Sales,General - Sga,01-05-1979,KY,Administrative,Female,80086,Black,Married,Fully Meets,2
06-Dec-18,22-Jul-19,Area Sales Manager,BPC,Active,Full-Time,Zone B,Part-Time,Voluntary,Game hour boy not write somebody owner.,Sales,Shop (Fleet),08-06-1997,TX,Mechanic,Female,75364,White,Divorced,Fully Meets,1
29-Oct-21,09-Aug-21,Area Sales Manager,NEL,Active,Contract,Zone A,Part-Time,Voluntary,Visit foot nearly radio treatment.,Sales,Engineers,20-04-1976,KY,Director,Male,44150,Other,Widowed,Fully Meets,3
24-Apr-23,05-Jul-23,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Part-Time,Unk,Summer personal bag.,Sales,Finance & Accounting,01-12-1991,CO,Accounting,Male,10528,Hispanic,Widowed,Fully Meets,2
06-Oct-21,05-Jul-23,Area Sales Manager,WBL,Active,Contract,Zone A,Part-Time,Unk,Summer personal bag.,Sales,General - Sga,30-04-1970,CA,Flagger,Male,71251,Other,Widowed,Fully Meets,5
03-Feb-22,29-Mar-23,Area Sales Manager,PYZ,Active,Part-Time,Zone C,Full-Time,Retirement,Sign figure employee card education.,Production       ,Aerial,25-04-1975,KY,Supervisor,Male,63724,Other,Married,Exceeds,4
02-Jul-19,05-Jul-23,Area Sales Manager,BPC,Active,Full-Time,Zone C,Temporary,Unk,Summer personal bag.,Sales,Yard (Material Handling),16-02-1987,TX,Flagger,Male,52538,White,Married,Fully Meets,1
31-Mar-20,15-Jul-23,Area Sales Manager,SVG,Active,Full-Time,Zone B,Full-Time,Involuntary,Read stand western white article campaign dog.,Sales,Field Operations,04-11-1988,FL,Technician,Male,77990,Black,Married,Exceeds,2
02-Mar-20,21-Jul-23,Area Sales Manager,SVG,Active,Full-Time,Zone B,Full-Time,Involuntary,Read stand western white article campaign dog.,Sales,Field Operations,03-11-1990,NV,Technician,Male,74773,Black,Married,Exceeds,2
02-Apr-19,06-Jul-23,Area Sales Manager,PYZ,Active,Full-Time,Zone C,Full-Time,Unk,Summer personal bag.,Sales,Wireless,25-10-1977,CO,Clerk,Male,33735,Asian,Widowed,Fully Meets,5
15-Dec-19,05-Jul-23,Area Sales Manager,BPC,Active,Full-Time,Zone C,Temporary,Unk,Summer personal bag.,Sales,General - Con,29-06-1978,CO,Foreman,Male,76831,Hispanic,Single,Fully Meets,5
09-Mar-22,29-Nov-22,Area Sales Manager,EW,Active,Full-Time,Zone A,Temporary,Involuntary,Foot in theory minute recognize test.,Sales,General - Eng,23-05-1981,CO,Splicer,Male,82124,Other,Single,Fully Meets,3
24-Sep-18,05-Jul-23,Area Sales Manager,PL,Active,Full-Time,Zone B,Part-Time,Unk,Summer personal bag.,Sales,General - Sga,08-01-1992,MA,Project Controls,Male,5014,Hispanic,Widowed,Fully Meets,4
