StartDate,ExitDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
20-Sep-19,,Production Technician I,CCDR,Active,Contract,Zone C,Temporary,Unk,,Production       ,Finance & Accounting,07-10-1969,MA,Accounting,Female,34904,White,Widowed,Fully Meets,4
11-Feb-23,,Production Technician I,EW,Active,Contract,Zone A,Part-Time,Unk,,Production       ,Aerial,30-08-1965,MA,Labor,Male,6593,Hispanic,Widowed,Fully Meets,3
10-Dec-18,,Area Sales Manager,PL,Active,Full-Time,Zone B,Part-Time,Unk,,Sales,General - Sga,06-10-1991,MA,Assistant,Male,2330,Hispanic,Widowed,Fully Meets,4
21-Jun-21,,Area Sales Manager,CCDR,Active,Contract,Zone A,Full-Time,Unk,,Sales,Finance & Accounting,04-04-1998,ND,Clerk,Male,58782,Other,Single,Fully Meets,2
29-Jun-19,,Area Sales Manager,TNS,Active,Contract,Zone A,Temporary,Unk,,Sales,General - Con,29-08-1969,FL,Laborer,Female,33174,Other,Married,Fully Meets,3
17-Jan-20,,Area Sales Manager,BPC,Active,Contract,Zone B,Full-Time,Unk,,Sales,Field Operations,03-04-1949,CT,Driver,Male,6050,Black,Married,Fully Meets,3
06-Apr-22,03-Jul-23,Area Sales Manager,WBL,Active,Full-Time,Zone B,Temporary,Involuntary,Me see picture nature degree benefit.,Sales,General - Eng,01-07-1942,CA,Technician,Female,90007,Hispanic,Divorced,Exceeds,4
06-Nov-20,29-Jan-23,Area Sales Manager,CCDR,Active,Contract,Zone C,Full-Time,Involuntary,Blue community type skill story.,Sales,Engineers,07-03-1957,OR,Engineer,Female,97756,White,Divorced,Fully Meets,2
18-Aug-18,,Area Sales Manager,NEL,Active,Contract,Zone B,Part-Time,Unk,,Sales,Executive,15-05-1974,TX,Executive Assistant,Male,78789,Black,Widowed,Exceeds,3
21-Jan-22,29-Jun-23,Area Sales Manager,BPC,Active,Part-Time,Zone B,Temporary,Resignation,Summer personal bag.,Sales,Engineers,11-11-1949,TX,Engineer,Male,78207,Asian,Widowed,Fully Meets,5
04-Aug-23,,Area Sales Manager,SVG,Active,Contract,Zone B,Temporary,Unk,,Sales,Field Operations,26-01-1964,IN,Technician,Female,46204,Other,Single,Fully Meets,5
